,Verse,Meter,char_count
72024,glide the silverton'd verse when apollo's the theme,iambic,6
196917,the flatt'ring future still must give the joy,iambic,6
73137,there haply by the ruddy damsel seen,iambic,6
14270,but these his talents were ybury'd stark,iambic,6
106539,whilst with encreasing steps we all pursue,iambic,6
28042,but the kind moon reflects a milder ray,iambic,6
109033,while ease and pleasure make the nations smile,iambic,6
5105,but what are numbers what are bards to me,iambic,6
74940,nor congreve's life nor cowley's fire,iambic,6
116504,then were there golden times the village round,iambic,6
171717,is sullied in the stream taking a taint,iambic,6
176873,crimson'd and furr'd the highest honours dare,iambic,6
965,no longer white with fleecy dew,iambic,6
77818,polluting dust o'er every reverend head,iambic,6
99276,in bloom of life young blandford died,iambic,6
119176,at length reviv'd 'mid rising heaps of slain,iambic,6
192514,and far unlike him feeds this little flock,iambic,6
146402,but art of mortal man by far the wisest sage,iambic,6
137097,like stamford shall with scorn behold,iambic,6
117752,that gloomy morn she in my absence dy'd,iambic,6
50841,let my soft prayers thy vernal glories bring,iambic,6
130970,dash'd on the stones her helpless infants die,iambic,6
25641,in verdant beauties cannot these excel,iambic,6
143864,the fiery youth's unguided rage,iambic,6
169725,too proud for dairywork or sale of eggs,iambic,6
119003,thy rosy blossoms tinge peruvia's plain,iambic,6
153270,through beds of glittering ore and glowing gems,iambic,6
107333,the rocking winds molest her not for see,iambic,6
137765,for unkempt hair or task unconn'd are sorely shent,iambic,6
167327,and strength is lord of all but gentle kind,iambic,6
2435,thy voice my music and thy arms should be,iambic,6
198910,if eyes corrupt by overpartial looks,iambic,6
161909,midst intersecting cuts and winding ways,iambic,6
46127,her frighted soul was fill'd with doubts and fears,iambic,6
145772,receive my humble lays my heart was yours before,iambic,6
62396,and peace the genuine offspring of her smile,iambic,6
127419,the savage genius of mankind and taught,iambic,6
56725,whate'er of bliss the wit of man can feign,iambic,6
115412,to wear his livery some respect might prove,iambic,6
123003,greatness of bulk or symmetry of parts,iambic,6
165697,and a new dance of vanity begin,iambic,6
42267,perhaps a friend a father's dead,iambic,6
105302,but vainer still of that prodigious store,iambic,6
73097,that downward tumbling on the host below,iambic,6
71998,phoebus thy days wou'd seem too long,iambic,6
164462,the thunder is his voice and the red flash,iambic,6
18515,but shall the partial rage of selfish men,iambic,6
117817,while i was wand'ring on the neighbouring plain,iambic,6
80480,not such the hours i hop'd with you to share,iambic,6
53505,an useful tho' neglected dame,iambic,6
4394,has render'd me so deep your debtor,iambic,6
63782,who uncreated reign'st like me,iambic,6
89442,who feels his freehold's worth and looks elate,iambic,6
135200,then let her voice our rival cause decide,iambic,6
86426,are half so lovely as my father's field,iambic,6
15262,to her repair'd from all the neighb'ring plains,iambic,6
31910,with notes of horror wakes her trembling ear,iambic,6
3648,oft o'er the trembling nations from afar,iambic,6
155973,and why because immortal as their lord,iambic,6
85025,when they have spoil'd their bridal shoes,iambic,6
40670,till mighty conscience whose prevailing call,iambic,6
137110,her impulse nothing may restrain,iambic,6
172767,that parts the night from morn come restless souls,iambic,6
120028,while drops of mercy bath'd his hoary cheek,iambic,6
145117,direct the blow here oaks aspiring rise,iambic,6
82297,all these are fruitful themes and would demand,iambic,6
100755,ne'er shall its spells my sad heart move,iambic,6
122555,is this great scene unveil'd for since the claims,iambic,6
49944,and decent elegance was there,iambic,6
19774,the stench remains the lustre dies away,iambic,6
85561,nay insolently dar'd to tell her grace,iambic,6
92221,is all exertion ever new,iambic,6
65656,but if my vagrant fancy pants,iambic,6
32621,her pleasing colours paint the future gay,iambic,6
189340,steals on o'ershad'wing nature's face,iambic,6
192852,and leaves his flock the rav'nous soldier's prize,iambic,6
32385,and grave our mem'ry on the faithful stone,iambic,6
71488,deceiving womankind and pilf'ring love,iambic,6
95890,and goodness sills the cup of general joy,iambic,6
4662,i mourn the rigour of my instant fate,iambic,6
144685,affects weak eyes much us'd to shade,iambic,6
30280,beneath the moonlight shade,iambic,6
159452,too glorious to be gazed on in his sphere,iambic,6
114803,we look despondency no infant near,iambic,6
34564,for what her gen'rous hand bestows,iambic,6
181168,cold as the fabled god appears,iambic,6
191154,to share what classic culture yields,iambic,6
193581,'twill be your turn to weep and sue in vain,iambic,6
39759,conspicuous now is happiness display'd,iambic,6
5613,a venus drawn by great apelles' hand,iambic,6
26029,but all the fame that from the field was brought,iambic,6
45058,it looks so like a fable,iambic,6
141384,that verdant hill and silver stream,iambic,6
61117,yon craggy mountain whose fastidious head,iambic,6
83132,were spent upon the air the young elvera,iambic,6
174357,a dread example to the rhyming fry,iambic,6
154810,our sketch all random strokes conjecture all,iambic,6
148276,thus thus i was for thee my sleep i lost,iambic,6
94543,dreadful stride from zone to zone,iambic,6
160617,will pay ere long and bless me with repose,iambic,6
171359,of injury with such knowledge of their strength,iambic,6
104977,a spacious plain the false enchaunter show'd,iambic,6
116878,approach'd my bed magnificent her dress,iambic,6
23195,who noblest ends by noblest means pursue,iambic,6
39892,as when they wish you at the di,iambic,6
140725,her eyes roll wild a stride her pace,iambic,6
109419,and france still trembles at an harley's name,iambic,6
28383,and all is hush'd and winds are heard no more,iambic,6
73373,brisk thro' the thicket trips the spotted fawn,iambic,6
107320,while all the emulative vocal tribe,iambic,6
155,to win the mercies of offended heaven,iambic,6
45966,let me ne more myself deceive,iambic,6
182844,and as the skilful pilot steers,iambic,6
107196,this more insinuating notion lay,iambic,6
17908,alike insensible to soft desire,iambic,6
185172,than he his plighted promise nould fulfill,iambic,6
63925,to vex the human race thou kindly deign'dst,iambic,6
39299,alike all foes to ev'ry publick gain,iambic,6
14877,come to the beaming god your hearts unfold,iambic,6
93965,i meditate my lightsome lay,iambic,6
49239,the sacred object of his pious prayers,iambic,6
49248,and all was peaceful i remember well,iambic,6
56366,had my daddie left me gear enough,iambic,6
187419,from home and native air,iambic,6
154881,ourselves the' astonish'd talkers and the tale,iambic,6
122853,o wherefore with a rash imperfect aim,iambic,6
38599,pale envy flies her quiver slander breaks,iambic,6
24172,now high in air the fatal heel ascends,iambic,6
127322,observes the budding genius as it thrusts,iambic,6
29480,but leaves the wretch to weep,iambic,6
151288,yon ambient azure shell and spring to life,iambic,6
195109,no foreign heroes in triumphant cars,iambic,6
131306,but dreams of wand'ring thro' the fields of air,iambic,6
152169,love and love only is the loan for love,iambic,6
162006,no nourishment in frozen pastures grows,iambic,6
80636,to this strange place or by what pow'rful aid,iambic,6
174269,but had she known of melting words the charms,iambic,6
161172,sees every pass secur'd and fences whole,iambic,6
83724,back to your universities ye fools,iambic,6
167754,that no rude savour maritime invade,iambic,6
181893,o i remember and with pride repeat,iambic,6
43825,an individual is a sacred mark,iambic,6
1484,her softest shades grow sweetly meek,iambic,6
141653,which to and fro with blessings speed,iambic,6
167896,in doctrine uncorrupt in language plain,iambic,6
164215,this waste of musick is the voice of love,iambic,6
78078,the angry goddess seiz'd her deathful arms,iambic,6
140520,haste with redoubled speed bring on the hour,iambic,6
77850,and fear and ignorance afford delight,iambic,6
162414,rolls its light billows o'er the bending plain,iambic,6
87297,masking in cunning feints truth's splendent face,iambic,6
52457,or if to make their party great,iambic,6
80792,which made the prospect more amazing sad,iambic,6
62617,and laughter sounds like madness in his ear,iambic,6
122023,or from the towering precipice is thrown,iambic,6
83457,books or the world the many or the few,iambic,6
162249,these to the raptur'd mind aloud proclaim,iambic,6
8208,rejoicing with her lovely captive came,iambic,6
86411,no sorrowing friend no sister parent nigh,iambic,6
123402,he too beholding in the sacred light,iambic,6
68078,still on each cheek the bloom of youth appears,iambic,6
147851,distance steps back and drags the chain no more,iambic,6
10321,as swells the beldame's teeming brain,iambic,6
128684,by what unseen and unsuspected arts,iambic,6
152714,we give to time eternity's regard,iambic,6
146054,there chastity may boast of many a friend,iambic,6
44713,and to his radiant father's pallace came,iambic,6
120020,bend on the hallow'd turf the tearful eye,iambic,6
81961,with us our parents children lovers laws,iambic,6
37738,bespoke at least a man that knew mankind,iambic,6
134788,for inborn goodness with soft pity join'd,iambic,6
20486,a rose that faded at the rising day,iambic,6
113914,arise for loaden with the midnight dew,iambic,6
65588,but hail fair peace so mild and meek,iambic,6
182643,had to theanor thus her form been shown,iambic,6
178126,and infinite benevolence,iambic,6
10753,scowling contempt how pitiful this pride,iambic,6
175200,before the thrills of farinelli's voice,iambic,6
89304,think of the common cause wherein we go,iambic,6
47608,of tyranny aveng'd and liberty restor'd,iambic,6
127210,advance slowpacing from the gilded west,iambic,6
114521,the vanquish'd bird must combat till he dies,iambic,6
9080,'they breathe a soul to animate thy clay,iambic,6
197240,you should live twice in it and in my rhyme,iambic,6
47296,as the base wretch or vain physician please,iambic,6
111585,when in the circuit of his gaping shells,iambic,6
77098,and here to smooth captivity a prey,iambic,6
168101,with our expenditure defrays his own,iambic,6
77872,are then divorced the head and heart are foes,iambic,6
89481,as many words as make an even line,iambic,6
28564,she gives the pow'r whatever side prevails,iambic,6
95329,which erst adorn'd her artless grove,iambic,6
89758,invoke thy muse and hail thy song sublime,iambic,6
195607,let me in grateful notes renew,iambic,6
34146,if by his art the savage foe's subdu'd,iambic,6
169269,falls a soft murmur on th' uninjured ear,iambic,6
44367,apelles left his name at co,iambic,6
46645,for tho' the wise priscilla often strove,iambic,6
81089,as not to love at all 'tis not to live,iambic,6
15097,and to a life more happy and refin'd,iambic,6
107581,and there renew their interrupted love,iambic,6
179197,ev'n to jehovah's throne the ductile mind,iambic,6
10851,there gain'd admittance and the infant press'd,iambic,6
97495,when heaven to all thy joys bestows,iambic,6
173559,he gives the local biass all its sway,iambic,6
26387,resplendent all thro' fluid glass,iambic,6
164676,but happy they the happiest of their kind,iambic,6
19853,sincerity why 'tis his only pride,iambic,6
17313,chloe's the goddess of my thought,iambic,6
29105,hoary fidelity a matron staid,iambic,6
4805,she to the subject world dispenses law,iambic,6
181531,to me his sighs to me are all his vows,iambic,6
146804,shou'd lovely venus leave her native sky,iambic,6
24403,peace its ten thousands in th' embattled plain,iambic,6
165511,unhappy he who from the first of joys,iambic,6
76993,and not a sail but by permission spreads,iambic,6
1701,around her shakspeare's hallow'd tomb,iambic,6
99134,the floods in icy fetters binds,iambic,6
50289,what hideous spectres round him rise,iambic,6
9028,gone to salute the rising morn,iambic,6
115154,a wanton vixen and a weary man,iambic,6
163314,the forestwalks at every rising gale,iambic,6
176148,the pain is just when we reject the cure,iambic,6
165637,of innocence and undissembling truth,iambic,6
59732,sure 'tis a curse on mothers doom'd to mourn,iambic,6
117035,brown exercise rejoic'd to hear,iambic,6
38060,she fairest offspring of the skies,iambic,6
121671,untill by you,iambic,6
27112,and bacchanals led on their swift advancing doom,iambic,6
195084,of all besides unknowing and unknown,iambic,6
84163,far with the loves each blissful omen speeds,iambic,6
89603,the mimic passion with their own agree,iambic,6
48507,bestia and bug their honours and so forth,iambic,6
20647,to make the last effort what tears could do,iambic,6
86817,and the still spirits sunk in balmy rest,iambic,6
121117,opinion's foot is never never found,iambic,6
7513,shunning his steps decrees by honour taught,iambic,6
119316,they grasp his feeble frame his tresses tear,iambic,6
18839,but anxious only for my country's good,iambic,6
1386,yet grateful then my constancy i prov'd,iambic,6
160832,suppose philander's lucia's or narcissa's,iambic,6
167966,the skittish fancy with facetious tales,iambic,6
136033,and art by judgment form'd with nature vies,iambic,6
166439,thro' shades and plains along the smoothest stream,iambic,6
126801,when time shall cease ev'n beauty's self by these,iambic,6
64646,abash the frantic thyrsus with my song,iambic,6
82382,unable to withstand a claim so urg'd,iambic,6
49947,and shock'd poor florio's nicer sense,iambic,6
81102,but there is one soft minute when the mind,iambic,6
25126,not to be making circles in the sand,iambic,6
87309,if chance the peacock doth his plumes unfold,iambic,6
172734,depart from me and that for ever too,iambic,6
62155,revere the laws they dream that heav'n ordains,iambic,6
179367,by me no orphan weeps his ravish'd land,iambic,6
123745,who bade the visionary landscape rise,iambic,6
10609,'till angels listen to the song,iambic,6
21331,holy guide descend and bring,iambic,6
9390,that noblest commerce of mankind,iambic,6
12461,from you ye heavenbelov'd may liberty,iambic,6
13596,there sickness laid her aching head,iambic,6
82933,to such extreme fatigue sunk lifeless down,iambic,6
131019,mote eath a mortal to immortal feed,iambic,6
140363,who spoil the lily rob the rose,iambic,6
26735,careful to see the mantling bliss go round,iambic,6
185784,conforms and models life to that alone,iambic,6
41053,and in small plats were softer myrtles plac't,iambic,6
119047,as the lov'd form while folded to her breast,iambic,6
76488,by rills from thee deduc'd irriguous fed,iambic,6
60150,and how the vaulted canopies unfold,iambic,6
88289,where altering scenes the fickle merman please,iambic,6
122860,lo beauty withers in your void imbrace,iambic,6
42641,and none none left to bear a friendly part,iambic,6
186601,a voice descending from on high,iambic,6
18033,foul fiend thou bane of health fair virtue's bane,iambic,6
131497,no guilt so black as thine belongs,iambic,6
134288,enrich'd with the discoveries ye have made,iambic,6
34097,who liv'd unhappily and greatly dy'd,iambic,6
71548,soon would thy folly disconcert the whole,iambic,6
183347,whose faithful clue unravels ev'ry muse,iambic,6
26617,that feebly bends beside the plashy spring,iambic,6
183677,life's sun we read when heaven a respite lends,iambic,6
43002,inspires each youthful candidate for fame,iambic,6
112327,just to themselves their conduct is entire,iambic,6
47089,for fear that you might their black deeds excel,iambic,6
75245,but verse methought would suit these better,iambic,6
130070,which while they raise the passions mend the mind,iambic,6
202211,thy creature whom i found so fair,iambic,6
114424,and speaks in all their looks and all their ways,iambic,6
146521,then having viewed it with disdainful eyes,iambic,6
77266,is but to ease my mind,iambic,6
112395,and steady justice holds th' impartial scales,iambic,6
103995,to all the transport the rapt sense can bear,iambic,6
163008,innumerous o'er the blushing orchard shakes,iambic,6
185116,in lycon's form enflam'd with passion high,iambic,6
47550,to rule at once the captive fair,iambic,6
139682,thus let us gently kiss and fondly gaze,iambic,6
175765,o well thy form divine i know,iambic,6
101727,and stay his arm outstretch'd to launce the avenging fire,iambic,6
6189,some metaphors some hankerchiefs display,iambic,6
126377,three tedious days with pinching want he strove,iambic,6
104050,to sacred music ow'd its destin'd fall,iambic,6
63994,worthy to sing thy praise for that thy hand,iambic,6
135582,tutor'd by all her rivals to surpass,iambic,6
43064,while all the sons of freedom shrunk with fear,iambic,6
2427,short tho' they were my soul had never known,iambic,6
22017,of england's throne by sweating peasants fell'd,iambic,6
25444,commence acquaintance underneath a shed,iambic,6
136654,such antique marbles to his native land,iambic,6
26521,thy sports are fled and all thy charms withdrawn,iambic,6
134081,some pleasures live a month and some a year,iambic,6
195348,denoting thought inflam'd and troubled breast,iambic,6
99952,daughter of joy i know thy air,iambic,6
144291,like will and mary on the coin,iambic,6
48763,i hap'ly plac'd him with providing care,iambic,6
27128,the wand with which e'er time begun,iambic,6
63228,ten thousand glittering lamps the skies adorning,iambic,6
76860,the fam'd and only picture easy gives,iambic,6
42162,none wou'd fierce zeal for piety mistake,iambic,6
85316,she's drawn along unwilling to be seen,iambic,6
152705,and bliss which christian schemes alone insure,iambic,6
194506,repents its earlier choice,iambic,6
59893,shoots to its goal and gleams athwart the sky,iambic,6
165262,and what a various prospect lies around,iambic,6
22661,mean while blind british bards with volant touch,iambic,6
52388,and fate at memphis was unravell'd,iambic,6
47602,hopeless to overcome,iambic,6
184145,gain what they can but never force a trade,iambic,6
139971,'forsake mankind and bid the world adieu,iambic,6
97262,to him direct the tribute lay,iambic,6
151860,and robes and notions framed in foreign looms,iambic,6
198223,upon thy side against myself ill fight,iambic,6
129594,yet shall its musick please the partial ear,iambic,6
171915,impatient still on each the pregnant dame,iambic,6
116193,and books were bought and harpsichords were hired,iambic,6
133674,infinite skill in all that he has made,iambic,6
98871,let judgment thy unshaken friend,iambic,6
1016,with all the finny race,iambic,6
162078,' near where the haystack lifts its snowy head,iambic,6
150200,at morning's dawn her lord commands,iambic,6
124188,such is the secret union when we feel,iambic,6
36476,here glory beckon'd mighty chiefs of old,iambic,6
165922,and nature mov'd compleat with inward view,iambic,6
90201,coquettes no more pursue the jilting plan,iambic,6
37368,till grown more frugal in his riper days,iambic,6
171300,he sells protection witness at his foot,iambic,6
60630,lycaean pan the faun's arcadian race,iambic,6
23482,that trump which once in heaven on man's revolt,iambic,6
6798,which hover yet and scarce know which to joyn,iambic,6
156681,lorenzo thou hast seen if thine to see,iambic,6
20126,on this fair pattern of a god below,iambic,6
36766,and dauntless meet the ling'ring stroke of death,iambic,6
58768,his heav'nly smiles would ev'n despair control,iambic,6
198914,why should my heart think that a several plot,iambic,6
85792,and every colony has dropt a tear,iambic,6
157027,if there is weight in an eternity,iambic,6
57019,and now in courtly garments dight,iambic,6
79907,among the mightiest on the brightest roll,iambic,6
176162,fear or inconstancy the judgment press,iambic,6
34238,redletter'd in the calendar of play'rs,iambic,6
72525,accompany his route and to his toil,iambic,6
190773,what is this wreath so green so fair,iambic,6
12703,dwell on his eye and wait the waving hand,iambic,6
60381,wild with her loss and swoln with sorrow came,iambic,6
54603,led on by silence to resume her reign,iambic,6
1824,for other's bliss for other's woe,iambic,6
96598,tenderey'd pity as the village train,iambic,6
55948,o might our laureat study here,iambic,6
29947,at length the fatal morn arose,iambic,6
111411,dull rest they now and fatal slumbers love,iambic,6
13723,and led thee through a maze of sorrow to the grave,iambic,6
61589,and catch the falling dewdrops which supply,iambic,6
95470,a garland rich thy dwelling shall entwine,iambic,6
131359,th' unfinish'd sentence and with dueful bow,iambic,6
124405,amid the mighty uproar while below,iambic,6
121952,yet blushing dries them lest the god of day,iambic,6
176769,thro' a rebellious frozen heart,iambic,6
21934,quaffing rich liquids oh how sweet t' enjoy,iambic,6
83783,sometimes i interlope and slight the laws,iambic,6
150331,from morn to eve the woman plies,iambic,6
136978,could she not more delighted hear,iambic,6
131832,we trust th' important charge the petticoat,iambic,6
178948,by choice the hold th' ambitious toil,iambic,6
193341,sir trust my honour you shall find me true,iambic,6
187928,thus heav'n approves as honest and sincere,iambic,6
114393,on every foot of that improving ground,iambic,6
33073,then to these arms with stagg'ring steps did haste,iambic,6
60480,sweetly intermix'd and lovely to behold,iambic,6
59088,at once they dazzled and engag'd the sight,iambic,6
85405,life thro' opinion's false perspective seen,iambic,6
67527,i'm very sensible he's mad in law,iambic,6
167306,when safe occasion offers and with dance,iambic,6
15942,distress should bid our generous pity flow,iambic,6
98638,and still the hollow roaring of the sea,iambic,6
175901,ah had he met thee in this happier hour,iambic,6
12817,and waft away the rising storm,iambic,6
16753,though feeble in degree in kind the same,iambic,6
2069,blest is the maid and worthy to be blest,iambic,6
24877,whene'er he deigns to stay at home,iambic,6
18057,the pois'nous reptiles here their mischiefs bring,iambic,6
16592,the bright original was one he knew,iambic,6
156577,this mean to mighty for this glorious end,iambic,6
102060,the fair recess must seek with cheerful mind,iambic,6
13419,but let me still confide,iambic,6
60745,how did she lift her hands and stare,iambic,6
188651,let me enjoy my visionary world,iambic,6
110688,freed from alarms the smiling neighbours meet,iambic,6
41516,who still are pleas'd too little or too much,iambic,6
56808,scarce had she spoke when thatm cherubic car,iambic,6
163182,pours in among the stormy hebrides,iambic,6
192627,where the grave justice ends the grievous fray,iambic,6
123873,and action right for action treads the path,iambic,6
116054,nor give thy god a rival in thy pride,iambic,6
13718,why didst thou seek this luckless strand,iambic,6
8956,and gilds the regions of eternal day,iambic,6
27089,incumbent revel in his frail abode,iambic,6
147984,now honour pleaded that my fame should bleed,iambic,6
107950,see how both states are by connection ty'd,iambic,6
125791,weigh well his humour was it dress,iambic,6
134977,a dismal dwelling hid by waving trees,iambic,6
50003,sought of themselves the london road,iambic,6
141700,alpha the cause of causes first,iambic,6
116316,'twas well i came at last he deign'd to say,iambic,6
76865,how lavish grandeur blaz'd the barren waste,iambic,6
39177,vengeance divine offended order arms,iambic,6
21586,preceding shou'd be destitute of rain,iambic,6
41026,resign'd and calm await that awful hour,iambic,6
156729,his duty 't is to love himself alone,iambic,6
195885,should cultivate their worthlesness in france,iambic,6
122486,of avon whence thy rosy fingers cull,iambic,6
103141,till darkness be by dying past,iambic,6
150727,to gather fairest wreaths of future fame,iambic,6
139835,nor am i yet so old nor is my glance,iambic,6
150758,saw youth and joy and love's enchanting wiles,iambic,6
69924,and revel in the shade,iambic,6
86645,the priest where high the billow springs,iambic,6
190877,fitly with joy thou minglest care,iambic,6
164620,far from the dull impertinence of man,iambic,6
74983,give them the taste of sweet and sour,iambic,6
96918,thou radiant spark of heav'nly light,iambic,6
135757,corinna cherry honeycomb and snip,iambic,6
22897,the elder year pomona pleas'd shall deck,iambic,6
165306,a dauntless soul erect who smil'd on death,iambic,6
105636,with those we love to pour the sigh,iambic,6
189930,and steals to death from anguish and from shame,iambic,6
156273,of triumph o'er their betters find in death,iambic,6
41729,'tis best sometimes your censure to restrain,iambic,6
93534,where the vague moonbeams pour a silver flood,iambic,6
93200,frest to thy bones while to the gale,iambic,6
124047,views all her charms reflected all her cares,iambic,6
159471,dives deep in their economy divine,iambic,6
80600,a snug and friendly game at cards,iambic,6
124873,to add such splendour to their line,iambic,6
126792,struggling corruption owns nor dares assault,iambic,6
159353,of subterranean excavated grots,iambic,6
109682,seize delia's frame suspend at once her breath,iambic,6
93582,secure from the men and the monsters of prey,iambic,6
29345,'but let a maid thy pity share,iambic,6
150256,fair virtue shone his open look,iambic,6
129640,ye muses skill'd in ev'ry winning art,iambic,6
195908,his statue shall be rais'd in ev'ry street,iambic,6
178193,each passing hour this moral shews,iambic,6
101567,go whisper love in chloe's ears,iambic,6
90365,but ah how oft my lawless passions rove,iambic,6
189529,offspring of immortal line,iambic,6
47942,old avon pleas'd his reedy forehead rears,iambic,6
90798,wrapp'd in the garb simplicity would wear,iambic,6
128063,out of his feeble view and rising shade,iambic,6
163193,or sweeps the fishy shore or treasures up,iambic,6
74928,that whilst we pay so dear for learning,iambic,6
19884,and while she seems to scorn him only fears,iambic,6
71350,it cannot be whether i will or no,iambic,6
59165,while egypt names him as her guardian god,iambic,6
87779,that you were bred on earth you fully prove,iambic,6
2551,her hamely garb was mair to me,iambic,6
162825,what shall he do his once so vivid nerves,iambic,6
61212,shun'd like fell aconite began to hang,iambic,6
140786,the use the pleasure will the toil repay,iambic,6
157630,who think'st thyself a murray with disdain,iambic,6
124192,guiding the wanton fancy to her scope,iambic,6
147362,the mother sigh'd the starting tear withheld,iambic,6
54750,let me forewarn'd each sign each system learn,iambic,6
83956,a picture this of human life,iambic,6
182649,fain his compassion wou'd thy works approve,iambic,6
115591,for fanny price was lovely and was chaste,iambic,6
32626,yet frequent storms the bloom of spring deface,iambic,6
152026,lorenzo loath to break thy banquet up,iambic,6
153969,and reap rich compensation from my pain,iambic,6
95813,in search of nature's awful grace,iambic,6
51707,if curious of our weal or woe,iambic,6
163921,wisdom and friendly talk successive stole,iambic,6
62449,of one whose birth was in a land of light,iambic,6
55656,of hir'd mourners usher'd thee along,iambic,6
33389,they're wise to keep us slaves for well they know,iambic,6
100628,be avarice and ambition's feet,iambic,6
193439,what gars me a' turn cauld as death,iambic,6
75740,e'en now i see that starting tear,iambic,6
132970,and as around thy shadows sail,iambic,6
156582,famed sages lighted up the pagan world,iambic,6
103868,who give to chance the world's that round us roll,iambic,6
41149,yet if we look more closely we shall find,iambic,6
11401,hail happy chief whose valour could deserve,iambic,6
131312,in vain you'd fly to yonder shrubs and plants,iambic,6
160263,nor wash'd in ocean as from rome he pass'd,iambic,6
162322,and teeming ewes that still their burdens bear,iambic,6
38207,her unpremeditated strain,iambic,6
104501,hail peaceful nymph thou eldest thing on earth,iambic,6
166441,thro' the dim spaces of futurity,iambic,6
7656,to fancy's sway he yields his guileless heart,iambic,6
119020,spreads her wide mantle o'er the shiv'ring form,iambic,6
26139,now betty from her masters bed had flown,iambic,6
175032,on waving spray or mossy dell,iambic,6
80284,what statesman does not run,iambic,6
40155,'twas ev'n to thee yet the dread path once trod,iambic,6
46016,by yours be their fair fame attended,iambic,6
83375,with every good that can annoy,iambic,6
113169,within her veil's luxuriant maze,iambic,6
177746,thy toils and various dangers now are past,iambic,6
39575,and when the great creator's will had join'd,iambic,6
64950,i know thee lord nor slow to hear,iambic,6
61258,the goddess stoop'd assent forth from a cloud,iambic,6
143025,i would not rob his fair,iambic,6
7692,still where devoid of care the stripling roves,iambic,6
132334,were play'd by a rat,iambic,6
