Verse, Meter
Lunatics ensemble , dactyl
Incontrovertibly, dactyl
Twitbrained wingnut, dactyl
SupremusDictatoris, dactyl
Vladimir Vladimirovich Putin, dactyl
BamboozlerProvocateur, dactyl
Arrogance absolute, dactyl
Master of Malarkey, dactyl
BolshoiApparatchik, dactyl
Mask of a Monster, dactyl
Hooliganism to boot, dactyl
RomanticusExtraordinaire, dactyl
John Keats, dactyl
La Belle Dame sans Merci, dactyl
CirceEnchantress to all, dactyl
Beautiful deadly in her elfin grot, dactyl
Supernaturalnous, dactyl
She wept and sighed full sore, dactyl
Hath thee in Keatsian thrall, dactyl
MaestroRomanticusSupremus, dactyl
Percy Bysshe Shelley, dactyl
One Heaven One Hell, dactyl
Promise of a later birth, dactyl
About a little soul, dactyl
Epipsychidion, dactyl
One immortality one annihilation, dactyl
Wilderness of this Elysian earth, dactyl
SupremusAlchemistOccultist, dactyl
Philippus von Hohenheim, dactyl
Alchemist Astrologer and Physician, dactyl
Arrogant to a fault, dactyl
Medical genius , dactyl
Paracelsianism, dactyl
Iconoclastic for sure, dactyl
Ignorance he couldnt halt, dactyl
MephistoHereistoo, dactyl
Johann Wolfgang von Goethe, dactyl
Faust on the Brocken summit, dactyl
Go our own sweet way for show, dactyl
Walpurgis Nachts spirit of perversity , dactyl
Mephistophelian , dactyl
Time now for your eternal soul, dactyl
The Evil Ones sitting in a fiery glow, dactyl
As our journey begins, dactyl
We never look back, dactyl
Roman soldiers march only forward, dactyl
To New worlds and conquered lands, dactyl
We travel with, dactyl
Swords and hearts, dactyl
Naively believing, dactyl
Both are needed, dactyl
To feed our lies, dactyl
We learned, dactyl
Lessons of greed and condescension, dactyl
Others wept, dactyl
As we flaunt our power, dactyl
Yet we gave back many good deeds, dactyl
Laws and roads, dactyl
Wine and dreams, dactyl
Truth or deceptions, dactyl
We haunted them all, dactyl
Saddled with civilization, dactyl
We gave culture and art, dactyl
Yet I the soldier still wonder, dactyl
The right of our cause, dactyl
Taking these tranquil moments, dactyl
So that I gaze back to our past, dactyl
Confirmations abound, dactyl
On balance we advanced our faith, dactyl
To better this precarious world, dactyl
To discover lifes heartbeat, dactyl
Every road we marched, dactyl
We advanced the human cause, dactyl
We seek To expand , dactyl
The Roman Empire, dactyl
For Bloody Caesar, dactyl
PrimusSupremusRomanticus, dactyl
George Gordon Noel Byron, dactyl
Destiny in Missolonghi at 36 , dactyl
A soldiers death, dactyl
Legendary immortality, dactyl
Megaaccomplishment, dactyl
For him the best, dactyl
And now hes at rest, dactyl
Silent halls of death so cometh, dactyl
William Cullen Bryant, dactyl
Thanatopsis supremeus now, dactyl
A sepulchre awaits us all, dactyl
Dour darkness and shroud forever, dactyl
ThanatopsisPhantasmus, dactyl
The spirit world so beckons us, dactyl
We all shall so wither and fall, dactyl
MetaphorsExtraordinaire, dactyl
Thomas Stearns Eliot, dactyl
Metaphysical consciousness, dactyl
Aura of aging and decay, dactyl
Streams of consciousness forever, dactyl
Protodisillusionment, dactyl
The mermaids singing each to each, dactyl
The mermaids will not sing today, dactyl
Charlie je suis Charlie je suis, dactyl
Je suis Charlie, dactyl
Freedom is us, dactyl
Freedom of speech, dactyl
No to violence , dactyl
Twentyfive killed twentyfive killed, dactyl
Twentyfive dead, dactyl
Extremism in void, dactyl
Profane false prophets , dactyl
Zealots must die zealots must die, dactyl
Zealots begone, dactyl
Fanaticism must end, dactyl
Yahweh is One, dactyl
Allahu akbar, dactyl
Marching for unity marching for unity, dactyl
Marching to be free, dactyl
Heroics not needed, dactyl
Martyrs are not on offer, dactyl
March or die, dactyl
Charlie je suis Charlie je suis, dactyl
Je Suis Charlie, dactyl
Freedom cry for all, dactyl
Gagged mouths is slavery, dactyl
Tongue tied not for me, dactyl
Twentyfive dead twentyfive dead, dactyl
Twentyfive killed, dactyl
Families bereaved, dactyl
Children orphaned, dactyl
Zealots must die, dactyl
Whirlingly swirlingly, dactyl
Christmastime Holiday, dactyl
Seasons the greetings that, dactyl
Wish us good cheer, dactyl
Plus more than ever a, dactyl
Celebratorily, dactyl
Merry Noel and a, dactyl
Happy New Year, dactyl
Arrogance is a need to be better than most, dactyl
An inflated sense of self is much of  the boast, dactyl
Walking  through the day, dactyl
Up on the hill, dactyl
Looking down on the humble is just their way, dactyl
Never believing they will tumble , dactyl
Or there will be a price to pay, dactyl
An when that day comes, dactyl
It is never their fault , dactyl
Because they are better than most, dactyl
An continue to boast, dactyl
ComplexitySyntaxity, dactyl
Ezra Pound, dactyl
Flamboyant expression, dactyl
Poetic modernity new, dactyl
Seeking no rifacimento, dactyl
Onomatopoeia, dactyl
Confusing readers so, dactyl
Intricate verses make us blue, dactyl
LOVE is the first point of the happy, dactyl
LOVE is the first step to heaven, dactyl
LOVE is the first line of the heart garden, dactyl
LOVE is the first day of the peace, dactyl
LOVE is the first relation of ourselves, dactyl
LOVE is the first person of our life, dactyl
LOVE LOVE LOVE, dactyl
LOVE is there every where, dactyl
LOVE is mixed in airwater, dactyl
that is LOVE, dactyl
LOVE the LOVE, dactyl
ITS A BEAUTIFUL FEELING, dactyl
spread the love at last, dactyl
LOVE ll be the last point of your family, dactyl
that is LOVE, dactyl
LOVE the LOVE, dactyl
LIFE LL BE GREAT, dactyl
ill feel often, dactyl
not that you hurts me, dactyl
its because i hurted you, dactyl
when my emotion volcano bursts, dactyl
i lose my control, dactyl
and thoughts in my heart flows out as lava, dactyl
it may be imaginary or real, dactyl
but after that i feel relax, dactyl
not for the flow of lava but for, dactyl
you will understand my feelings, dactyl
its all because of love affection caring and possessiveness, dactyl
which i had and still have on you, dactyl
because my every heart beat is for you, dactyl
every time when it beats not lup tup but, dactyl
by your sweet name, dactyl
that is love which i have on you, dactyl
how much this world believes, dactyl
GOD IS GREAT, dactyl
that much i believe, dactyl
MY LOVE IS GREAT and, dactyl
Angels sing a chorus from cloisters that echo lustful cries of love , dactyl
While lovers drink in glances passion turns to intimate desires, dactyl
With trembling limbs they move eager to entwine, dactyl
Showing signs of hunger in eagerness they thirst, dactyl
Like a fine wine they gingerly sip the taste of their sins, dactyl
Soon to be committed, dactyl
The Parish priest would be shocked at the debauchery, dactyl
Yet why do the angels sing in unison, dactyl
The passion of love and life is the angels glory, dactyl
A choir sings from above at the happiness below, dactyl
The coupling of spirits and raw desire, dactyl
Gods design a miracle, dactyl
To be celebrated, dactyl
What should I do with my pain , dactyl
Throw it away again , dactyl
What have you done with your love, dactyl
You once told me that it goes above, dactyl
Above all the limitations of sky, dactyl
you even painted it but did it dry , dactyl
Go ahead and wash me with fire, dactyl
Enjoy my sorrow it is your smile that I admire, dactyl
Burn my sins with clean water, dactyl
And drag my heart to the slattern, dactyl
Just please let me whisper the sea in your ears, dactyl
Let it feed your soul with my fears, dactyl
I shall be a native heart breaker, dactyl
An international crime maker, dactyl
Will you Emancipate my soul from sanity, dactyl
And free my useless body from gravity, dactyl
Clean my eyes from all that sparkle, dactyl
Let them participate in the real battle, dactyl
Explode my hallucinations, dactyl
Grief on my imagination, dactyl
You can turn me to ashes , dactyl
Watch my little heart crashes, dactyl
Change the architecture of my smile, dactyl
Rebuilt it in the Greek style, dactyl
So my laughs will be philosophical thoughts , dactyl
And  we shall be two ghosts , dactyl
You who hunts my dreams when I an awake, dactyl
You have always been an ocean yet I can only be a lake, dactyl
Sweep my touches softly from your skin, dactyl
But know that it will become so thin, dactyl
And then wave me goodbye, dactyl
Ill bow mull think am just shy, dactyl
Until you will see these drops falling in the yellow grass, dactyl
That same grass that used to be green before you pass    , dactyl
Have you been in love, dactyl
Have you shared a kiss, dactyl
Have you ever got a hug, dactyl
Have you ever gone thru all of , dactyl
I have not nor ever been, dactyl
I have lost time and miss, dactyl
I have bitterness inside of , dactyl
I have nothing and noone to , dactyl
A lonely heart is like being , dactyl
A lonely man is a walking , dactyl
A lonely soul is trying hard to , dactyl
A lonely friend is asking your , dactyl
Will you not open your heart , dactyl
Will you not give me your , dactyl
tender touch, dactyl
Will you not kiss and make , dactyl
Will you not love freely and , dactyl
come to me, dactyl
Raining forward with the honey hue of summer, dactyl
I beg for the expression which reflects a smile, dactyl
I am but a boy growing, dactyl
So my breaks are short, dactyl
Logic provides nothing without action expect for positive , dactyl
I am no hero nor saint, dactyl
Just my dull emotionless self, dactyl
Trying to break away from my immature flaws, dactyl
Not everything stays like the family movies, dactyl
But not everyday is a day of rain, dactyl
Anyone can scream, dactyl
But few can sing without a song, dactyl
Monomaniacally Thomas Sterns Elliot, dactyl
wrote in The Waste Land a Lyrical Lay, dactyl
Sadly for those of us hollow like other men, dactyl
Incomprehensible Take it away, dactyl
Semicreatively Ludwig von Bethovan , dactyl
sat in his music room sucking his thumb, dactyl
Heavens to Murgatroyd After four symphonies , dactyl
more could be asked of me Da Da DaDum, dactyl
Fiddledediddlede, dactyl
Scarlett OHara she, dactyl
slew all the fellasnot, dactyl
lifting a hand, dactyl
Cepting Rhett Butler proved, dactyl
Incomprehensible, dactyl
with Frankly my dear I, dactyl
dont give a damn, dactyl
In the heart of the rock, dactyl
In the depth of the sea, dactyl
In the room with the lock, dactyl
At the end of the lea, dactyl
Is the key to the gate, dactyl
To the room of your gold, dactyl
And the knob to your fate, dactyl
An event to behold, dactyl
Green is your color with Leprechauns Shamrocks and gold filled pots, dactyl
Favorite meal is corn beef and cooked cabbage on plate as food, dactyl
Charming and fanciful tales or elf stories for tinny tots, dactyl
Jokes and such make hours fun  they put us into a happy mood, dactyl
Humors a blessing in life for that we have much gratitude, dactyl
Time is spring cold wind can blow hard yet giving the days an edge, dactyl
Snow can still be on the ground denizens may have to use a sledge, dactyl
My love for family I do not hide or set high on a wooden shelf, dactyl
Baubles of life are here having a jot influence over a rime of things, dactyl
One hawks a sweeter enticement diverting us like a small candy elf, dactyl
Placed in a closet of my heart it offers now no threat to inner self, dactyl
Booty that makes us rich seems a bit ornament gaining a shoddy pelf, dactyl
Family time is togetherness knowing the pleasures it often brings, dactyl
We talk but nothing unusual like blue and white on ceramic delf, dactyl
Time for a lady and children as husbands sit talking as royal kings, dactyl
Wild wind with force to demolish our buildings and homes in town, dactyl
Wail on Comanche and scream your shrill anger down streets and paths, dactyl
Ye do destroy and kill running amok to knock structures down, dactyl
Twister run show your destructive mark tossing glass plates and laths, dactyl
Gentle wind redolent bringing fresh fregrance of seeds in bloom, dactyl
See how all leaves on the trees do move quietly easily, dactyl
Wee waff sprite that comes dancing in leave a deposit scented room, dactyl
Soundless youre free of distracting din traipsing far breezily, dactyl
Oceans prevailing wind drive our ships sailing to distant lands, dactyl
Make for them speedy good passage without loss of time in rout, dactyl
Oh fill their sheets full and being compassionate save all hands, dactyl
Be now consistent all days strong and ending then free of pout, dactyl
Zephyrus western wind deity be our guest blow a kiss, dactyl
Be in our gardens a sweet and sonorous love melody, dactyl
Please this hour giving to those who do rendezvous certain bliss, dactyl
May their hearts find new contentment in blessed songs rhapsody, dactyl
Boreas coldest wind northern god play not your ditties now, dactyl
Rather yet seek to relax in yond meadhouse with honey drink, dactyl
Scheme not with Odin to leave from Vahalla but make this vow, dactyl
I will forever thus be hence Auroras king consort link, dactyl
Please give us a topic at least just a clue, dactyl
I have no direction dont know what to do, dactyl
Do I scribe what I know or write from the heart, dactyl
Or do I quote Shakespeare and try to sound smart, dactyl
A ballad a sonnet a three line haiku, dactyl
Or try to be clever and try a senryu, dactyl
Perhaps using penta and maybe iambic, dactyl
Dactylic or pyrric its sending me manic, dactyl
So next time a subject please tell us ahead, dactyl
And Ill write something different to be a blockhead, dactyl
Tyrian sails across stormy seas sailed, dactyl
and a bold prince they deliver, dactyl
At every port cheerily he was hailed, dactyl
as an arrow straight from its quiver, dactyl
Bade he the pilot to next morn tarry, dactyl
as he late morn gathered her so true, dactyl
A pretty queen stolen for he to marry, dactyl
their dear life in Troy to begin anew, dactyl
Hoisting ships tyrian sails and fast away, dactyl
that morn his mighty ship flew, dactyl
Blessed they thought that sweet day, dactyl
our life in Troy together we two, dactyl
Hearing loving angels sing they wept, dactyl
hearts united in enchanted glee, dactyl
Life started a love vow then kept, dactyl
on to great Troy they both did flee, dactyl
There by King Priam the son received, dactyl
far from harm all began rejoicing, dactyl
Worrying not ire of a Greek king deceived, dactyl
heedless of dire curses he was voicing, dactyl
They carried on glowing sweet romance, dactyl
as vessels carrying a fatal coming doom, dactyl
About to reap fruits from a daring chance, dactyl
by ships so packed each had no more room, dactyl
Vowing and cursing to send Troy to hell, dactyl
Agamemnon sailed on to Troys shore, dactyl
There Homers storied legend does tell , dactyl
how Troys destruction evens the score, dactyl
As savage as a kings vengeance may be, dactyl
there rests a justice in Troys defeat, dactyl
For no thief be allowed to safely flee, dactyl
to enjoy any treasure gained by his cheat, dactyl
Her hair sways, dactyl
Like a gypsys hips in summer, dactyl
Young seasoned and ripe, dactyl
Was the frame of her smile, dactyl
Voice knocking upon, dactyl
The fences of freedom, dactyl
Swooning men of her choice, dactyl
Before the suave sleek edges, dactyl
Fashioning the finesse that is, dactyl
This dactylic wonderland, dactyl
Thank you dear  Debbie for  pointing out  my mistakes, dactyl
Now I can  see where Ive  been getting  out of step, dactyl
Statuesque  was one of  my early  efforts and , dactyl
Then I had  not learned the  rhythms of poetry, dactyl
If I were  Writing it  now Id be  tidier , dactyl
Id know my  dactyls and  iambs and   other stuff  , dactyl
But since the  subject was  utterly  frivolous , dactyl
Frankly Ms  Guzzi I  dont think I  give a damn, dactyl
I am Africa I am man, dactyl
Hear my drums know my heart beat, dactyl
My sorrow is not metered in iambic lines, dactyl
Life does not speak that way, dactyl
So artificial this enumeration of joy, dactyl
So false this constant rise and fall of tone, dactyl
I fish the tides, dactyl
Sometimes the water rises above the rock, dactyl
And stay a long long time, dactyl
Like a dream that wont give up, dactyl
Sometimes the water recedes far out, dactyl
Lingering at the bar, dactyl
Waiting for the moon to show her breast, dactyl
Watching silently like a star, dactyl
For one ear Nana Oba to divorce me, dactyl
From this culture that is my hell, dactyl
I am Africa I am man, dactyl
My fingers running fast on antelope skin, dactyl
Cross the bata light and sweet like a caress, dactyl
Like rainfall on the Serengeti, dactyl
Like bird call for Nana Oshuns memory, dactyl
So when I put my hands around your waist, dactyl
Sliding my finger over the contours of our embrace, dactyl
Searching for lake Nakuru under your dress, dactyl
Down from the Kilmanjaro of your breast, dactyl
And whisper my feelings in your ears, dactyl
In crossrhythms kora and mbira playing, dactyl
Hot like khamsin passionate like the yamo, dactyl
Sucking on your tongue for life, dactyl
Seeking the umbilical water for my pain, dactyl
What care for anapestic sentiments, dactyl
Trochaic promises dactylic stories, dactyl
I need you in all the wonder of your loveliness, dactyl
In all the moods that living tell, dactyl
In our orbiting exodus of earth and hell, dactyl
No time now for phony precisions, dactyl
I speak as I am as I feel emotions, dactyl
Dancing on my finger tips , dactyl
Dancing on the velvet smooth of drums, dactyl
Ladling at your Nakura lapping at your lips, dactyl
All tribal my body hums, dactyl
For the stolen glory of my history, dactyl
For the cinder of theories, dactyl
That make me victim twice in my misery, dactyl
I am Africa I am man, dactyl
Hear my prophecy I will succeed, dactyl
Marks sent me a card of Micangelos David, dactyl
Im really not sure how Im meant to react , dactyl
Did he think Im pining to see a nice body, dactyl
Or is he halfhoping that Ill send it back, dactyl
The truth is I dont feel the least bit insulted, dactyl
Ive studied male shapes ever since I was five, dactyl
I really enjoy all their planes and their contours, dactyl
Tis pity theyre seldom this good in real life , dactyl
This statue of David is one of the finest, dactyl
Hes firm and hes smooth and his muscles are taut , dactyl
If he were to step down and walk through the gallery, dactyl
The one thing to wobble is the one thing that ought, dactyl
His face is the image of very young Elvis , dactyl
And so is his body the bits that weve seen, dactyl
They could be the same man  a reincarnation , dactyl
Translated from Florence to Hollywood screen, dactyl
This picture just fills me with such mixed emotions, dactyl
Im eager to see him to touch taste and smell , dactyl
And yet it occurs Im too old for such notions , dactyl
But this old bats not dead yet  so hey what the Hell, dactyl
Admirable Almights all I ask appreciatively allow me to attain , dactyl
be beyond bourgeois breeding ballads for the brain , dactyl
Create colloquialisms that cast competently into chimeras , dactyl
directing dramatists with doubtful determinations to , dactyl
delightful dactylic discriptions , dactyl
Edible expressions that exite eyes and ears , dactyl
by freely forming a firm fire youll flog any frigid forlornness fear , dactyl
God glorifies the good my given gift Godsent thee , dactyl
my hardihoods husky heart hungover with honesty , dactyl
I inscribe impenetrable insights my individualitys , dactyl
inanimate without improvisation , dactyl
other jaws jabber jargon jokingly my journalistic journeys , dactyl
like Jesuss justifications , dactyl
I know to keep with Christ a close kinship , dactyl
lie low then leap to light life is limited , dactyl
Maturing moderately I molded motives to mentally , dactyl
manufacture music , dactyl
now naturally notions are necessary abnormal novelistic natuarlist , dactyl
Its obvious this optimist ovulates obscure poetic offsprings , dactyl
perception pastels perfectly personify the pen pushers , dactyl
potentcy passionately , dactyl
Youre quasi qualified like Franz Kafka no question , dactyl
respectable written reflection ramble rampant even while resting , dactyl
Some scorn and show sentiment towards sonnets Ive , dactyl
scriptured successfully , dactyl
the tounguetied troubadour tallies towering totals of , dactyl
synchronized terms intentionally , dactyl
My untimatum is ultimately unrivaled when using unbreakable , dactyl
utensils , dactyl
my voice vibrates vigorously visionary with a victorious view , dactyl
Why waste what you wrote wake up wonder in a writer zone , dactyl
poems have vibes like a xylophone , dactyl
Heart young yearn for God three thousand and five times a year , dactyl
my zodac is wrong attitude zealous, dactyl
There once was a time in this great land, pyrrhic
When folks said  yes sir and yes maam, pyrrhic
Those days are ancient eroded away, pyrrhic
Where are we headed Im afraid to say, pyrrhic
A time when the elderly were respected, pyrrhic
A time when vulgar language not accepted, pyrrhic
A time when women were fully attired, pyrrhic
A time when patriotism a virtue admired, pyrrhic
We now live in era where anything goes, pyrrhic
Hard to distinguish colleagues from foes, pyrrhic
Every one has picked an agenda to defend, pyrrhic
Voices are silenced afraid they may offend, pyrrhic
Folks are traumatized by a word or a look, pyrrhic
Students sickened by the title of a book, pyrrhic
Authoritys role is constantly questioned, pyrrhic
Four letter words constantly mentioned, pyrrhic
A well dressed man wore a suit with a tie, pyrrhic
Now an unbuttoned shirt will get you by, pyrrhic
Women wore hosiery blouse and a skirt, pyrrhic
Cutoffs flip flops physical assets overt, pyrrhic
Many now change their biological gender, pyrrhic
Crude obtuse replaced warm and tender, pyrrhic
Technical advances slowly eroding creeds, pyrrhic
Obscuring civility with vexatious deeds, pyrrhic
wage a wanton war of words without wit wisdom or worldliness, pyrrhic
Regrettable repugnant reprobates ravage refined realms as, pyrrhic
pirouetting pariahic pyres patently a pyrrhic prize, pyrrhic
Insidious insipid idinebriated imbeciles, pyrrhic
incite impetus into inevitable immolation, pyrrhic
Bombast bluster and bluff blunt batons of barbarian bullies, pyrrhic
backwards behaviour blackballs baronial breeds burdens and bonds, pyrrhic
Weasely willywaving warmongers wage wanton war of words, pyrrhic
without wit wisdom or worldliness whilst we weakly watch and wait, pyrrhic
Regrettable repugnant reprobates ravage refined realms with, pyrrhic
reprehensible rapierrattling and rancid rhetoric, pyrrhic
Clash of corrupt contemptible cutthroats carves calamity cross, pyrrhic
continents and culminates in catastrophic conflagration, pyrrhic
Pointless predatory and political powerplays pale as, pyrrhic
pirouetting pariahic pyres patently a pyrrhic prize, pyrrhic
Theyd eaten his books his clothes and lean paper money, pyrrhic
Whetted their teeth against his coins and an old jar of honey, pyrrhic
Theyd blown cold air nightly as they gnawed whilst he slept, pyrrhic
Eating bits of his extremities that lay in the path they crept, pyrrhic
No outofbounds for every nook they could roam, pyrrhic
In his one room shack  the pigsty he called home, pyrrhic
Pooing on his bed and table sometimes  boldly in his stare, pyrrhic
And not inside his drawers pots and pockets did they spare, pyrrhic
By heavens for such a man in his youthful prime, pyrrhic
There was none dirtier whose home had more grime, pyrrhic
The constant reek of gunge  what better invitation, pyrrhic
To every pest flying or crawling for cohabitation, pyrrhic
Hed hoped to kill the poverty that to him had seemed to glue, pyrrhic
With the job for which hed been invited for an interview, pyrrhic
Alas His file jacket was barely held by its leather threads, pyrrhic
And his results and certificates partly eaten were in shreds, pyrrhic
Enough hed thought and bought a mousetrap, pyrrhic
With smoked fish bait hed soon heard the traps first clap, pyrrhic
Of the fathers mothers and offsprings hed caught one, pyrrhic
With this and others after hed planned his vengeful fun, pyrrhic
With glee to the street hed stepped with the vermin, pyrrhic
The fate of which only he could now determine, pyrrhic
Hed doused it with petrol amidst street kids  cheers, pyrrhic
But oblivious of his folly and fates inaudible jeers, pyrrhic
With a single match strike it was engulfed in flames, pyrrhic
And what happened next he had none to apportion blames, pyrrhic
For in blind anguish the rat had dashed back into his room, pyrrhic
The house had charred smoking with a mile high plume, pyrrhic
You were an Afghan Farid Khan by name, pyrrhic
A name less known to the world today, pyrrhic
You ran away from home, pyrrhic
Because your own stepmother plotted against you, pyrrhic
Now you were runawayKhan, pyrrhic
You chose to be a knighterrant, pyrrhic
Soon became a military commander in Bihar, pyrrhic
Was renamed Sher Khan a title awarded , pyrrhic
By the Governor of Bihar, pyrrhic
Whom you saved from the jaws of a tiger, pyrrhic
So you became the Deputy Governor, pyrrhic
But wherever you went, pyrrhic
Your ruler feared your strength and potential, pyrrhic
And of course you were in trouble, pyrrhic
For instance during your stint, pyrrhic
In Baburs army you easily caught , pyrrhic
The Moghul Ruler attention  , pyrrhic
Who promptly exhorted one of his ministers , pyrrhic
Keep an eye on this young man, pyrrhic
He is clever, pyrrhic
And I see royal marks on his forehead, pyrrhic
You were shrewd enough , pyrrhic
To sense the great kings fear and suspicion, pyrrhic
You quit his army soon, pyrrhic
During your stint however , pyrrhic
You were sharp enough to notice, pyrrhic
The weakness in the Moghul system, pyrrhic
The  Rulers overdependence on his ministers, pyrrhic
I will not you told yourself, pyrrhic
Make the mistake when I become a ruler , pyrrhic
When Humayun Baburs son ascended the throne , pyrrhic
After his fathers death you saw, pyrrhic
The chance of a lifetime, pyrrhic
You inflicted a crushing defeat , pyrrhic
On him in the battle of Chausa in 1539 , pyrrhic
Became Sher Shah the Emperor, pyrrhic
From Farid Khan to Sher Shah, pyrrhic
An amazing trajectory, pyrrhic
Comparable to Napoleons, pyrrhic
You are acknowledged even today as a brilliant strategist , pyrrhic
A gifted administrator and a capable General, pyrrhic
Your whole life is indeed an object lesson , pyrrhic
In strategy diplomacy and administration, pyrrhic
India Post in the 1970s honoured you  , pyrrhic
By issuing a postal stamp, pyrrhic
You were by and large a role model for the later Moghul, pyrrhic
King Akbar the Great, pyrrhic
And at the same time a standing warning to him, pyrrhic
Dont collide headon with the Rajputs , pyrrhic
The fine warrior race of Rajasthan, pyrrhic
Akbar befriended them, pyrrhic
And had the best of both worlds, pyrrhic
But Emperor Aurangazeb, pyrrhic
Though he came much later , pyrrhic
Was too obtuse to follow this lesson , pyrrhic
Well you chose to take on the Rajputs, pyrrhic
And not surprisingly got into trouble, pyrrhic
Your earlier victory , pyrrhic
Over the Rajput King Maldeo of Marwar , pyrrhic
You achieved by causing dissension between the King , pyrrhic
And his able Generals by forging letters , pyrrhic
Which were as you rightly expected intercepted , pyrrhic
Maldeo left the battle field disgusted , pyrrhic
You won, pyrrhic
This strategy is known as Mitrabheda, pyrrhic
as spelt out in Panchatantra, pyrrhic
And you knew it by instinct, pyrrhic
All is fair in love and war, pyrrhic
Anyway yours was after all a pyrrhic victory, pyrrhic
Considering your losses, pyrrhic
Which you yourself highly regretted, pyrrhic
Much earlier in your career however, pyrrhic
You practised a different strategy known as Mitralabha , pyrrhic
Securing that is friends and allies , pyrrhic
You formed an alliance with Ujjaini Rajputs in Bihar , pyrrhic
And so were able to defeat the mighty Sultan of Bengal, pyrrhic
But later in your life you ignored , pyrrhic
This strategyat your peril , pyrrhic
The crows in Panchatantra were able , pyrrhic
To defeat the clever owls, pyrrhic
Because of the sane counsel, pyrrhic
they had from Chiranjeevin the wise crow, pyrrhic
Thats what the whole book , pyrrhic
Of Kakolukiyam of Panchtantra is about, pyrrhic
But you shunned counsellors , pyrrhic
Presumably because of the lesson , pyrrhic
That you had learnt earlier from the Moghuls, pyrrhic
So you lost your own life Labdhapranasam, pyrrhic
You resorted to Aparikhitakaraka illconsidered action, pyrrhic
Which Panchantra urges us to avoid , pyrrhic
In the year 1545 in the battle of Kalinjar, pyrrhic
For a small cause , pyrrhic
You besieged the historic Rajput Fort, pyrrhic
All your tactics failed, pyrrhic
Then you took a drastic step, pyrrhic
You decided to blow up , pyrrhic
The strong Fort with gunpowder, pyrrhic
You yourself were blown up, pyrrhic
Oh such a spring in sixtythree, pyrrhic
the orchard there for miles theyd see, pyrrhic
light shades of pink that tinged the clouds, pyrrhic
on blossoms where the bees would crowd, pyrrhic
and dance from tree to tree, pyrrhic
