البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
تُقيمُ المَأتَمَ الأَعلى عَلى جُهدٍ وَإِعوالِ,عَلى جُهدٍ وَإِعوالِ,تُقيمُ المَأتَمَ الأَعلى,الهزج,الفند الزماني
وَلَولا نَبلُ عَوضٍ في خَضُمّاتي وَأَوصالي,في خَضُمّاتي وَأَوصالي,وَلَولا نَبلُ عَوضٍ,الهزج,الفند الزماني
لَطاعَنتُ صُدورَ الخَيـ ـلِ طَعناً لَيسَ بِالآلي,ـلِ طَعناً لَيسَ بِالآلي,لَطاعَنتُ صُدورَ الخَيـ,الهزج,الفند الزماني
تَرى الخَيلَ عَلى آثا رِ رُمحي في السَنا العالي,رِ رُمحي في السَنا العالي,تَرى الخَيلَ عَلى آثا,الهزج,الفند الزماني
تَفادي كَتضفادي الوَح شِ مِن أَغضَف رِئبالِ,شِ مِن أَغضَف رِئبالِ,تَفادي كَتضفادي الوَح,الهزج,الفند الزماني
وَلا تُبقي صُروف الده رِ إِنساناً عَلى حالِ,رِ إِنساناً عَلى حالِ,وَلا تُبقي صُروف الده,الهزج,الفند الزماني
تَفَتَّيتُ بِها إِذ كَـ ـرِهَ الشَكَّةَ أَمثالي,ـرِهَ الشَكَّةَ أَمثالي,تَفَتَّيتُ بِها إِذ كَـ,الهزج,الفند الزماني
كَجَيبِ الدَفنِسِ الوَرها ءِ ريعَت بَعدَ إِجفالِ,ءِ ريعَت بَعدَ إِجفالِ,كَجَيبِ الدَفنِسِ الوَرها,الهزج,الفند الزماني
وُجودي فيكَ مَفقودُ وَفَقدي فيكَ موجودُ,وَفَقدي فيكَ موجودُ,وُجودي فيكَ مَفقودُ,الهزج,المكزون السنجاري
وَمَعقودي مَحلولٌ وَمُحلولِيَ مَعقودُ,وَمُحلولِيَ مَعقودُ,وَمَعقودي مَحلولٌ,الهزج,المكزون السنجاري
وَمَسدودِيَ مَفتوحٌ وَمَفتوحِيَ مَسدودُ,وَمَفتوحِيَ مَسدودُ,وَمَسدودِيَ مَفتوحٌ,الهزج,المكزون السنجاري
وَتَعديدِيَ تَوحيدٌ وَتَوحيدِيَ تَعديدُ,وَتَوحيدِيَ تَعديدُ,وَتَعديدِيَ تَوحيدٌ,الهزج,المكزون السنجاري
وَمَوعودِيَ مَنقودٌ وَمَنقودِيَ مَوعودُ,وَمَنقودِيَ مَوعودُ,وَمَوعودِيَ مَنقودٌ,الهزج,المكزون السنجاري
وَمَشهودِيَ مِستورٌ وَمَستورِيَ مِشهودُ,وَمَستورِيَ مِشهودُ,وَمَشهودِيَ مِستورٌ,الهزج,المكزون السنجاري
وَمَقصودِيَ مَرفوضٌ وَمَرفوضِيَ مَقصودُ,وَمَرفوضِيَ مَقصودُ,وَمَقصودِيَ مَرفوضٌ,الهزج,المكزون السنجاري
وَجدي بِكَ فُقداني وَكُفري لَكَ إيماني,وَكُفري لَكَ إيماني,وَجدي بِكَ فُقداني,الهزج,المكزون السنجاري
وَتَعديدُكَ في وَصفي عَلى التَوحيدِ بُرهاني,عَلى التَوحيدِ بُرهاني,وَتَعديدُكَ في وَصفي,الهزج,المكزون السنجاري
وَنَفيي لَكَ إِثباتي وَإِنكارُكَ عِرفاني,وَإِنكارُكَ عِرفاني,وَنَفيي لَكَ إِثباتي,الهزج,المكزون السنجاري
وَتَنزيلُكِ تَأويلي وَقُرآنُكِ فُرقاني,وَقُرآنُكِ فُرقاني,وَتَنزيلُكِ تَأويلي,الهزج,المكزون السنجاري
وَفي الإِعجامِ إِعرابي وَفي الأَلغازِ تِبياني,وَفي الأَلغازِ تِبياني,وَفي الإِعجامِ إِعرابي,الهزج,المكزون السنجاري
وَنِيسانُكَ لي ذِكرٌ وَفي ذِكرِكَ نِسياني,وَفي ذِكرِكَ نِسياني,وَنِيسانُكَ لي ذِكرٌ,الهزج,المكزون السنجاري
وَفي قُربِكَ لي بُعدٌ وَعَن أُنسٍ وَعَن جانِ,وَعَن أُنسٍ وَعَن جانِ,وَفي قُربِكَ لي بُعدٌ,الهزج,المكزون السنجاري
بِنَقطٍ زادَ في الخَطِّ يُبينُ النَقصَ في الشَكلِ,يُبينُ النَقصَ في الشَكلِ,بِنَقطٍ زادَ في الخَطِّ,الهزج,المكزون السنجاري
وَلَولا الحَرفُ ما بانَ باسِمَ اللَحنِ في الفِعلِ,باسِمَ اللَحنِ في الفِعلِ,وَلَولا الحَرفُ ما بانَ,الهزج,المكزون السنجاري
وَلا صارَ وَقَد كانَ لَبيباً تابَعَ الجَهلَ,لَبيباً تابَعَ الجَهلَ,وَلا صارَ وَقَد كانَ,الهزج,المكزون السنجاري
تعالَت ذاتُ مَولايَ عَن الإِدراكِ بِاللَحظِ,عَن الإِدراكِ بِاللَحظِ,تعالَت ذاتُ مَولايَ,الهزج,المكزون السنجاري
وَعَن تَضمينِ مَعنى الحُسنِ مِنها صورَةُ اللَفظِ,مِنها صورَةُ اللَفظِ,وَعَن تَضمينِ مَعنى الحُسنِ,الهزج,المكزون السنجاري
تركت المالَ والجاه لأهل القِدرِ والقِدره,لأهل القِدرِ والقِدره,تركت المالَ والجاه,الهزج,ابن نباته المصري
فحسبي من حمىً كسرٌ وحسبي من غنى كسرَه,وحسبي من غنى كسرَه,فحسبي من حمىً كسرٌ,الهزج,ابن نباته المصري
فرطتُ فيكِ بسوءِ تَدْبِيري فجرى القضاءُ بعكسِ تَقْدِيري,فجرى القضاءُ بعكسِ تَقْدِيري,فرطتُ فيكِ بسوءِ تَدْبِيري,الهزج,ابن سناء الملك
وحميتُ صَفْوِي فيكِ عن كدرٍ حتَّى مُنِيتُ بكل تَكْدِيرِ,حتَّى مُنِيتُ بكل تَكْدِيرِ,وحميتُ صَفْوِي فيكِ عن كدرٍ,الهزج,ابن سناء الملك
وسَمَحْتُ فيكِ بِرَاحَتي كَرماً من يَشْتَرِي كَرَمِي بتَقْتِيرِ,من يَشْتَرِي كَرَمِي بتَقْتِيرِ,وسَمَحْتُ فيكِ بِرَاحَتي كَرماً,الهزج,ابن سناء الملك
وحَذِرْتُ هَتْكَ السِّتْرِ منك وقَدْ أَوقَعْتِني في كل مَحْذُورِ,أَوقَعْتِني في كل مَحْذُورِ,وحَذِرْتُ هَتْكَ السِّتْرِ منك وقَدْ,الهزج,ابن سناء الملك
فكَسَلْتُ فيك فَيَالَهُ كَسَلاً بُسِطَتْ بِهِ أَيْدِي المَقَادِيرِ,بُسِطَتْ بِهِ أَيْدِي المَقَادِيرِ,فكَسَلْتُ فيك فَيَالَهُ كَسَلاً,الهزج,ابن سناء الملك
مالي وللأَقْدَارِ أَظْلِمُهَا قد كان وَصْلُكِ تَحْتَ مَقْدُورِي,قد كان وَصْلُكِ تَحْتَ مَقْدُورِي,مالي وللأَقْدَارِ أَظْلِمُهَا,الهزج,ابن سناء الملك
يُهْنى عليك رَحَى الفؤادِ بِه سكنَ السَّماءَ فحلَّ في البير,سكنَ السَّماءَ فحلَّ في البير,يُهْنى عليك رَحَى الفؤادِ بِه,الهزج,ابن سناء الملك
ما حلَّ عِقداً كنتُ ناظِمَهُ إِلاَّ بِتَعْقِيد وتَغْيير,إِلاَّ بِتَعْقِيد وتَغْيير,ما حلَّ عِقداً كنتُ ناظِمَهُ,الهزج,ابن سناء الملك
رأَيْي فَطِيرٌ ذُكَّ آخِرهُ والرأْيُ يُحْمَدُ بَعْدَ تَخْمِيرِ,والرأْيُ يُحْمَدُ بَعْدَ تَخْمِيرِ,رأَيْي فَطِيرٌ ذُكَّ آخِرهُ,الهزج,ابن سناء الملك
يا لَيْتَني عُزِّزْتُ فيكِ فلو عَزِّرْتُ فيكِ حَمَدْتُ تَعْزِيرِي,عَزِّرْتُ فيكِ حَمَدْتُ تَعْزِيرِي,يا لَيْتَني عُزِّزْتُ فيكِ فلو,الهزج,ابن سناء الملك
بِيَدِي فَيَا نَدَمِي جَرَحْتُ يدَيِ فإِذا بكيتُ فغيرُ مَعْذُورِ,فإِذا بكيتُ فغيرُ مَعْذُورِ,بِيَدِي فَيَا نَدَمِي جَرَحْتُ يدَيِ,الهزج,ابن سناء الملك
يا طائراً حازته وانفتحت عنه يَدايَ فطارَ في الدُّورِ,عنه يَدايَ فطارَ في الدُّورِ,يا طائراً حازته وانفتحت,الهزج,ابن سناء الملك
يا كاسر الأَجفان عن حَوَرٍ حتى تَحَير أَعينُ الحُور,حتى تَحَير أَعينُ الحُور,يا كاسر الأَجفان عن حَوَرٍ,الهزج,ابن سناء الملك
يا من تستَّر ثروةً وغِنىً حتى تهتَّكَ كلُّ مَستورِ,حتى تهتَّكَ كلُّ مَستورِ,يا من تستَّر ثروةً وغِنىً,الهزج,ابن سناء الملك
القلبُ بَعْدَك غيرُ مسرورٍ والرَّبْعُ بعْدَكَ غيرُ مَعْمورِ,والرَّبْعُ بعْدَكَ غيرُ مَعْمورِ,القلبُ بَعْدَك غيرُ مسرورٍ,الهزج,ابن سناء الملك
والشمسُ في عيني قَدْ خَلَعت من بَعْدِ بُعْدِك خِلْعَة النُّور,من بَعْدِ بُعْدِك خِلْعَة النُّور,والشمسُ في عيني قَدْ خَلَعت,الهزج,ابن سناء الملك
والعيشُ بَعْدَك مظلمٌ حَرِجٌ فكأَنما هو قلبُ مَهْجُور,فكأَنما هو قلبُ مَهْجُور,والعيشُ بَعْدَك مظلمٌ حَرِجٌ,الهزج,ابن سناء الملك
والمجلسُ المشهورُ روْنَقُهُ قد صَارَ بَعْدَكَ غيرَ مَشْهُورِ,قد صَارَ بَعْدَكَ غيرَ مَشْهُورِ,والمجلسُ المشهورُ روْنَقُهُ,الهزج,ابن سناء الملك
والكأسُ بَعْدكَ غيرُ ضَاحِكَة والدَّنُّ بعدَكَ غيرُ مَسْجُور,والدَّنُّ بعدَكَ غيرُ مَسْجُور,والكأسُ بَعْدكَ غيرُ ضَاحِكَة,الهزج,ابن سناء الملك
والوردُ صفَّرهُ وأَسقمَهُ همٌّ عليك فصار كالخِيرِي,همٌّ عليك فصار كالخِيرِي,والوردُ صفَّرهُ وأَسقمَهُ,الهزج,ابن سناء الملك
وتفرَّق الإِخوانُ واجتمعوا لكن على نكدٍ وتكديرِ,لكن على نكدٍ وتكديرِ,وتفرَّق الإِخوانُ واجتمعوا,الهزج,ابن سناء الملك
قبروا سرورهمُ عليَّ أَسىً إِنَّ السرور أَجلُّ مَقْبُور,إِنَّ السرور أَجلُّ مَقْبُور,قبروا سرورهمُ عليَّ أَسىً,الهزج,ابن سناء الملك
ولقد أَخذتُ كُلَّ باطيةٍ ولقد نسلتُ كلَّ طُنْبُور,ولقد نسلتُ كلَّ طُنْبُور,ولقد أَخذتُ كُلَّ باطيةٍ,الهزج,ابن سناء الملك
ولقد بكيت ونُحْتُ من حَزَني بغريبِ مَنظُومِي ومَنْثُوري,بغريبِ مَنظُومِي ومَنْثُوري,ولقد بكيت ونُحْتُ من حَزَني,الهزج,ابن سناء الملك
وشكرتُ طيفَكِ حين يطرقُني فعلمتُ أَنِّي أَيُّ مَغْرُورِ,فعلمتُ أَنِّي أَيُّ مَغْرُورِ,وشكرتُ طيفَكِ حين يطرقُني,الهزج,ابن سناء الملك
ضيَّعتُ مِنْكِ الحقَّ متَّضحَا ورجعْتُ أَقْنَعُ مِنك بالزُّور,ورجعْتُ أَقْنَعُ مِنك بالزُّور,ضيَّعتُ مِنْكِ الحقَّ متَّضحَا,الهزج,ابن سناء الملك
وهمت فليس ما سمي ته الإيمان إِيمانا,ته الإيمان إِيمانا,وهمت فليس ما سمي,الهزج,مصطفى التل
ولا هذا الذي قد خل ته تقواك فحوانا,ته تقواك فحوانا,ولا هذا الذي قد خل,الهزج,مصطفى التل
أَتهذي بالسلو وقد غرام الغيد أَضنانا,غرام الغيد أَضنانا,أَتهذي بالسلو وقد,الهزج,مصطفى التل
وقد للكأس تهفو نف س من يسلوه أَحيانا,س من يسلوه أَحيانا,وقد للكأس تهفو نف,الهزج,مصطفى التل
وذو الشوق القديم إِذا تذكر عاد ولهانا,تذكر عاد ولهانا,وذو الشوق القديم إِذا,الهزج,مصطفى التل
فدع عنك الهراء وقم نذع للناس إِعلانا,نذع للناس إِعلانا,فدع عنك الهراء وقم,الهزج,مصطفى التل
أَلا من يشتري بالح ان والألحان تقوانا,ان والألحان تقوانا,أَلا من يشتري بالح,الهزج,مصطفى التل
بسعر صلاة أسبوع ببعض الكأس ملآنا,ببعض الكأس ملآنا,بسعر صلاة أسبوع,الهزج,مصطفى التل
وأَجود صنف تسبيح بذكر اللّه ريانا,بذكر اللّه ريانا,وأَجود صنف تسبيح,الهزج,مصطفى التل
يباع وجملة بالكمش لا يحتاج ميزانا,لا يحتاج ميزانا,يباع وجملة بالكمش,الهزج,مصطفى التل
بنظرة شبه حسناء تطلع في محيانا,تطلع في محيانا,بنظرة شبه حسناء,الهزج,مصطفى التل
فهل وبهذه الأسع ار شارية بعمانا,ار شارية بعمانا,فهل وبهذه الأسع,الهزج,مصطفى التل
لو أَني أَرأَس الوزراء أَو قاض كمولانا,أَو قاض كمولانا,لو أَني أَرأَس الوزراء,الهزج,مصطفى التل
لأَلغيت العقاب ولم أَدع للنفي إِمكانا,أَدع للنفي إِمكانا,لأَلغيت العقاب ولم,الهزج,مصطفى التل
أَما وأنا من اتخ ذوه للإِرهاق ميدانا,ذوه للإِرهاق ميدانا,أَما وأنا من اتخ,الهزج,مصطفى التل
فمن سجن إلى من فى لآخر شط أبوانا,فى لآخر شط أبوانا,فمن سجن إلى من,الهزج,مصطفى التل
فهات الكأس مترعة من الصهباء ألوانا,من الصهباء ألوانا,فهات الكأس مترعة,الهزج,مصطفى التل
يطالعنا بها حبب كعين الديك يقظانا,كعين الديك يقظانا,يطالعنا بها حبب,الهزج,مصطفى التل
وهب عمان ماثلة وظن حميد حمدانا,وظن حميد حمدانا,وهب عمان ماثلة,الهزج,مصطفى التل
وهذا الكوخ ديوان الأم ير وذاك رغدانا,ير وذاك رغدانا,وهذا الكوخ ديوان الأم,الهزج,مصطفى التل
وقل للهبر يا باشا وسم هديب شوشانا,وسم هديب شوشانا,وقل للهبر يا باشا,الهزج,مصطفى التل
وعش رغم القوانين التي آذتك سلطانا,التي آذتك سلطانا,وعش رغم القوانين,الهزج,مصطفى التل
فمثلك من تمرد كلما ساموه إِذعانا,كلما ساموه إِذعانا,فمثلك من تمرد,الهزج,مصطفى التل
لعمر الحق لن يتن كب الإخلاص خذلانا,كب الإخلاص خذلانا,لعمر الحق لن يتن,الهزج,مصطفى التل
وسوف يظل سيف النصر للأحرار معوانا,النصر للأحرار معوانا,وسوف يظل سيف,الهزج,مصطفى التل
وسوف نهير من هذي الصروح الهلس بنيانا,الصروح الهلس بنيانا,وسوف نهير من هذي,الهزج,مصطفى التل
فلا يخدعك ظاهرها ولا تهويل مولانا,ولا تهويل مولانا,فلا يخدعك ظاهرها,الهزج,مصطفى التل
وقل إن قيل لا عفو لعل العفو لا كانا,لعل العفو لا كانا,وقل إن قيل لا عفو,الهزج,مصطفى التل
فعين العزم ترمقنا وعين الحزم ترعانا,وعين الحزم ترعانا,فعين العزم ترمقنا,الهزج,مصطفى التل
ولطف الكاس إِثر الكاس نشربها تولانا,الكاس نشربها تولانا,ولطف الكاس إِثر,الهزج,مصطفى التل
فحسبي بالنخيل الباس ق الفينان جيرانا,ق الفينان جيرانا,فحسبي بالنخيل الباس,الهزج,مصطفى التل
وبالنورية الحسناء والصحراء ندمانا,والصحراء ندمانا,وبالنورية الحسناء,الهزج,مصطفى التل
تَعالَت ذاتُ مَولايَ عَنِ الحَيِّزِ وَالوَصفِ,عَنِ الحَيِّزِ وَالوَصفِ,تَعالَت ذاتُ مَولايَ,الهزج,المكزون السنجاري
وَعَمّا حالَ في الشَكلِ وَما يُلحَظُ بِالطَرفِ,وَما يُلحَظُ بِالطَرفِ,وَعَمّا حالَ في الشَكلِ,الهزج,المكزون السنجاري
وَعَن قَولِ حُلولِيٍّ حَوى المَقصودَ في الطَرفِ,حَوى المَقصودَ في الطَرفِ,وَعَن قَولِ حُلولِيٍّ,الهزج,المكزون السنجاري
دَخَلْتُ فِي حِمَى الرَّاعِي وَقَدْ ضِقْتُ بِأَوْجَاعِي,وَقَدْ ضِقْتُ بِأَوْجَاعِي,دَخَلْتُ فِي حِمَى الرَّاعِي,الهزج,ابن زاكور
وَقُلْتُ سَيِّدِي مُوسَى بَرَى وَجْدِيَ أَضْلاَعِي,بَرَى وَجْدِيَ أَضْلاَعِي,وَقُلْتُ سَيِّدِي مُوسَى,الهزج,ابن زاكور
فَأَنْشَدَنِي الأَسَى مَهْلاً لَقَدْ أَبْلَغْتَ أَسْمَاعِي,لَقَدْ أَبْلَغْتَ أَسْمَاعِي,فَأَنْشَدَنِي الأَسَى مَهْلاً,الهزج,ابن زاكور
عَرَفتُ الشَرَّ لا لِلشَر رِ لَكِن لِتَوَقّيهِ,رِ لَكِن لِتَوَقّيهِ,عَرَفتُ الشَرَّ لا لِلشَر,الهزج,أبو فراس الحمداني
وَمَن لَم يَعرِفِ الشَرَّ مِنَ الخَيرِ يَقَع فيهِ,مِنَ الخَيرِ يَقَع فيهِ,وَمَن لَم يَعرِفِ الشَرَّ,الهزج,أبو فراس الحمداني
إِذَا نِلْنَا الذِي نَهْوى مِنَ الْمَقْصودِ بِالذَّاتِ,مِنَ الْمَقْصودِ بِالذَّاتِ,إِذَا نِلْنَا الذِي نَهْوى,الهزج,ابن زاكور
سَلَوْنَا كُلَّ مَا يَهْوَى مِنْ أَعْرَاضٍ وَلَذَّاتِ,مِنْ أَعْرَاضٍ وَلَذَّاتِ,سَلَوْنَا كُلَّ مَا يَهْوَى,الهزج,ابن زاكور
وَنَسْتَحْلِي الْعَنَا وَالْكَ دَّ فِي جَنْبِ الْمَزِيَّاتِ,دَّ فِي جَنْبِ الْمَزِيَّاتِ,وَنَسْتَحْلِي الْعَنَا وَالْكَ,الهزج,ابن زاكور
أَيا شيعَةَ إِسماعي لَ إِنَّ الصَبرَ قَد عيلا,لَ إِنَّ الصَبرَ قَد عيلا,أَيا شيعَةَ إِسماعي,الهزج,أبو العلاء المعري
كَذاكَ الدَهرُ وَالأَيّا مُ يَفعَلنَ الأَفاعيلا,مُ يَفعَلنَ الأَفاعيلا,كَذاكَ الدَهرُ وَالأَيّا,الهزج,أبو العلاء المعري
أَرى الأَمصارَ لا تَملِ كُ لِلحافِرِ تَنعيلا,كُ لِلحافِرِ تَنعيلا,أَرى الأَمصارَ لا تَملِ,الهزج,أبو العلاء المعري
وَقَد غَيَّرَ مَعناها أَذىً يَأتي أَراعيلا,أَذىً يَأتي أَراعيلا,وَقَد غَيَّرَ مَعناها,الهزج,أبو العلاء المعري
كَما جُزِّئَ بَيتُ الشِع رِ تَقطيعاً وَتَفعيلا,رِ تَقطيعاً وَتَفعيلا,كَما جُزِّئَ بَيتُ الشِع,الهزج,أبو العلاء المعري
لِغَيري بَرقُكَ الخَلَّبُ وَالمُنذِرُ بِالطَلِّ,وَالمُنذِرُ بِالطَلِّ,لِغَيري بَرقُكَ الخَلَّبُ,الهزج,المكزون السنجاري
وَفي مَلكِكَ لَم أَض حَ وَلَم أُسقَ سِوى الوَبلِ,حَ وَلَم أُسقَ سِوى الوَبلِ,وَفي مَلكِكَ لَم أَض,الهزج,المكزون السنجاري
وَلَمّا صِرتَ لي عَيناً رَأَيتُ العَينَ في الكُلِّ,رَأَيتُ العَينَ في الكُلِّ,وَلَمّا صِرتَ لي عَيناً,الهزج,المكزون السنجاري
حَديثٌ جاءَ عَن هابي لَ في الدَهرِ وَقابيلا,لَ في الدَهرِ وَقابيلا,حَديثٌ جاءَ عَن هابي,الهزج,أبو العلاء المعري
وَطَيرٌ عَكَفَت يَوماً عَلى الجَيشِ أَبابيلا,عَلى الجَيشِ أَبابيلا,وَطَيرٌ عَكَفَت يَوماً,الهزج,أبو العلاء المعري
مَتى تَرحَلُ عَن دُنيا تَزيدُ الأَهلَ تَخبيلا,تَزيدُ الأَهلَ تَخبيلا,مَتى تَرحَلُ عَن دُنيا,الهزج,أبو العلاء المعري
سِواهُم نَخَلَ النُصحَ وَلاقوكَ غَرابيلا,وَلاقوكَ غَرابيلا,سِواهُم نَخَلَ النُصحَ,الهزج,أبو العلاء المعري
لَبِسنا مِن مَدى الأَيّا مِ لِلغَيِّ سَرابيلا,مِ لِلغَيِّ سَرابيلا,لَبِسنا مِن مَدى الأَيّا,الهزج,أبو العلاء المعري
وَقَضَّيتُ زَمانَ الشَر خِ تَقيِيداً وَتَكبيلا,خِ تَقيِيداً وَتَكبيلا,وَقَضَّيتُ زَمانَ الشَر,الهزج,أبو العلاء المعري
وَزارَ الطَيفُ في النَومِ فَلَم تَسأَلهُ تَقبيلا,فَلَم تَسأَلهُ تَقبيلا,وَزارَ الطَيفُ في النَومِ,الهزج,أبو العلاء المعري
فَفَرِّق مالَكَ الجَمِّ وَخَلِّ الأَرضَ تَسبيلا,وَخَلِّ الأَرضَ تَسبيلا,فَفَرِّق مالَكَ الجَمِّ,الهزج,أبو العلاء المعري
وَلا تَستَزرِ بِالقَومِ إِذا كانوا تَنابيلا,إِذا كانوا تَنابيلا,وَلا تَستَزرِ بِالقَومِ,الهزج,أبو العلاء المعري
فَما كُنتَ مِنَ الرَهطِ يُعَدّونَ مَقابيلا,يُعَدّونَ مَقابيلا,فَما كُنتَ مِنَ الرَهطِ,الهزج,أبو العلاء المعري
وَلا يَبقى عَلى الساعا تِ أَغفارٌ بِإِشبيلا,تِ أَغفارٌ بِإِشبيلا,وَلا يَبقى عَلى الساعا,الهزج,أبو العلاء المعري
إذا داعبه الحب فماذا يفعل القلب,فماذا يفعل القلب,إذا داعبه الحب,الهزج,مصطفى التل
وهل حرج عليه وإن يكن قد شاخ أن يصبو,يكن قد شاخ أن يصبو,وهل حرج عليه وإن,الهزج,مصطفى التل
وأن يخفق للغزلان ما مر به السرب,ما مر به السرب,وأن يخفق للغزلان,الهزج,مصطفى التل
ألا يا أَيها الخفاق لي طرد الهوى دأب,طرد الهوى دأب,ألا يا أَيها الخفاق لي,الهزج,مصطفى التل
وهب سني على الخمسين قد أَربت ولم ترب,قد أَربت ولم ترب,وهب سني على الخمسين,الهزج,مصطفى التل
أأغضي إن مكحلة إلي بها رمى الدرب,إلي بها رمى الدرب,أأغضي إن مكحلة,الهزج,مصطفى التل
أدرها أيها الساقي أَدرها انتظم الشرب,أَدرها انتظم الشرب,أدرها أيها الساقي,الهزج,مصطفى التل
وقل للعاتبين علي طردي لهوى انكبوا,لهوى انكبوا,وقل للعاتبين علي طردي,الهزج,مصطفى التل
ودع عمان يسكرها الرياء الوقح والكذب,الرياء الوقح والكذب,ودع عمان يسكرها,الهزج,مصطفى التل
لقد هزلت شويهاتي فأرف ق حسبها حلب,ق حسبها حلب,لقد هزلت شويهاتي فأرف,الهزج,مصطفى التل
أما تدري بأن لها كما لك يا أخي رب,كما لك يا أخي رب,أما تدري بأن لها,الهزج,مصطفى التل
فلا كلأ ولا ملأ ولا ماء ولا عشب,ولا ماء ولا عشب,فلا كلأ ولا ملأ,الهزج,مصطفى التل
لبئس الحق لا يحمي حماه الصارم العضب,حماه الصارم العضب,لبئس الحق لا يحمي,الهزج,مصطفى التل
على سوق مزيفة مذ الكسحان ما دبوا,مذ الكسحان ما دبوا,على سوق مزيفة,الهزج,مصطفى التل
بادغالك يا زيتون برم ا استأسد الذئب,ا استأسد الذئب,بادغالك يا زيتون برم,الهزج,مصطفى التل
ومذ أبصرت كسحاناً بهم تتبرم الدرب,بهم تتبرم الدرب,ومذ أبصرت كسحاناً,الهزج,مصطفى التل
لقد آليت يا ندم ان لا أَمشي وأن أحبو,ان لا أَمشي وأن أحبو,لقد آليت يا ندم,الهزج,مصطفى التل
وَقَد أَختَلِسُ الطَعنَـ ـةَ لا يَدمى لَها نَصلي,ـةَ لا يَدمى لَها نَصلي,وَقَد أَختَلِسُ الطَعنَـ,الهزج,المسيب بن علس
كَجَيبِ الدِفنِسِ الورها ءَ ريعَت وَهيَ تَستَفلي,ءَ ريعَت وَهيَ تَستَفلي,كَجَيبِ الدِفنِسِ الورها,الهزج,المسيب بن علس
وَأَقْوامٍ لَهُمْ فِي العِشْ قِ حُكْمُ القَطْعِ والبَتِّ,قِ حُكْمُ القَطْعِ والبَتِّ,وَأَقْوامٍ لَهُمْ فِي العِشْ,الهزج,الشاب الظريف
يَلُوطونَ عَلى الإِبْنِ وَيَزْنُونَ مَعَ البِنْتِ,وَيَزْنُونَ مَعَ البِنْتِ,يَلُوطونَ عَلى الإِبْنِ,الهزج,الشاب الظريف
وَمَنْ يَسْلَمُ مِنْ قَوْمٍ يَدُبُّونَ عَلى الكَفْتِي,يَدُبُّونَ عَلى الكَفْتِي,وَمَنْ يَسْلَمُ مِنْ قَوْمٍ,الهزج,الشاب الظريف
