البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
صَمَّ سَمعي فيهِ عَن عَذَلٍ وَاِبنُ سِتّينَ أَخو صَمَمِ,وَاِبنُ سِتّينَ أَخو صَمَمِ,صَمَّ سَمعي فيهِ عَن عَذَلٍ,المديد,ابن خفاجه
فَأَراني لا أَرى صَدَداً عَن وُلوعٍ وَالغَرامُ عَمي,عَن وُلوعٍ وَالغَرامُ عَمي,فَأَراني لا أَرى صَدَداً,المديد,ابن خفاجه
أَينَ ما عانَيتُ مِن شَغَفٍ أَينَ ماقَضَّيتُ مِن لَمَمِ,أَينَ ماقَضَّيتُ مِن لَمَمِ,أَينَ ما عانَيتُ مِن شَغَفٍ,المديد,ابن خفاجه
أَينَ ما أَحرَزتُ مِن أَمَلٍ آلَ يَطويني عَلى أَلَمِ,آلَ يَطويني عَلى أَلَمِ,أَينَ ما أَحرَزتُ مِن أَمَلٍ,المديد,ابن خفاجه
هَلَ لَدَيَّ اليَومَ مِنهُ سِوى طولِ قَرعِ السِنِّ مِن نَدَمِ,طولِ قَرعِ السِنِّ مِن نَدَمِ,هَلَ لَدَيَّ اليَومَ مِنهُ سِوى,المديد,ابن خفاجه
كُلُّ رَيّانٍ إِلى ظَمَإٍ كُلُّ وِجدانٍ إِلى عَدَمِ,كُلُّ وِجدانٍ إِلى عَدَمِ,كُلُّ رَيّانٍ إِلى ظَمَإٍ,المديد,ابن خفاجه
أَيُّ شَملٍ غَيرُ مُنصَدِعٍ أَيُّ حَبلٍ غَيرُ مُنصَرِمِ,أَيُّ حَبلٍ غَيرُ مُنصَرِمِ,أَيُّ شَملٍ غَيرُ مُنصَدِعٍ,المديد,ابن خفاجه
آهِ تَحتَ اللَيلِ مِن أَرَقٍ وَوَراءَ البُرءِ مِن سَقَمِ,وَوَراءَ البُرءِ مِن سَقَمِ,آهِ تَحتَ اللَيلِ مِن أَرَقٍ,المديد,ابن خفاجه
مالَ بي عَن عَيشَةٍ كَرُمَت عُمُرٌ أَدنى إِلى الهَرَمِ,عُمُرٌ أَدنى إِلى الهَرَمِ,مالَ بي عَن عَيشَةٍ كَرُمَت,المديد,ابن خفاجه
عاثَ في خَطِّ العِذارِ بِهِ شَرَرٌ قَد طارَ في فَحَمِ,شَرَرٌ قَد طارَ في فَحَمِ,عاثَ في خَطِّ العِذارِ بِهِ,المديد,ابن خفاجه
وَبَياضُ العَيشِ مُقتَرِنٌ بِسَوادِ العُذرِ وَاللَمَمِ,بِسَوادِ العُذرِ وَاللَمَمِ,وَبَياضُ العَيشِ مُقتَرِنٌ,المديد,ابن خفاجه
وَكَفاني مَسُّ فاقَتِهِ أَن يُذيعَ الدَهرُ مُهتَضَمي,أَن يُذيعَ الدَهرُ مُهتَضَمي,وَكَفاني مَسُّ فاقَتِهِ,المديد,ابن خفاجه
لا لَعَمرِ المَجدِ وَالكَرَمِ وَمَضاءِ السَيفِ وَالقَلَمِ,وَمَضاءِ السَيفِ وَالقَلَمِ,لا لَعَمرِ المَجدِ وَالكَرَمِ,المديد,ابن خفاجه
قَسَماً بَرّاً وَيَشفَعُهُ قَسَمٌ أَرعاهُ مِن قَسَمِ,قَسَمٌ أَرعاهُ مِن قَسَمِ,قَسَماً بَرّاً وَيَشفَعُهُ,المديد,ابن خفاجه
لا يَنالُ الدَهرُ مِن جِهَتي وَبِإِبراهيمَ مُعتَصَمي,وَبِإِبراهيمَ مُعتَصَمي,لا يَنالُ الدَهرُ مِن جِهَتي,المديد,ابن خفاجه
الإِمامُ المُستَقِلُّ بِهِ رُكنُ بَيتِ الفَضلِ وَالكَرَمِ,رُكنُ بَيتِ الفَضلِ وَالكَرَمِ,الإِمامُ المُستَقِلُّ بِهِ,المديد,ابن خفاجه
وَالشِهابُ المُستَضاءُ بِهِ في دَياجي الظُلمِ وَالظُلَمِ,في دَياجي الظُلمِ وَالظُلَمِ,وَالشِهابُ المُستَضاءُ بِهِ,المديد,ابن خفاجه
مِلءُ نَفسِ الدَهرِ مِن شَرَفٍ قَد رَسا طَوداً عَلى القِدَمِ,قَد رَسا طَوداً عَلى القِدَمِ,مِلءُ نَفسِ الدَهرِ مِن شَرَفٍ,المديد,ابن خفاجه
وَسَماحٌ باسِطٌ يَدَهُ بِاليَدِ الطولى مِنَ النِعَمِ,بِاليَدِ الطولى مِنَ النِعَمِ,وَسَماحٌ باسِطٌ يَدَهُ,المديد,ابن خفاجه
مِن قُرَيشٍ في الصَميمِ وَمِن فِتيَةِ الهَيجاءِ في القِمَمِ,فِتيَةِ الهَيجاءِ في القِمَمِ,مِن قُرَيشٍ في الصَميمِ وَمِن,المديد,ابن خفاجه
حَمَلَت زَهوَ الكَلامِ بِهِ دَولَةٌ قامَت عَلى قَدَمِ,دَولَةٌ قامَت عَلى قَدَمِ,حَمَلَت زَهوَ الكَلامِ بِهِ,المديد,ابن خفاجه
نَهَضَت في كُلِّ مُعضِلَةٍ بِوُجودِ السَعدِ في الخَدَمِ,بِوُجودِ السَعدِ في الخَدَمِ,نَهَضَت في كُلِّ مُعضِلَةٍ,المديد,ابن خفاجه
وَاِهتَدَت في كُلِّ مَجهَلَةٍ بِأَبي إِسحاقَ مِن عَلَمِ,بِأَبي إِسحاقَ مِن عَلَمِ,وَاِهتَدَت في كُلِّ مَجهَلَةٍ,المديد,ابن خفاجه
يالَهُ مِن فارِسٍ نَجِدٍ لَو نَضا عَن صارِمٍ خَذِمِ,لَو نَضا عَن صارِمٍ خَذِمِ,يالَهُ مِن فارِسٍ نَجِدٍ,المديد,ابن خفاجه
وَاِرتَدى مِنهُ عَلى غَضَبٍ بِحُسامٍ غَيرِ مُنثَلِمِ,بِحُسامٍ غَيرِ مُنثَلِمِ,وَاِرتَدى مِنهُ عَلى غَضَبٍ,المديد,ابن خفاجه
نُضِيَت يَوماً بِهِ ظُبَتا مَشرَفِيٍّ لَيسَ بِالقَصِمِ,مَشرَفِيٍّ لَيسَ بِالقَصِمِ,نُضِيَت يَوماً بِهِ ظُبَتا,المديد,ابن خفاجه
كَم مَضى يَفري وَكَم سَفَكَت شَفرَتاهُ مِن عَبيطِ دَمِ,شَفرَتاهُ مِن عَبيطِ دَمِ,كَم مَضى يَفري وَكَم سَفَكَت,المديد,ابن خفاجه
وَالحُسامُ المَشرَفِيُّ هُنا رَمزَةٌ تومي إِلى الحَشَمِ,رَمزَةٌ تومي إِلى الحَشَمِ,وَالحُسامُ المَشرَفِيُّ هُنا,المديد,ابن خفاجه
وَرِجالٌ قادَةٌ نُجُبٌ نَزَلوا عَن رُتبَةِ البُهُمِ,نَزَلوا عَن رُتبَةِ البُهُمِ,وَرِجالٌ قادَةٌ نُجُبٌ,المديد,ابن خفاجه
وَأَحَلّوا مِن مَراكِزِهِم وَاِستَطارَت خَيلُهُم بِهِمِ,وَاِستَطارَت خَيلُهُم بِهِمِ,وَأَحَلّوا مِن مَراكِزِهِم,المديد,ابن خفاجه
فَتَفرّى الجَيشُ عَن مِلكٍ سافِرٍ عَن وَجهِ مُلتَثِمِ,سافِرٍ عَن وَجهِ مُلتَثِمِ,فَتَفرّى الجَيشُ عَن مِلكٍ,المديد,ابن خفاجه
مُقدِمٍ في الرَوعِ مُجتَرِئٍ ضارِبٍ بِالسَيفِ مُقتَحِمِ,ضارِبٍ بِالسَيفِ مُقتَحِمِ,مُقدِمٍ في الرَوعِ مُجتَرِئٍ,المديد,ابن خفاجه
وَبِهِم ماجَرَّ ذَلِكَ مِن كَلَمِ عارٍ أَو جَنى كَلِمِ,كَلَمِ عارٍ أَو جَنى كَلِمِ,وَبِهِم ماجَرَّ ذَلِكَ مِن,المديد,ابن خفاجه
لا تُقَدِّم غَيرَ مُضطَهَدٍ وَقَريعٍ غَيرِ مُهتَضِمِ,وَقَريعٍ غَيرِ مُهتَضِمِ,لا تُقَدِّم غَيرَ مُضطَهَدٍ,المديد,ابن خفاجه
صابِرٍ في اللَهِ مُحتَسِبٍ واثِقٍ بِاللَهِ مُعتَصِمِ,واثِقٍ بِاللَهِ مُعتَصِمِ,صابِرٍ في اللَهِ مُحتَسِبٍ,المديد,ابن خفاجه
في ضَمانِ المَشرَفِيِّ بِهِ وَقعَةٌ لِلعُربِ في العَجَمِ,وَقعَةٌ لِلعُربِ في العَجَمِ,في ضَمانِ المَشرَفِيِّ بِهِ,المديد,ابن خفاجه
فَتكَةٌ في الرومِ قاصِمَةٌ ظَهرَ عِزِّ الرومِ وَالصَنَمِ,ظَهرَ عِزِّ الرومِ وَالصَنَمِ,فَتكَةٌ في الرومِ قاصِمَةٌ,المديد,ابن خفاجه
يَجمَعُ الضَربُ التَوأَمُ بِها بَينَ فَلِّ الرومِ وَالرِمَمَِ,بَينَ فَلِّ الرومِ وَالرِمَمَِ,يَجمَعُ الضَربُ التَوأَمُ بِها,المديد,ابن خفاجه
حَقُّ حِمصٍ أَن تُسَرَّ بِهِ أَرضُها مِن عالَمٍ عَلَمِ,أَرضُها مِن عالَمٍ عَلَمِ,حَقُّ حِمصٍ أَن تُسَرَّ بِهِ,المديد,ابن خفاجه
وَغَمامٌ دونَ رَيِّقِهِ بَرقُ بِشرٍ غَيرُ مُتَّهَمِ,بَرقُ بِشرٍ غَيرُ مُتَّهَمِ,وَغَمامٌ دونَ رَيِّقِهِ,المديد,ابن خفاجه
مَا اِبتَدى إِلّا رَأَيتَ بِهِ شَيخَ رَأيٍ في فَتى كَرَمِ,شَيخَ رَأيٍ في فَتى كَرَمِ,مَا اِبتَدى إِلّا رَأَيتَ بِهِ,المديد,ابن خفاجه
ظَلَّ يَندى وَجهُهُ خَفَراً وَهوَ ذاكي شُعلَةِ الفَهَمِ,وَهوَ ذاكي شُعلَةِ الفَهَمِ,ظَلَّ يَندى وَجهُهُ خَفَراً,المديد,ابن خفاجه
سَخِرَت بِالنَجمِ هِمَّتُهُ وَاِزدَرَت يُمناهُ بِالدِيَمِ,وَاِزدَرَت يُمناهُ بِالدِيَمِ,سَخِرَت بِالنَجمِ هِمَّتُهُ,المديد,ابن خفاجه
أَعصَمَت نَفسُ اِمرِئٍ عَلِقَت مِنهُ بِالوُثقى مِنَ العِصَمِ,مِنهُ بِالوُثقى مِنَ العِصَمِ,أَعصَمَت نَفسُ اِمرِئٍ عَلِقَت,المديد,ابن خفاجه
وَاِستَجارَت مِن مُخَيَّمِهِ بِفَناءِ البَيتِ وَالحَرَمِ,بِفَناءِ البَيتِ وَالحَرَمِ,وَاِستَجارَت مِن مُخَيَّمِهِ,المديد,ابن خفاجه
عَلِمت قدرَ الّذي صَنعت فَاِنثَنت صفراءَ تعتذرُ,فَاِنثَنت صفراءَ تعتذرُ,عَلِمت قدرَ الّذي صَنعت,المديد,ابن عمرو الأغماتي
عِفتُ هذا العيش في صوره في صفاء الدهر في كدرِه,في صفاء الدهر في كدرِه,عِفتُ هذا العيش في صوره,المديد,رفعت الصليبي
الفتى يسعى لغايته ويجدُ الموت في أثره,ويجدُ الموت في أثره,الفتى يسعى لغايته,المديد,رفعت الصليبي
ثم يطويه الزمان ولم يبلغ المرجوّ من وطَره,يبلغ المرجوّ من وطَره,ثم يطويه الزمان ولم,المديد,رفعت الصليبي
ضاقَ ذَرعي مِن هَوى قَمرٍ قَمَرُ القَلبِ وَما شَعَرا,قَمَرُ القَلبِ وَما شَعَرا,ضاقَ ذَرعي مِن هَوى قَمرٍ,المديد,الميكالي
لَيتَ أَجفاني بِهِ سَعِدت فَتَرى الجَفنَ الَّذي فَتَرا,فَتَرى الجَفنَ الَّذي فَتَرا,لَيتَ أَجفاني بِهِ سَعِدت,المديد,الميكالي
لَستَ مِن صَدِّي وَلا رَشَدي فَاِفهَمِ التَفنيدَ لِلفَندِ,فَاِفهَمِ التَفنيدَ لِلفَندِ,لَستَ مِن صَدِّي وَلا رَشَدي,المديد,القاضي الفاضل
بِلِساني لَستَ تَملِكُني وَيَدي لَم تَعلُها بِيَدِ,وَيَدي لَم تَعلُها بِيَدِ,بِلِساني لَستَ تَملِكُني,المديد,القاضي الفاضل
أَنتَ مِثلي في دِيارِهِمُ راجِياً لِلمِقولِ السَدَدِ,راجِياً لِلمِقولِ السَدَدِ,أَنتَ مِثلي في دِيارِهِمُ,المديد,القاضي الفاضل
وَهيَ تَعيا في الجَوابِ لَهُم وَيكَ ما بِالرَبعِ مِن أَحَدِ,وَيكَ ما بِالرَبعِ مِن أَحَدِ,وَهيَ تَعيا في الجَوابِ لَهُم,المديد,القاضي الفاضل
قَد حَمى الغَيرانُ شَمسَ هَوىً مِنهُ عَينُ الشَمسِ في رَمدِ,مِنهُ عَينُ الشَمسِ في رَمدِ,قَد حَمى الغَيرانُ شَمسَ هَوىً,المديد,القاضي الفاضل
لا تَزُرها بَعدَ ذِئبِ هَوىً إِنَّ تِلكَ الشَمسَ في الأَسَدِ,إِنَّ تِلكَ الشَمسَ في الأَسَدِ,لا تَزُرها بَعدَ ذِئبِ هَوىً,المديد,القاضي الفاضل
لي علَي خَدِّ الحَبِيبِ دَمُ فإلى مَنْ فِيهِ أَحتَكِمُ,فإلى مَنْ فِيهِ أَحتَكِمُ,لي علَي خَدِّ الحَبِيبِ دَمُ,المديد,السراج الوراق
مَا أُبرِّي منهُ ناظِرَهُ وَهْوَ بِالعُشَّاقِ مُتَّهَمُ,وَهْوَ بِالعُشَّاقِ مُتَّهَمُ,مَا أُبرِّي منهُ ناظِرَهُ,المديد,السراج الوراق
قالَتِ الجَوزاءُ حينَ رَأَت جَفنَهُ قَد واصَلَ السَهَرا,جَفنَهُ قَد واصَلَ السَهَرا,قالَتِ الجَوزاءُ حينَ رَأَت,المديد,حافظ ابراهيم
ما لِهَذا الصَبِّ في وَلَهٍ أَتُراهُ يَعشَقُ القَمَرا,أَتُراهُ يَعشَقُ القَمَرا,ما لِهَذا الصَبِّ في وَلَهٍ,المديد,حافظ ابراهيم
ربَعيٌّ من بني جُشَمٍ كل بيتٍ منه خفَّانُ,كل بيتٍ منه خفَّانُ,ربَعيٌّ من بني جُشَمٍ,المديد,الحيص بيص
حولهُ جُرْدٌ مُسومةٌ وظُبىً بيضٌ وخرْصانُ,وظُبىً بيضٌ وخرْصانُ,حولهُ جُرْدٌ مُسومةٌ,المديد,الحيص بيص
ترجفُ البَيداءُ إن ركبوا فكأَنَّ القاعَ نَشْوانُ,فكأَنَّ القاعَ نَشْوانُ,ترجفُ البَيداءُ إن ركبوا,المديد,الحيص بيص
غَدَروا ظُلماً بلا سببٍ فَوَفيُّ القوم خَوَّانُ,فَوَفيُّ القوم خَوَّانُ,غَدَروا ظُلماً بلا سببٍ,المديد,الحيص بيص
فصبحْنا هم على نُذُرٍ وبَشيرُ الصُّبْح عَجْلانُ,وبَشيرُ الصُّبْح عَجْلانُ,فصبحْنا هم على نُذُرٍ,المديد,الحيص بيص
غارةً يَرْوي الحُسامُ بها وكميُّ الجيشِ ظَمْآنُ,وكميُّ الجيشِ ظَمْآنُ,غارةً يَرْوي الحُسامُ بها,المديد,الحيص بيص
رَعَتِ الأرماحَ خَيْلُهم فكأنَّ السُّمْرَ حَوْذانُ,فكأنَّ السُّمْرَ حَوْذانُ,رَعَتِ الأرماحَ خَيْلُهم,المديد,الحيص بيص
وأذلَّتْهم بسالتُنا فالأبيُّ القَيْلُ مِذْعانُ,فالأبيُّ القَيْلُ مِذْعانُ,وأذلَّتْهم بسالتُنا,المديد,الحيص بيص
نحنُ قومٌ من بني مُضرٍ جَدُّنا في الفخر عَدنانُ,جَدُّنا في الفخر عَدنانُ,نحنُ قومٌ من بني مُضرٍ,المديد,الحيص بيص
خُشُنٌ والضَّيمُ مُعْتَرضٌ ذُلُلٌ والنَّاسُ إِخوان,ذُلُلٌ والنَّاسُ إِخوان,خُشُنٌ والضَّيمُ مُعْتَرضٌ,المديد,الحيص بيص
نارُنا فوقَ الجبالِ بها يهتدي سَفْرٌ ورُكبانُ,يهتدي سَفْرٌ ورُكبانُ,نارُنا فوقَ الجبالِ بها,المديد,الحيص بيص
كلُّ مِطْعامٍ على سَغبٍ وهو يومَ الرَّوع مِطعانُ,وهو يومَ الرَّوع مِطعانُ,كلُّ مِطْعامٍ على سَغبٍ,المديد,الحيص بيص
وعلى النَّادي تُضيءُ لنا أوجهٌ غُرٌّ وتيجانُ,أوجهٌ غُرٌّ وتيجانُ,وعلى النَّادي تُضيءُ لنا,المديد,الحيص بيص
مَعْشري لا مَعْشرٌ كُهُمٌ زانَهم حُسْنٌ وإِحْسانُ,زانَهم حُسْنٌ وإِحْسانُ,مَعْشري لا مَعْشرٌ كُهُمٌ,المديد,الحيص بيص
خُطباءٌ لا يَفوتُهُم في أداءِ القولِ تِبْيانُ,في أداءِ القولِ تِبْيانُ,خُطباءٌ لا يَفوتُهُم,المديد,الحيص بيص
ومُلوكٌ والملوكُ لَهُمْ في امتِثالِ الأمر عُبْدانُ,في امتِثالِ الأمر عُبْدانُ,ومُلوكٌ والملوكُ لَهُمْ,المديد,الحيص بيص
يَحسدُ الدَّأمأءُ أيْديَهم ونسيمُ الليلِ شفَّانُ,ونسيمُ الليلِ شفَّانُ,يَحسدُ الدَّأمأءُ أيْديَهم,المديد,الحيص بيص
كرضيِّ الدينِ يَحْسدُهُ في نَداهُ الغَمْرِ تَهْتانُ,في نَداهُ الغَمْرِ تَهْتانُ,كرضيِّ الدينِ يَحْسدُهُ,المديد,الحيص بيص
واهبُ الدُّنيا بمُعْذرةٍ حيثُ مُعْطى النَّزْرِ مَنَّانُ,حيثُ مُعْطى النَّزْرِ مَنَّانُ,واهبُ الدُّنيا بمُعْذرةٍ,المديد,الحيص بيص
نائمٌ عن كل مُخْزيةٍ وهو في العلياء يَقظان,وهو في العلياء يَقظان,نائمٌ عن كل مُخْزيةٍ,المديد,الحيص بيص
غَيثُ جَدْبٍ وهو جَذْلانُ ليثُ حربٍ وهو غَضبانُ,ليثُ حربٍ وهو غَضبانُ,غَيثُ جَدْبٍ وهو جَذْلانُ,المديد,الحيص بيص
كرمٌ ما شابَ رَيِّقَهُ لأولي الحاجاتِ ليَّانُ,لأولي الحاجاتِ ليَّانُ,كرمٌ ما شابَ رَيِّقَهُ,المديد,الحيص بيص
أتراهُ يتركُ الغَزَلا وعليه شبَّ واكتهلا,وعليه شبَّ واكتهلا,أتراهُ يتركُ الغَزَلا,المديد,أبو بكر بن مجبر
كلفٌ بالغيد ما عقلت نفسه السلوانَ مذ عقلا,نفسه السلوانَ مذ عقلا,كلفٌ بالغيد ما عقلت,المديد,أبو بكر بن مجبر
غير راضٍ عن سجيّة من ذاق طعمَ الحبِّ ثم سلا,ذاق طعمَ الحبِّ ثم سلا,غير راضٍ عن سجيّة من,المديد,أبو بكر بن مجبر
أيها اللوام ويحكم إن لي عن لومكم شغلا,إن لي عن لومكم شغلا,أيها اللوام ويحكم,المديد,أبو بكر بن مجبر
ثقلت عنلومكم أذنٌ لم يجد فيها الهوى ثقلا,لم يجد فيها الهوى ثقلا,ثقلت عنلومكم أذنٌ,المديد,أبو بكر بن مجبر
تسمعُ النجوى وإن خفيت وهي ليست تسمع العُذلا,وهي ليست تسمع العُذلا,تسمعُ النجوى وإن خفيت,المديد,أبو بكر بن مجبر
نظرت عيني بشقوتها نظراتٍ وافقت أجلا,نظراتٍ وافقت أجلا,نظرت عيني بشقوتها,المديد,أبو بكر بن مجبر
غادةٌ لما مثلتُ لها تركتني في الهوى مثلا,تركتني في الهوى مثلا,غادةٌ لما مثلتُ لها,المديد,أبو بكر بن مجبر
هي بزتني الشباب فقد صارَ في أجفانِها كحلا,صارَ في أجفانِها كحلا,هي بزتني الشباب فقد,المديد,أبو بكر بن مجبر
أبطل الحقَّ الذي يبدي سحر عينيها وما بطلا,سحر عينيها وما بطلا,أبطل الحقَّ الذي يبدي,المديد,أبو بكر بن مجبر
عرضت دلاً فإذ فطنت بولوعي أعرضت خَجلا,بولوعي أعرضت خَجلا,عرضت دلاً فإذ فطنت,المديد,أبو بكر بن مجبر
وبدا لي أنها وجلت من هناتٍ تبعثُ الوجَلا,من هناتٍ تبعثُ الوجَلا,وبدا لي أنها وجلت,المديد,أبو بكر بن مجبر
حسبت اني سأحرِقُها إذ رأت رأسي قد اشتعلا,إذ رأت رأسي قد اشتعلا,حسبت اني سأحرِقُها,المديد,أبو بكر بن مجبر
يا سُراةَ الحي مثلكُمُ يتلافى الحادث الجللا,يتلافى الحادث الجللا,يا سُراةَ الحي مثلكُمُ,المديد,أبو بكر بن مجبر
قد نزلنا في جواركم فشكرنا ذلك النُزُلا,فشكرنا ذلك النُزُلا,قد نزلنا في جواركم,المديد,أبو بكر بن مجبر
ثم واجهنا ظباءكم فلقينا الهولَ والوَهَلا,فلقينا الهولَ والوَهَلا,ثم واجهنا ظباءكم,المديد,أبو بكر بن مجبر
أضمنتم أمن جيرتِكُم ثم ما آمنتُمُ السُبُلا,ثم ما آمنتُمُ السُبُلا,أضمنتم أمن جيرتِكُم,المديد,أبو بكر بن مجبر
وأردتُم غصبَ أنفسهم فبثثتُم بينها المُقلا,فبثثتُم بينها المُقلا,وأردتُم غصبَ أنفسهم,المديد,أبو بكر بن مجبر
ليتنا خُضنا السيوفَ ولم نلقَ تلك الأعيُنَ النُجَلا,نلقَ تلك الأعيُنَ النُجَلا,ليتنا خُضنا السيوفَ ولم,المديد,أبو بكر بن مجبر
عارضتنا منكمُ فئةٌ أحدثت في عهدِنا دخلا,أحدثت في عهدِنا دخلا,عارضتنا منكمُ فئةٌ,المديد,أبو بكر بن مجبر
فعلياتٌ جفونهم وهم لم يعرفوا ثُعلا,وهم لم يعرفوا ثُعلا,فعلياتٌ جفونهم,المديد,أبو بكر بن مجبر
