البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
أَيا ما أُحَيسِنَها مُقلَةً وَلَولا المَلاحَةَ لَم أَعجَبِ,وَلَولا المَلاحَةَ لَم أَعجَبِ,أَيا ما أُحَيسِنَها مُقلَةً,المتقارب,المتنبي
خَلوقِيَّةٌ في خَلوقِيِّها سُوَيداءُ مِن عِنَبِ الثَعلَبِ,سُوَيداءُ مِن عِنَبِ الثَعلَبِ,خَلوقِيَّةٌ في خَلوقِيِّها,المتقارب,المتنبي
إِذا نَظَرَ البازُ في عِطفِهِ كَسَتهُ شُعاعاً عَلى المَنكِبِ,كَسَتهُ شُعاعاً عَلى المَنكِبِ,إِذا نَظَرَ البازُ في عِطفِهِ,المتقارب,المتنبي
وكنا قديماً روايا المئين بنا يثق الجارمُ المبسِلُ,بنا يثق الجارمُ المبسِلُ,وكنا قديماً روايا المئين,المتقارب,الكميت بن زيد
أَصُمتَ الشُهورَ فَهَلّا صَمَتَّ وَلا صَومَ حَتّى تُطيلَ الصُموتا,وَلا صَومَ حَتّى تُطيلَ الصُموتا,أَصُمتَ الشُهورَ فَهَلّا صَمَتَّ,المتقارب,أبو العلاء المعري
يُلاقي الفَتى عَيشَهُ بِالضَلالِ وَيَبقى عَلَيهِ إِلى أَن يَموتا,وَيَبقى عَلَيهِ إِلى أَن يَموتا,يُلاقي الفَتى عَيشَهُ بِالضَلالِ,المتقارب,أبو العلاء المعري
ذَكَرْتُ عُلاكُمْ بِحُكْمِ الأدِيبْ فَراقَ الكَلامُ وَراقَ النَّسِيبْ,فَراقَ الكَلامُ وَراقَ النَّسِيبْ,ذَكَرْتُ عُلاكُمْ بِحُكْمِ الأدِيبْ,المتقارب,ابن زاكور
وَجَاءَ الغَريبُ يَقودُ البَديعْ وَجاءَ البَديعُ يَقودُ الغَريبْ,وَجاءَ البَديعُ يَقودُ الغَريبْ,وَجَاءَ الغَريبُ يَقودُ البَديعْ,المتقارب,ابن زاكور
جَزَاكُمْ عَلى ما وَصَلْتُمْ بِهِ جَنَاحَ الأَديبِ سَميعٌ مُجِيبْ,جَنَاحَ الأَديبِ سَميعٌ مُجِيبْ,جَزَاكُمْ عَلى ما وَصَلْتُمْ بِهِ,المتقارب,ابن زاكور
كَأَنِّيَ قَدْ نِلْتُ مَا نَالَهُ فَلِي فِي الْمَسَرَّةِ أَوْفَى نَصِيبْ,فَلِي فِي الْمَسَرَّةِ أَوْفَى نَصِيبْ,كَأَنِّيَ قَدْ نِلْتُ مَا نَالَهُ,المتقارب,ابن زاكور
فَشُكْرِي لِآلاَئِكُمْ عِنْدَهُ وَعِنْدِيَ شُكْرُ الْغَيوثِ الْجَدِيبْ,وَعِنْدِيَ شُكْرُ الْغَيوثِ الْجَدِيبْ,فَشُكْرِي لِآلاَئِكُمْ عِنْدَهُ,المتقارب,ابن زاكور
وَقَوْلِي وَقَدْ هَزَّنِي صُنْعُكُمْ كَهَزِّ الصَّبِا لِلْقَضيبِ الرَّطيبْ,كَهَزِّ الصَّبِا لِلْقَضيبِ الرَّطيبْ,وَقَوْلِي وَقَدْ هَزَّنِي صُنْعُكُمْ,المتقارب,ابن زاكور
بَقِيتَ وَنُعْمَاكَ مَرْجُوَةٌ وَفَاسُكَ مِصْرٌ وَأَنْتَ الْخَصِيبْ,وَفَاسُكَ مِصْرٌ وَأَنْتَ الْخَصِيبْ,بَقِيتَ وَنُعْمَاكَ مَرْجُوَةٌ,المتقارب,ابن زاكور
خَوارِزمُ عِندِيَ خَيرُ البِلادِ فَلا أَقلَعَت سحبُها المُغدِقَه,فَلا أَقلَعَت سحبُها المُغدِقَه,خَوارِزمُ عِندِيَ خَيرُ البِلادِ,المتقارب,ابن عنين
فُطوبى لِوَجهِ اِمريءٍ صَبَّحَتـ ـهُ أَوجُهُ فِتيانِها المُشرِقَه,ـهُ أَوجُهُ فِتيانِها المُشرِقَه,فُطوبى لِوَجهِ اِمريءٍ صَبَّحَتـ,المتقارب,ابن عنين
وَما إِن نَقِمتُ بِها حالَةً سِوى أَن أَقامَت بِها مُقلقَه,سِوى أَن أَقامَت بِها مُقلقَه,وَما إِن نَقِمتُ بِها حالَةً,المتقارب,ابن عنين
وَلَيسَ سُكوتي رِضاً عَنهُمُ وَلَكِنَّهُ غَضَبٌ عاقِلُ,وَلَكِنَّهُ غَضَبٌ عاقِلُ,وَلَيسَ سُكوتي رِضاً عَنهُمُ,المتقارب,القاضي الفاضل
أَعبّاسُ إِنّا وَما بَينَنا كَصَدعِ الزُجاجَةِ لا يُجبَرُ,كَصَدعِ الزُجاجَةِ لا يُجبَرُ,أَعبّاسُ إِنّا وَما بَينَنا,المتقارب,خفاف بن ندبة السلمي
فَلَستَ بِكُفءٍ لِأَعراضِنا وَأَنتَ بِشَتمِكُم أَجدَرُ,وَأَنتَ بِشَتمِكُم أَجدَرُ,فَلَستَ بِكُفءٍ لِأَعراضِنا,المتقارب,خفاف بن ندبة السلمي
وَلَسنا بِأَهلٍ لَما قُلتُمو وَنَحنُ بِشَتمِكُمُ أَعذَرُ,وَنَحنُ بِشَتمِكُمُ أَعذَرُ,وَلَسنا بِأَهلٍ لَما قُلتُمو,المتقارب,خفاف بن ندبة السلمي
أَراكَ بَصيراً بِتِلكَ الَّتي تُردُ وَعَن غَيرِها أَعوَرُ,تُردُ وَعَن غَيرِها أَعوَرُ,أَراكَ بَصيراً بِتِلكَ الَّتي,المتقارب,خفاف بن ندبة السلمي
فَقَصرُكُ مِنّي رَقيقُ الذُبا بِ عَضبُ كَريهَتِهِ مُبترُ,بِ عَضبُ كَريهَتِهِ مُبترُ,فَقَصرُكُ مِنّي رَقيقُ الذُبا,المتقارب,خفاف بن ندبة السلمي
وَأَزرَقُ في رَأَسِ خَطِيَّةٍ إِذا هَزَّ اِكعَبَها تَخطِرُ,إِذا هَزَّ اِكعَبَها تَخطِرُ,وَأَزرَقُ في رَأَسِ خَطِيَّةٍ,المتقارب,خفاف بن ندبة السلمي
يَلوحُ السِنانُ عَلى مَتنِها كَنارٍ عَلى مَرقَبٍ تُسعَرُ,كَنارٍ عَلى مَرقَبٍ تُسعَرُ,يَلوحُ السِنانُ عَلى مَتنِها,المتقارب,خفاف بن ندبة السلمي
وَزَعفٌ دِلاصٌ كَماءِ الغَديرِ تَوارَثَهُ قَبلَهُ حِميَرُ,تَوارَثَهُ قَبلَهُ حِميَرُ,وَزَعفٌ دِلاصٌ كَماءِ الغَديرِ,المتقارب,خفاف بن ندبة السلمي
فَتِلكَ وَجَرداءُ خَيفانَةٌ إِذا زُجِرَ الخَيلُ لا تُزجَرُ,إِذا زُجِرَ الخَيلُ لا تُزجَرُ,فَتِلكَ وَجَرداءُ خَيفانَةٌ,المتقارب,خفاف بن ندبة السلمي
إِذا أَلقَتِ الخَيلُ أَولادَها فَأَنتَ عَلى جَريِها أَقدَرُ,فَأَنتَ عَلى جَريِها أَقدَرُ,إِذا أَلقَتِ الخَيلُ أَولادَها,المتقارب,خفاف بن ندبة السلمي
مَتى يَبلُلِ الماءُ أَعطافَها تَبُذُّ الجِيادَ وَما تُبهِرُ,تَبُذُّ الجِيادَ وَما تُبهِرُ,مَتى يَبلُلِ الماءُ أَعطافَها,المتقارب,خفاف بن ندبة السلمي
أُنَهنِهُ بِالسَوطِ مِن غَربِها وَأُقدمُها حَيثُ لا يُنكرُ,وَأُقدمُها حَيثُ لا يُنكرُ,أُنَهنِهُ بِالسَوطِ مِن غَربِها,المتقارب,خفاف بن ندبة السلمي
وَأَرحَضُها غَيرَ مَذمومَةٍ بِلَبّاتِها العَلَقَ الأَحمَرُ,بِلَبّاتِها العَلَقَ الأَحمَرُ,وَأَرحَضُها غَيرَ مَذمومَةٍ,المتقارب,خفاف بن ندبة السلمي
أَقولُ وَقَد شُكَّ أَقرابُها غَدَرتَ وَمِثلي لا يُغدَرُ,غَدَرتَ وَمِثلي لا يُغدَرُ,أَقولُ وَقَد شُكَّ أَقرابُها,المتقارب,خفاف بن ندبة السلمي
وَأُشهِدُها غَمَراتِ الحُروبِ فَسِيّانِ تَسلُمِ أَو تُعقَرُ,فَسِيّانِ تَسلُمِ أَو تُعقَرُ,وَأُشهِدُها غَمَراتِ الحُروبِ,المتقارب,خفاف بن ندبة السلمي
أَعبّاسُ أَنّ اِستَعارَ القَصيدُ في غَيرِ مَعشَرِهِ مُنكَرُ,في غَيرِ مَعشَرِهِ مُنكَرُ,أَعبّاسُ أَنّ اِستَعارَ القَصيدُ,المتقارب,خفاف بن ندبة السلمي
عَلامَ تَناوَلُ ما لا تَنالَ فَتَقطَعُ نَفسَكَ أَو تَخسَرُ,فَتَقطَعُ نَفسَكَ أَو تَخسَرُ,عَلامَ تَناوَلُ ما لا تَنالَ,المتقارب,خفاف بن ندبة السلمي
فَإِنَّ الرِهانَ إِذا ما أُريدَ فَصاحِبُهُ الشامِخَ المُخطِرُ,فَصاحِبُهُ الشامِخَ المُخطِرُ,فَإِنَّ الرِهانَ إِذا ما أُريدَ,المتقارب,خفاف بن ندبة السلمي
تُخاوِضُ لَم تَستَطِع عُدَّةً كَأَنَّكَ مِن بُغضِنا أَعوَرُ,كَأَنَّكَ مِن بُغضِنا أَعوَرُ,تُخاوِضُ لَم تَستَطِع عُدَّةً,المتقارب,خفاف بن ندبة السلمي
فَقَصرُكَ مَأَثورَةٌ إِن بَقيت أَصحو بِها لَكَ أَو أَسكَرُ,أَصحو بِها لَكَ أَو أَسكَرُ,فَقَصرُكَ مَأَثورَةٌ إِن بَقيت,المتقارب,خفاف بن ندبة السلمي
لِساني وَسَيفي مَعاً فَاِنظُرَن إِلى تَلكَ إِيَّهُما تَبدُرُ,إِلى تَلكَ إِيَّهُما تَبدُرُ,لِساني وَسَيفي مَعاً فَاِنظُرَن,المتقارب,خفاف بن ندبة السلمي
لقد طال ما أسهبَ الناسُ فيكَ ففُقْتَهُمُ بالكلامِ الوجيزِ,ففُقْتَهُمُ بالكلامِ الوجيزِ,لقد طال ما أسهبَ الناسُ فيكَ,المتقارب,ابن قلاقس
إذا عارضتْكَ صُروفُ الزمانِ ورُمْتَ امتناعاً بحرزٍ حريزِ,ورُمْتَ امتناعاً بحرزٍ حريزِ,إذا عارضتْكَ صُروفُ الزمانِ,المتقارب,ابن قلاقس
فأعرِضْ عن الطِبِّ من آدمٍ وعرِّض لها باسمِ عبدِ العزيزِ,وعرِّض لها باسمِ عبدِ العزيزِ,فأعرِضْ عن الطِبِّ من آدمٍ,المتقارب,ابن قلاقس
أَمينَةُ يا بِنتِيَ الغالِيَه أُهَنّيكِ بِالسَنَةِ الثانِيَه,أُهَنّيكِ بِالسَنَةِ الثانِيَه,أَمينَةُ يا بِنتِيَ الغالِيَه,المتقارب,أحمد شوقي
وَأَسأَلُ أَن تَسلَمي لي السِنينَ وَأَن تُرزَقي العَقلَ وَالعافِيَه,وَأَن تُرزَقي العَقلَ وَالعافِيَه,وَأَسأَلُ أَن تَسلَمي لي السِنينَ,المتقارب,أحمد شوقي
وَأَن تُقسَمي لِأَبَرِّ الرِجالِ وَأَن تَلِدي الأَنفُسَ العالِيَه,وَأَن تَلِدي الأَنفُسَ العالِيَه,وَأَن تُقسَمي لِأَبَرِّ الرِجالِ,المتقارب,أحمد شوقي
وَلَكِن سَأَلتُكِ بِالوالِدَينِ وَناشَدتُكِ اللُعَبَ الغالِيَه,وَناشَدتُكِ اللُعَبَ الغالِيَه,وَلَكِن سَأَلتُكِ بِالوالِدَينِ,المتقارب,أحمد شوقي
أَتَدرينَ ما مَرَّ مِن حادِثٍ وَما كانَ في السَنَةِ الماضِيَه,وَما كانَ في السَنَةِ الماضِيَه,أَتَدرينَ ما مَرَّ مِن حادِثٍ,المتقارب,أحمد شوقي
وَكَم بُلتِ في حُلَلٍ مِن حَريرٍ وَكَم قَد كَسَرتِ مِنَ الآنِيَه,وَكَم قَد كَسَرتِ مِنَ الآنِيَه,وَكَم بُلتِ في حُلَلٍ مِن حَريرٍ,المتقارب,أحمد شوقي
وَكَم سَهَرَت في رِضاكِ الجُفونُ وَأَنتِ عَلى غَضَبٍ غافِيَه,وَأَنتِ عَلى غَضَبٍ غافِيَه,وَكَم سَهَرَت في رِضاكِ الجُفونُ,المتقارب,أحمد شوقي
وَكَم قَد خَلَت مِن أَبيكِ الجُيوبُ وَلَيسَت جُيوبُكِ بِالخالِيَه,وَلَيسَت جُيوبُكِ بِالخالِيَه,وَكَم قَد خَلَت مِن أَبيكِ الجُيوبُ,المتقارب,أحمد شوقي
وَكَم قَد شَكا المُرَّ مِن عَيشِهِ وَأَنتِ وَحَلواكِ في ناحِيَه,وَأَنتِ وَحَلواكِ في ناحِيَه,وَكَم قَد شَكا المُرَّ مِن عَيشِهِ,المتقارب,أحمد شوقي
وَكَم قَد مَرِضتِ فَأَسقَمتِهِ وَقُمتِ فَكُنتِ لَهُ شافِيَه,وَقُمتِ فَكُنتِ لَهُ شافِيَه,وَكَم قَد مَرِضتِ فَأَسقَمتِهِ,المتقارب,أحمد شوقي
وَيَضحَكُ إِن جِئتِهِ تَضحَكينَ وَيَبكي إِذا جِئتِهِ باكِيَه,وَيَبكي إِذا جِئتِهِ باكِيَه,وَيَضحَكُ إِن جِئتِهِ تَضحَكينَ,المتقارب,أحمد شوقي
وَمِن عَجَبٍ مَرَّتِ الحادِثاتُ وَأَنتِ لِأَحدَثِها ناسِيَه,وَأَنتِ لِأَحدَثِها ناسِيَه,وَمِن عَجَبٍ مَرَّتِ الحادِثاتُ,المتقارب,أحمد شوقي
فَلَو حَسَدَت مُهجَةٌ وُلدَها حَسَدتُكِ مِن طِفلَةٍ لاهِيَه,حَسَدتُكِ مِن طِفلَةٍ لاهِيَه,فَلَو حَسَدَت مُهجَةٌ وُلدَها,المتقارب,أحمد شوقي
طَرِبتُ وَهَل بِكَ مِن مَطرَبِ ولم تَتَصَابَ وَلَم تَلعَبِ,ولم تَتَصَابَ وَلَم تَلعَبِ,طَرِبتُ وَهَل بِكَ مِن مَطرَبِ,المتقارب,الكميت بن زيد
صَبَابَةَ شَوقٍ تَهِيجُ الحَلِيمَ لا عَارَ فِيهَا عَلَى الأَشيَبِ,لا عَارَ فِيهَا عَلَى الأَشيَبِ,صَبَابَةَ شَوقٍ تَهِيجُ الحَلِيمَ,المتقارب,الكميت بن زيد
وَمَا أَنتَ إِلاّ رُسُومَ الدِّيَار وَلَو كُنَّ كالخِلَلِ المُذهَبِ,وَلَو كُنَّ كالخِلَلِ المُذهَبِ,وَمَا أَنتَ إِلاّ رُسُومَ الدِّيَار,المتقارب,الكميت بن زيد
وَلاَ ظُعُنُ الحَيّ إِذ أدلَجَت بَوَاكِرُ كالإِجلِ والرَّبرَبِ,بَوَاكِرُ كالإِجلِ والرَّبرَبِ,وَلاَ ظُعُنُ الحَيّ إِذ أدلَجَت,المتقارب,الكميت بن زيد
وَلَستَ تَصَبُّ الى الظَّاعِنِينَ اذا ما خَلِيلُكَ لم يَصبَبِ,اذا ما خَلِيلُكَ لم يَصبَبِ,وَلَستَ تَصَبُّ الى الظَّاعِنِينَ,المتقارب,الكميت بن زيد
فَدَع ذِكرَ مَن لَستَ مِن شَأنِهِ ولا هُوَ مِن شَانِكَ المُنصِبِ,ولا هُوَ مِن شَانِكَ المُنصِبِ,فَدَع ذِكرَ مَن لَستَ مِن شَأنِهِ,المتقارب,الكميت بن زيد
وهَاتِ الثَّنَاءَ لأَهلِ الثَّنَاءِ بأَصوَبِ قَولِكَ فالأَصوَبِ,بأَصوَبِ قَولِكَ فالأَصوَبِ,وهَاتِ الثَّنَاءَ لأَهلِ الثَّنَاءِ,المتقارب,الكميت بن زيد
بَنِي هَاشِم فَهُمُ الأَكرَمُونَ بني البَاذِخِ الأَفضَلِ الأَطيَبِ,بني البَاذِخِ الأَفضَلِ الأَطيَبِ,بَنِي هَاشِم فَهُمُ الأَكرَمُونَ,المتقارب,الكميت بن زيد
وإِيَّاهُمُ فاتَّخِذ أولِيَا ءَ من دُونِ ذي النَّسَبِ الأَقرَبِ,ءَ من دُونِ ذي النَّسَبِ الأَقرَبِ,وإِيَّاهُمُ فاتَّخِذ أولِيَا,المتقارب,الكميت بن زيد
وفي حُبِّهِم فَاتَّهِم عَاذِلاً نَهَاكَ وفي حَبلِهم فَاحطِبِ,نَهَاكَ وفي حَبلِهم فَاحطِبِ,وفي حُبِّهِم فَاتَّهِم عَاذِلاً,المتقارب,الكميت بن زيد
أرَى لَهُمُ الفَضلَ والسَّابِقَاتِ وَلَم أتَمَنَّ وَلَم أَحسَبِ,وَلَم أتَمَنَّ وَلَم أَحسَبِ,أرَى لَهُمُ الفَضلَ والسَّابِقَاتِ,المتقارب,الكميت بن زيد
مَسَامِيحُ بِيضٌ كِرَامُ الجُدُودِ مَرَاجِيحُ في الرَّهَجِ الأَصهَبِ,مَرَاجِيحُ في الرَّهَجِ الأَصهَبِ,مَسَامِيحُ بِيضٌ كِرَامُ الجُدُودِ,المتقارب,الكميت بن زيد
إِذا ضَمَّ في الرَّوعِ يَومَ الهِيَا جِ أَخِّر وأَقدِم الى أرحِبِ,جِ أَخِّر وأَقدِم الى أرحِبِ,إِذا ضَمَّ في الرَّوعِ يَومَ الهِيَا,المتقارب,الكميت بن زيد
مَطَاعِيمُ حِينَ تَرُوحُ الشَّمَالُ بِشَفَّانَ قِطقِطِها الأَشهَبٍ,بِشَفَّانَ قِطقِطِها الأَشهَبٍ,مَطَاعِيمُ حِينَ تَرُوحُ الشَّمَالُ,المتقارب,الكميت بن زيد
مَوَاهِيبُ للمُنفِسِ المُستَزَادِ لأَمثَالِهِ حِينَ لا مَوهَبُ,لأَمثَالِهِ حِينَ لا مَوهَبُ,مَوَاهِيبُ للمُنفِسِ المُستَزَادِ,المتقارب,الكميت بن زيد
امارِمُ غُرٌّ حِسَانُ الوُجُوهِ مَطَاعِيمُ للطَّارِقِ الاَجنَبِ,مَطَاعِيمُ للطَّارِقِ الاَجنَبِ,امارِمُ غُرٌّ حِسَانُ الوُجُوهِ,المتقارب,الكميت بن زيد
مَقَارِيُ للضَّيفِ تَحتَ الظَلاَمِ مَوَارِيُ للقَادِحِ المُثقِبِ,مَوَارِيُ للقَادِحِ المُثقِبِ,مَقَارِيُ للضَّيفِ تَحتَ الظَلاَمِ,المتقارب,الكميت بن زيد
إذَا المَرخُ لم يُورِ تَحتَ العَفَارِ وَضُنَّ بِقِدرٍ فَلَم تُعقَبُ,وَضُنَّ بِقِدرٍ فَلَم تُعقَبُ,إذَا المَرخُ لم يُورِ تَحتَ العَفَارِ,المتقارب,الكميت بن زيد
وَرَدتُ مِياهَهم صادِياً بِحَائِمَةٍ وِردَ مُستَعذِبِ,بِحَائِمَةٍ وِردَ مُستَعذِبِ,وَرَدتُ مِياهَهم صادِياً,المتقارب,الكميت بن زيد
فَمَا حَلأتِني عِصِيُّ السُقَاةِ ولا قِيلَ يا ابعَد ولا يا اغرُبِ,ولا قِيلَ يا ابعَد ولا يا اغرُبِ,فَمَا حَلأتِني عِصِيُّ السُقَاةِ,المتقارب,الكميت بن زيد
ولكِن بِخَأجَأَةِ الأَكرَمِينَ بِحَظِّيَ في الأكرَمِ الأَطيَبِ,بِحَظِّيَ في الأكرَمِ الأَطيَبِ,ولكِن بِخَأجَأَةِ الأَكرَمِينَ,المتقارب,الكميت بن زيد
لَئِن طَالَ شِربيَ للآجِنَاتِ لقد طَابَ عِندَهُم مَشرَبِي,لقد طَابَ عِندَهُم مَشرَبِي,لَئِن طَالَ شِربيَ للآجِنَاتِ,المتقارب,الكميت بن زيد
أَجِلُّ وأصدُرُ عَن غَيرِهِم بِرِيّ المُحَلأ والمُوأَبِ,بِرِيّ المُحَلأ والمُوأَبِ,أَجِلُّ وأصدُرُ عَن غَيرِهِم,المتقارب,الكميت بن زيد
أُناسٌ إذا وَرَدَت بَحرَهُم صَوَادِي الغَرَائِبِ لم تُضرَبِ,صَوَادِي الغَرَائِبِ لم تُضرَبِ,أُناسٌ إذا وَرَدَت بَحرَهُم,المتقارب,الكميت بن زيد
وَلَيسَ التَفَحُّشُ من شَأنِهِم ولا طَيرَةُ الغَضَبِ المُغضِبِ,ولا طَيرَةُ الغَضَبِ المُغضِبِ,وَلَيسَ التَفَحُّشُ من شَأنِهِم,المتقارب,الكميت بن زيد
ولا الطَّعنُ في أَعينِ المُقبِلِينَ ولا في قَفَا المُدبِرِ المُذنِبِ,ولا في قَفَا المُدبِرِ المُذنِبِ,ولا الطَّعنُ في أَعينِ المُقبِلِينَ,المتقارب,الكميت بن زيد
نُجُومُ الأُمُورِ اذا أدُلَمِّسَت بِظَلمَاءَ دَيجُورِها الأَشهَبِ,بِظَلمَاءَ دَيجُورِها الأَشهَبِ,نُجُومُ الأُمُورِ اذا أدُلَمِّسَت,المتقارب,الكميت بن زيد
وأهلُ القَدِيمِ وأهلُ الحَدِيثِ إذا نُقِضَت حَبوَةُ المُحتَبِي,إذا نُقِضَت حَبوَةُ المُحتَبِي,وأهلُ القَدِيمِ وأهلُ الحَدِيثِ,المتقارب,الكميت بن زيد
وَشَجوٌ لِنَفسِيَ لم أنسَهُ بِمُعتَرَكِ الطَّفِّ فالمِجنَبِ,بِمُعتَرَكِ الطَّفِّ فالمِجنَبِ,وَشَجوٌ لِنَفسِيَ لم أنسَهُ,المتقارب,الكميت بن زيد
كأَنَّ خُدُودَهُم الواضِحَا تِ بَينَ المَجَرِّ الى المَسحَبِ,تِ بَينَ المَجَرِّ الى المَسحَبِ,كأَنَّ خُدُودَهُم الواضِحَا,المتقارب,الكميت بن زيد
صَفَائِحُ بِيضٌ جَلَتهَا القُيُو نُ مما تُخُيِّرنَ من يَثرِبِ,نُ مما تُخُيِّرنَ من يَثرِبِ,صَفَائِحُ بِيضٌ جَلَتهَا القُيُو,المتقارب,الكميت بن زيد
أؤَمِّلُ عَدلاً عَسَى أن أنَا لَ ما بَينَ شَرقٍ الى مَغرِبِ,لَ ما بَينَ شَرقٍ الى مَغرِبِ,أؤَمِّلُ عَدلاً عَسَى أن أنَا,المتقارب,الكميت بن زيد
رَفَعتُ لهم نَاظِرَي خَائِفٍـ ـعلى الحَقِّ يُقدَعُ مُستَرهِبِ,ـعلى الحَقِّ يُقدَعُ مُستَرهِبِ,رَفَعتُ لهم نَاظِرَي خَائِفٍـ,المتقارب,الكميت بن زيد
ألا قل لقاضي قضاة الأنام أمام التقى ذي الفخار العربق,أمام التقى ذي الفخار العربق,ألا قل لقاضي قضاة الأنام,المتقارب,ابن نباته المصري
لقد حارَ عبدكَ يا سيدي وحقّ الجليل بحقّ الدَّقيق,وحقّ الجليل بحقّ الدَّقيق,لقد حارَ عبدكَ يا سيدي,المتقارب,ابن نباته المصري
كَتَبتُ إِلَيكَ وَلي مُقلَةٌ تَسحُّ بِفَيضٍ عَلَيكَ الغُروبا,تَسحُّ بِفَيضٍ عَلَيكَ الغُروبا,كَتَبتُ إِلَيكَ وَلي مُقلَةٌ,المتقارب,الميكالي
وَقَلبٌ يَذوبُ بنارِ الهَوى وَلَستُ بَخيلاً بِهِ أَن يَذوبا,وَلَستُ بَخيلاً بِهِ أَن يَذوبا,وَقَلبٌ يَذوبُ بنارِ الهَوى,المتقارب,الميكالي
وَمَن يَطوِ مَكنونَ أَحشائِهِ عَلى غُللِ الحُبِّ قاسى الكروبا,عَلى غُللِ الحُبِّ قاسى الكروبا,وَمَن يَطوِ مَكنونَ أَحشائِهِ,المتقارب,الميكالي
وَمَن يُمتَحن بِفراقِ الحَبيبِ يُلاقِ مِنَ الوَجدِ أَمراً عَجيبا,يُلاقِ مِنَ الوَجدِ أَمراً عَجيبا,وَمَن يُمتَحن بِفراقِ الحَبيبِ,المتقارب,الميكالي
وَقَد كُنتُ أَحسَبُني صابِراً جَليدَ القُوى حينَ أَلقى الخُطُوبا,جَليدَ القُوى حينَ أَلقى الخُطُوبا,وَقَد كُنتُ أَحسَبُني صابِراً,المتقارب,الميكالي
فَأَنكَرتُ نَفسي وَأَلفَيتُها ضَعيفَ القُوى إِذ فَقَدتُ الحَبيبا,ضَعيفَ القُوى إِذ فَقَدتُ الحَبيبا,فَأَنكَرتُ نَفسي وَأَلفَيتُها,المتقارب,الميكالي
فَقَد أَلِفَ الجَفنُ فيهِ السَجومَ وَقَد أَلِفَ القَلبُ فيهِ الوَجَيبا,وَقَد أَلِفَ القَلبُ فيهِ الوَجَيبا,فَقَد أَلِفَ الجَفنُ فيهِ السَجومَ,المتقارب,الميكالي
