البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
فردٌ وفي الشدة مثلُ الفيلقِ ومقتدي مذْ كان كلِّ الفِرَقِ,ومقتدي مذْ كان كلِّ الفِرَقِ,فردٌ وفي الشدة مثلُ الفيلقِ,الرجز,ابن قلاقس
يا سيّداً أمثالُه لم تُخلَقِ ثوبي علاهُ وسخٌ كالغسَقِ,ثوبي علاهُ وسخٌ كالغسَقِ,يا سيّداً أمثالُه لم تُخلَقِ,الرجز,ابن قلاقس
أعراضُ من عاداكَ منه تستقي وإنّني أصبحتُ أوفى مُمْلِقِ,وإنّني أصبحتُ أوفى مُمْلِقِ,أعراضُ من عاداكَ منه تستقي,الرجز,ابن قلاقس
لا زلتَ في سعادةٍ لم تُخلِق تلبَسُ من بُرْدِ الفخارِ المونِقِ,تلبَسُ من بُرْدِ الفخارِ المونِقِ,لا زلتَ في سعادةٍ لم تُخلِق,الرجز,ابن قلاقس
إسمَع وَلاَ تَعجَل جَوابَ الأَشترِ واقرَب تُلاَقِي كَأسَ مَوتٍ أَحمَرِ,واقرَب تُلاَقِي كَأسَ مَوتٍ أَحمَرِ,إسمَع وَلاَ تَعجَل جَوابَ الأَشترِ,الرجز,مالك الأشتر
يا هذهِ لا تنطِقي بسَّكِ لا تُنَقْنِقي,بسَّكِ لا تُنَقْنِقي,يا هذهِ لا تنطِقي,الرجز,ابن قلاقس
أما علمتِ أنّني أصبحتُ شيخَ الحُمُقِ,أصبحتُ شيخَ الحُمُقِ,أما علمتِ أنّني,الرجز,ابن قلاقس
أصبحتُ صبّاً هائماً بثوبيَ المزوَّقِ,بثوبيَ المزوَّقِ,أصبحتُ صبّاً هائماً,الرجز,ابن قلاقس
فطبّلي من بعدِ ذا إن شئتِ أو فبوّقي,إن شئتِ أو فبوّقي,فطبّلي من بعدِ ذا,الرجز,ابن قلاقس
وأرْعدي من غضَبٍ عليَّ أو فأبْرِقي,عليَّ أو فأبْرِقي,وأرْعدي من غضَبٍ,الرجز,ابن قلاقس
ودفّفي وبعدَ ذا فإنْ أردتِ صفّقي,فإنْ أردتِ صفّقي,ودفّفي وبعدَ ذا,الرجز,ابن قلاقس
أنا الذي فقتُ الوَرى من قبلِ لبسِ البَخْنقِ,من قبلِ لبسِ البَخْنقِ,أنا الذي فقتُ الوَرى,الرجز,ابن قلاقس
أنا الذي طُفْتُ بلا دَ الغربِ ثم المشرِقِ,دَ الغربِ ثم المشرِقِ,أنا الذي طُفْتُ بلا,الرجز,ابن قلاقس
أنا الذي يا إخوتي أحِبُّ أكلَ الفُسْتِقِ,أحِبُّ أكلَ الفُسْتِقِ,أنا الذي يا إخوتي,الرجز,ابن قلاقس
والتينِ والجوزِ مع ال فانيدِ ثم البُندُقِ,فانيدِ ثم البُندُقِ,والتينِ والجوزِ مع ال,الرجز,ابن قلاقس
يا هذه تعطّفي وتوقّفي ترفّقي,وتوقّفي ترفّقي,يا هذه تعطّفي,الرجز,ابن قلاقس
أمّا أما أمّا أما آن لنا أن نلتقي,آن لنا أن نلتقي,أمّا أما أمّا أما,الرجز,ابن قلاقس
في جو سقٍ مرتفع ناهيكِهِ من جوْسَقِ,ناهيكِهِ من جوْسَقِ,في جو سقٍ مرتفع,الرجز,ابن قلاقس
ها فانْظُري وجهَ هلا لِ الفطرِ فوقَ الأفُقِ,لِ الفطرِ فوقَ الأفُقِ,ها فانْظُري وجهَ هلا,الرجز,ابن قلاقس
كزورقٍ من ذهبٍ أكرمْ به من زورقِ,أكرمْ به من زورقِ,كزورقٍ من ذهبٍ,الرجز,ابن قلاقس
والماءُ في النهرِ غدا مثلَ الحَسامِ الأزرقِ,مثلَ الحَسامِ الأزرقِ,والماءُ في النهرِ غدا,الرجز,ابن قلاقس
كذاك لونُ الأقحوا نِ مثلُ لونِ الزئبَقِ,نِ مثلُ لونِ الزئبَقِ,كذاك لونُ الأقحوا,الرجز,ابن قلاقس
والوردُ كالخدِّ كما ال نرجسُ مثلُ الحدَقِ,نرجسُ مثلُ الحدَقِ,والوردُ كالخدِّ كما ال,الرجز,ابن قلاقس
ويلاهُ من مُهَفْهَفٍ ممَنطَقٍ مُقَرطَقِ,ممَنطَقٍ مُقَرطَقِ,ويلاهُ من مُهَفْهَفٍ,الرجز,ابن قلاقس
ذي وجنةِ أسيلةٍ محمّرةٍ كالشَفَقِ,محمّرةٍ كالشَفَقِ,ذي وجنةِ أسيلةٍ,الرجز,ابن قلاقس
وشعرةٍ مسودّةٍ مثلُ اسودادِ الغسَقِ,مثلُ اسودادِ الغسَقِ,وشعرةٍ مسودّةٍ,الرجز,ابن قلاقس
وقامةٍ تميسُ كال غُصْنِ الرطيبِ المُورقِ,غُصْنِ الرطيبِ المُورقِ,وقامةٍ تميسُ كال,الرجز,ابن قلاقس
يا حُسنَه يختالُ في ذاك القَباءِ الأزرقِ,ذاك القَباءِ الأزرقِ,يا حُسنَه يختالُ في,الرجز,ابن قلاقس
يا هذه لمّا بَدا على الحِصانِ الأبلَقِ,على الحِصانِ الأبلَقِ,يا هذه لمّا بَدا,الرجز,ابن قلاقس
فشمّر الكُمَ الى دَورينِ رأسَ المِرْفَقِ,دَورينِ رأسَ المِرْفَقِ,فشمّر الكُمَ الى,الرجز,ابن قلاقس
ورامَ أن يقفزَ بال أبلقِ عرْضَ الخندَقِ,أبلقِ عرْضَ الخندَقِ,ورامَ أن يقفزَ بال,الرجز,ابن قلاقس
عُلّقْتُه وصرتُ منْ فرطِ الهَوى في قلَقِ,فرطِ الهَوى في قلَقِ,عُلّقْتُه وصرتُ منْ,الرجز,ابن قلاقس
إيهٍ ومن وجدي بهِ أُمسِكُهُ في الطُرُقِ,أُمسِكُهُ في الطُرُقِ,إيهٍ ومن وجدي بهِ,الرجز,ابن قلاقس
ولا أخافُ عاذلاً يعذلني في حُرَقي,يعذلني في حُرَقي,ولا أخافُ عاذلاً,الرجز,ابن قلاقس
ولستُ بالصبِّ الذي قولَ الوشاةِ يتّقي,قولَ الوشاةِ يتّقي,ولستُ بالصبِّ الذي,الرجز,ابن قلاقس
يا عاذلي دع عذَلي فليتني لم أُخْلَقِ,فليتني لم أُخْلَقِ,يا عاذلي دع عذَلي,الرجز,ابن قلاقس
فالناسُ لا شكّ إذاً منهُم سعيدٌ وشَقي,منهُم سعيدٌ وشَقي,فالناسُ لا شكّ إذاً,الرجز,ابن قلاقس
أما السعيدُ فالإما مُ الحافظُ البرّ التّقي,مُ الحافظُ البرّ التّقي,أما السعيدُ فالإما,الرجز,ابن قلاقس
وكلّ مَنْ يحسِدُه فهو مدى الدهرِ الشّقي,فهو مدى الدهرِ الشّقي,وكلّ مَنْ يحسِدُه,الرجز,ابن قلاقس
ما صُورٌ أَبدَعَ في تَركيبِها أَصحابُها,تَركيبِها أَصحابُها,ما صُورٌ أَبدَعَ في,الرجز,الميكالي
مَركَبُها الأَيدي وَفي هاماتِها أَذنابُها,هاماتِها أَذنابُها,مَركَبُها الأَيدي وَفي,الرجز,الميكالي
سألت قلبي عن ذوي العشق وعنْ ما أوْتيته منْ فنون الحسن ميْ,ما أوْتيته منْ فنون الحسن ميْ,سألت قلبي عن ذوي العشق وعنْ,الرجز,ابن نباته المصري
فقالَ لي إنِّي وجدتُ امرأة تملكهم وأوتِيت منْ كلِّ شيْ,تملكهم وأوتِيت منْ كلِّ شيْ,فقالَ لي إنِّي وجدتُ امرأة,الرجز,ابن نباته المصري
لا غرَّني يا صاحبَ الدَّسْتيجَهْ بهجةُ تلك الصورة البهيجَهْ,بهجةُ تلك الصورة البهيجَهْ,لا غرَّني يا صاحبَ الدَّسْتيجَهْ,الرجز,ابن الرومي
كانَت عِداتٌ منك لي نَفِيجَهْ مُقَدَّماتٍ ما لها نَتيجَهْ,مُقَدَّماتٍ ما لها نَتيجَهْ,كانَت عِداتٌ منك لي نَفِيجَهْ,الرجز,ابن الرومي
نَحنُ مَنَعناكُم وُرودَ النَهرِ بِالمُرهَفاتِ وَالرِماحِ السُمرِ,بِالمُرهَفاتِ وَالرِماحِ السُمرِ,نَحنُ مَنَعناكُم وُرودَ النَهرِ,الرجز,الحارث بن عباد
فَوارِسٌ مِن تَغلِبٍ وَبَكرِ عَلى خُيولٍ شُزَّبٍ وَضُمرِ,عَلى خُيولٍ شُزَّبٍ وَضُمرِ,فَوارِسٌ مِن تَغلِبٍ وَبَكرِ,الرجز,الحارث بن عباد
إِنَّ الكُلابَ ماؤُنا فَخَلّواهُ وَساجِراً وَاللَهِ لَن تَحُلّوهُ,وَساجِراً وَاللَهِ لَن تَحُلّوهُ,إِنَّ الكُلابَ ماؤُنا فَخَلّواهُ,الرجز,السفاح التغلبي
يا سيدا أفعاله مقرونة بالسعد,مقرونة بالسعد,يا سيدا أفعاله,الرجز,ابن مليك الحموي
ومن عليه حلة مزرورة بالحمد,مزرورة بالحمد,ومن عليه حلة,الرجز,ابن مليك الحموي
اليك جئت قاصدا يا غايتي وقصدي,يا غايتي وقصدي,اليك جئت قاصدا,الرجز,ابن مليك الحموي
اسعى لنجو بابكم بطاقتي وجهدي,بطاقتي وجهدي,اسعى لنجو بابكم,الرجز,ابن مليك الحموي
بالبر قد اوعدتني يا سيدي بالرد,يا سيدي بالرد,بالبر قد اوعدتني,الرجز,ابن مليك الحموي
فما بيتي سبدة وليدة ما عندي,وليدة ما عندي,فما بيتي سبدة,الرجز,ابن مليك الحموي
وما به من درهم ولا الجديد الفرد,ولا الجديد الفرد,وما به من درهم,الرجز,ابن مليك الحموي
وليس فيه حنطة صاعا ولا من مد,صاعا ولا من مد,وليس فيه حنطة,الرجز,ابن مليك الحموي
كلا ولا من فارة به ولا من جرد,به ولا من جرد,كلا ولا من فارة,الرجز,ابن مليك الحموي
فلو تراني عاريا مضنى حليف السهد,مضنى حليف السهد,فلو تراني عاريا,الرجز,ابن مليك الحموي
مجرداً مرتديا حصيرة من برد,حصيرة من برد,مجرداً مرتديا,الرجز,ابن مليك الحموي
لكنت بالغت معاً في الشكم لي والشكد,في الشكم لي والشكد,لكنت بالغت معاً,الرجز,ابن مليك الحموي
فجد يرقد عائد على صلات الرفد,على صلات الرفد,فجد يرقد عائد,الرجز,ابن مليك الحموي
وخذ قصيدا طيبها يفوق نشر الورد,يفوق نشر الورد,وخذ قصيدا طيبها,الرجز,ابن مليك الحموي
واستجلها شاميّة تغني بها عن هند,تغني بها عن هند,واستجلها شاميّة,الرجز,ابن مليك الحموي
وحرر النقد عسى تؤب لي بالنقد,تؤب لي بالنقد,وحرر النقد عسى,الرجز,ابن مليك الحموي
فلا برحت في العلا ترقى طباق المجد,ترقى طباق المجد,فلا برحت في العلا,الرجز,ابن مليك الحموي
قهرا على غيظ العدا ورغم انف الضد,ورغم انف الضد,قهرا على غيظ العدا,الرجز,ابن مليك الحموي
ما هب عن يمنى الحمى ريح الصبا من نجد,ريح الصبا من نجد,ما هب عن يمنى الحمى,الرجز,ابن مليك الحموي
لَو أَنَّ أَصحابي بَنو مُعاوِيَه أَهلُ جُنوبِ نَخلَةِ الشَآمِيَّه,أَهلُ جُنوبِ نَخلَةِ الشَآمِيَّه,لَو أَنَّ أَصحابي بَنو مُعاوِيَه,الرجز,صخر الغي
ما تَرَكوني لِلكِلابِ العاوِيَه وَلا لِبِرذَونٍ اَغَرِّ الناصِيَه,وَلا لِبِرذَونٍ اَغَرِّ الناصِيَه,ما تَرَكوني لِلكِلابِ العاوِيَه,الرجز,صخر الغي
أَوْمَضَ بَرْقُ الخَجَلِ فانهَلَّ غيثُ المُقَلِ,فانهَلَّ غيثُ المُقَلِ,أَوْمَضَ بَرْقُ الخَجَلِ,الرجز,ابن قلاقس
وافتَرَّ روضُ الحُبِّ عن نُور الصبا والغَزَلِ,نُور الصبا والغَزَلِ,وافتَرَّ روضُ الحُبِّ عن,الرجز,ابن قلاقس
وهَزَّ أَغصانَ القُدو دِ سَجْعُ أَطيارِ الحُلِي,دِ سَجْعُ أَطيارِ الحُلِي,وهَزَّ أَغصانَ القُدو,الرجز,ابن قلاقس
وانآدَ دَوْحُ اللَّهْوِ من حَمْلِ ثمارِ الجَذَلِ,حَمْلِ ثمارِ الجَذَلِ,وانآدَ دَوْحُ اللَّهْوِ من,الرجز,ابن قلاقس
يا مَن دَهاهُ شَعرُه وَكانَ غَضّاً أَمرَدا,وَكانَ غَضّاً أَمرَدا,يا مَن دَهاهُ شَعرُه,الرجز,الميكالي
سِيّانَ فاجأَ أَمرَداً في الخَدِّ شَعرٌ أَم رَدى,في الخَدِّ شَعرٌ أَم رَدى,سِيّانَ فاجأَ أَمرَداً,الرجز,الميكالي
لقد لقيتُ نصباً وقد سُقيت وَصَبَا,وقد سُقيت وَصَبَا,لقد لقيتُ نصباً,الرجز,ابن سناء الملك
بجسدٍ لي قد غدَا مُبَغَّضاً محبَّبا,مُبَغَّضاً محبَّبا,بجسدٍ لي قد غدَا,الرجز,ابن سناء الملك
الحَبُّ قد عَنَيْتُ ما عنَيْت حُبَّ زينبا,عنَيْت حُبَّ زينبا,الحَبُّ قد عَنَيْتُ ما,الرجز,ابن سناء الملك
أَنْبَتَ لي الحَبُّ به أَلف جَرِيبٍ جَرَابا,أَلف جَرِيبٍ جَرَابا,أَنْبَتَ لي الحَبُّ به,الرجز,ابن سناء الملك
يا عَجباً من جَرَتٍ أَبصرتُ مِنْه عجبا,أَبصرتُ مِنْه عجبا,يا عَجباً من جَرَتٍ,الرجز,ابن سناء الملك
اجتمع الضِّدان فيه مِقةً واصْطَحَبَا,مِقةً واصْطَحَبَا,اجتمع الضِّدان فيه,الرجز,ابن سناء الملك
الماءُ منه قد جَرى والجَمر قد تَلَهَّبَا,والجَمر قد تَلَهَّبَا,الماءُ منه قد جَرى,الرجز,ابن سناء الملك
تجري القُيوح أَو أقو لُ بَلغَ السَّيلُ الزُّبى,لُ بَلغَ السَّيلُ الزُّبى,تجري القُيوح أَو أقو,الرجز,ابن سناء الملك
والنّار تُذْكَى أَو أَرى لها عِظَامي حَطَبا,لها عِظَامي حَطَبا,والنّار تُذْكَى أَو أَرى,الرجز,ابن سناء الملك
أَنَامِلي السَّلَى وإِن أَبْصَرْتُ منه رُطَبا,أَبْصَرْتُ منه رُطَبا,أَنَامِلي السَّلَى وإِن,الرجز,ابن سناء الملك
قد خَتموها فضةً من حَصَفٍ وذهَبا,من حَصَفٍ وذهَبا,قد خَتموها فضةً,الرجز,ابن سناء الملك
ترى بها الياقوت والـ ـجوهرَ والمَخْشَلبا,ـجوهرَ والمَخْشَلبا,ترى بها الياقوت والـ,الرجز,ابن سناء الملك
من حَصَفٍ وجربٍ قد أَلْهَبا وأَنهبا,قد أَلْهَبا وأَنهبا,من حَصَفٍ وجربٍ,الرجز,ابن سناء الملك
يقول من أَبصَرني ذَا الأُفْق قد تَكوْكَبا,ذَا الأُفْق قد تَكوْكَبا,يقول من أَبصَرني,الرجز,ابن سناء الملك
فكَوْكَبٌ في مَشْرِقٍ وليس يأْتي مَغْربَا,وليس يأْتي مَغْربَا,فكَوْكَبٌ في مَشْرِقٍ,الرجز,ابن سناء الملك
يُظلم عيشي كلَّما أَبْصَرْتُ فيها كوكبا,أَبْصَرْتُ فيها كوكبا,يُظلم عيشي كلَّما,الرجز,ابن سناء الملك
فما رأَيْتُ حيَّةً إِلاَّ رَأَيْتُ عَقْربَا,إِلاَّ رَأَيْتُ عَقْربَا,فما رأَيْتُ حيَّةً,الرجز,ابن سناء الملك
أُنْخَسُ بالشَّوكِ وقد أُطعَنُ فيها بالشَّبا,أُطعَنُ فيها بالشَّبا,أُنْخَسُ بالشَّوكِ وقد,الرجز,ابن سناء الملك
أَكتم كَفَّيَّ عن النَّـ ـاسِ حَياءً وإِبَا,ـاسِ حَياءً وإِبَا,أَكتم كَفَّيَّ عن النَّـ,الرجز,ابن سناء الملك
ما لاح إِلاَّ واخْتَفى كَفِّيَ عنهمْ واخْتَبا,كَفِّيَ عنهمْ واخْتَبا,ما لاح إِلاَّ واخْتَفى,الرجز,ابن سناء الملك
من الهوانِ عاد كَفِّـ ـي مَلَكاً مُحَجَّبَا,ـي مَلَكاً مُحَجَّبَا,من الهوانِ عاد كَفِّـ,الرجز,ابن سناء الملك
تطرِّزُ القيوحُ والدِّ ماءُ ثَوبِي والقَبَا,ماءُ ثَوبِي والقَبَا,تطرِّزُ القيوحُ والدِّ,الرجز,ابن سناء الملك
أَلْبَسُ ثَوْباً ساذجاً ثم أَراه مُذْهَبَا,ثم أَراه مُذْهَبَا,أَلْبَسُ ثَوْباً ساذجاً,الرجز,ابن سناء الملك
من جُملةِ الجمال صرْ تُ حين صِرْتُ أَجْرَبَا,تُ حين صِرْتُ أَجْرَبَا,من جُملةِ الجمال صرْ,الرجز,ابن سناء الملك
وأَصبح القطْرانُ والـ ـكِبْريتُ مِسْكي الكبَا,ـكِبْريتُ مِسْكي الكبَا,وأَصبح القطْرانُ والـ,الرجز,ابن سناء الملك
يا جرَباً إِن لم أَقل من جَربِي واجَرَبَا,من جَربِي واجَرَبَا,يا جرَباً إِن لم أَقل,الرجز,ابن سناء الملك
أَصبحتُ ذَا القروح لا شِعراً ولكن كَرَبَا,شِعراً ولكن كَرَبَا,أَصبحتُ ذَا القروح لا,الرجز,ابن سناء الملك
ممزَّقَ الجِلدِ مُرا قَ الدَّم مهجورَ الخِبَا,قَ الدَّم مهجورَ الخِبَا,ممزَّقَ الجِلدِ مُرا,الرجز,ابن سناء الملك
فكلُّ من يأْلفُني قد صار لي مُجْتَنِباً,قد صار لي مُجْتَنِباً,فكلُّ من يأْلفُني,الرجز,ابن سناء الملك
وكلُّهم خَوفاً من الـ ـعَدْوى يَفِرُّ هَرَبَا,ـعَدْوى يَفِرُّ هَرَبَا,وكلُّهم خَوفاً من الـ,الرجز,ابن سناء الملك
يُعدي الوَرى الأَجربُ حتى ثوبُه كالثُؤَبَا,حتى ثوبُه كالثُؤَبَا,يُعدي الوَرى الأَجربُ,الرجز,ابن سناء الملك
يا مَرضاً صِرتُ به في منزلي مُغْتَرِبَا,في منزلي مُغْتَرِبَا,يا مَرضاً صِرتُ به,الرجز,ابن سناء الملك
ودونَ أَهْلِي مُفْرداً وعندهم مُذَبْذَبَا,وعندهم مُذَبْذَبَا,ودونَ أَهْلِي مُفْرداً,الرجز,ابن سناء الملك
أرْمَى وكَنْتُ أُصْطَفَى أُقْلَى وكُنْتُ أُجْتَبى,أُقْلَى وكُنْتُ أُجْتَبى,أرْمَى وكَنْتُ أُصْطَفَى,الرجز,ابن سناء الملك
والرأْسُ كنْتُ ثَم صرْ تُ من ذُنُوبِي ذَنَبَا,تُ من ذُنُوبِي ذَنَبَا,والرأْسُ كنْتُ ثَم صرْ,الرجز,ابن سناء الملك
غَضِبْتُ من حَالي وحَقِّي أَنْ أَموتَ غضَبا,وحَقِّي أَنْ أَموتَ غضَبا,غَضِبْتُ من حَالي,الرجز,ابن سناء الملك
لا مرحباً بالعيشِ بل بالموتِ أَلْفَ مرْحَبَا,بالموتِ أَلْفَ مرْحَبَا,لا مرحباً بالعيشِ بل,الرجز,ابن سناء الملك
مرَّتْ حَياتي فوجَدْ تُ المَوْتَ حُلْواً طَيِّبا,تُ المَوْتَ حُلْواً طَيِّبا,مرَّتْ حَياتي فوجَدْ,الرجز,ابن سناء الملك
فما أَلذُّ مَطْعَماً ولا أُسِيغُ مَشْرَبَا,ولا أُسِيغُ مَشْرَبَا,فما أَلذُّ مَطْعَماً,الرجز,ابن سناء الملك
لا عِشْتُ إِن كنْتُ أَعيـ ـش هَكَذَا مُعذَّبَا,ـش هَكَذَا مُعذَّبَا,لا عِشْتُ إِن كنْتُ أَعيـ,الرجز,ابن سناء الملك
قوتي حياتي وكذا سلامتي أن أعطب,سلامتي أن أعطب,قوتي حياتي وكذا,الرجز,ابن سناء الملك
أُفٍّ لدنيا لا يزَا ل المرُء فيها مُتْعَبَا,ل المرُء فيها مُتْعَبَا,أُفٍّ لدنيا لا يزَا,الرجز,ابن سناء الملك
تَجْرِي المقاديرُ بما يكره شاءَ أَوْ أَبَى,يكره شاءَ أَوْ أَبَى,تَجْرِي المقاديرُ بما,الرجز,ابن سناء الملك
هنَّ السِّقامُ والعَنا ءُ والشَّقاءُ والوَبَا,ءُ والشَّقاءُ والوَبَا,هنَّ السِّقامُ والعَنا,الرجز,ابن سناء الملك
وَبيْنَما يَكُونُ كالطَّـ ـوْدِ يَعودُ كالهَبا,ـوْدِ يَعودُ كالهَبا,وَبيْنَما يَكُونُ كالطَّـ,الرجز,ابن سناء الملك
وكم يلاقي مَهْلَكاً إِذا أَراد مَطْلبَاً,إِذا أَراد مَطْلبَاً,وكم يلاقي مَهْلَكاً,الرجز,ابن سناء الملك
والحقُّ ما أَقولُ ما أَقولُ قَطُّ الكذِبَا,أَقولُ قَطُّ الكذِبَا,والحقُّ ما أَقولُ ما,الرجز,ابن سناء الملك
كُنْ بشَراً أَو مَلِكَا أَو مَلَكاً مُقَرَّبا,أَو مَلَكاً مُقَرَّبا,كُنْ بشَراً أَو مَلِكَا,الرجز,ابن سناء الملك
ما دُمْت موجوداً فما تَنْفَكُّ تَلْقَى التَّعَبا,تَنْفَكُّ تَلْقَى التَّعَبا,ما دُمْت موجوداً فما,الرجز,ابن سناء الملك
كانَ لِبَعضِ الناسِ بَبَّغاءُ ما مَلَّ يَوماً نُطقَها الإِصغاءُ,ما مَلَّ يَوماً نُطقَها الإِصغاءُ,كانَ لِبَعضِ الناسِ بَبَّغاءُ,الرجز,أحمد شوقي
رَفيعَةُ القَدرِ لَدى مَولاها وَكُلُّ مَن في بَيتِهِ يَهواها,وَكُلُّ مَن في بَيتِهِ يَهواها,رَفيعَةُ القَدرِ لَدى مَولاها,الرجز,أحمد شوقي
وَكانَ في المَنزِلِ كَلبٌ عالي أَرخَصَهُ وُجودُ هَذا الغالي,أَرخَصَهُ وُجودُ هَذا الغالي,وَكانَ في المَنزِلِ كَلبٌ عالي,الرجز,أحمد شوقي
كَذا القَليلُ بِالكَثيرِ يَنقُصُ وَالفَضلُ بَعضُهُ لِبَعضٍ مُرخِصُ,وَالفَضلُ بَعضُهُ لِبَعضٍ مُرخِصُ,كَذا القَليلُ بِالكَثيرِ يَنقُصُ,الرجز,أحمد شوقي
فَجاءَها يَوماً عَلى غِرارِ وَقَلبُهُ مِن بُغضِها في نارِ,وَقَلبُهُ مِن بُغضِها في نارِ,فَجاءَها يَوماً عَلى غِرارِ,الرجز,أحمد شوقي
وَقالَ يا مَليكَةَ الطُيورِ وَيا حَياةَ الأُنسِ وَالسُرورِ,وَيا حَياةَ الأُنسِ وَالسُرورِ,وَقالَ يا مَليكَةَ الطُيورِ,الرجز,أحمد شوقي
بِحُسنِ نُطقِكِ الَّذي قَد أَصبى إِلّا أَرَيتِني اللِسانَ العَذبا,إِلّا أَرَيتِني اللِسانَ العَذبا,بِحُسنِ نُطقِكِ الَّذي قَد أَصبى,الرجز,أحمد شوقي
لِأَنَّني قَد حِرتُ في التَفَكُّرِ لَمّا سَمِعتُ أَنَّهُ مِن سُكَّرِ,لَمّا سَمِعتُ أَنَّهُ مِن سُكَّرِ,لِأَنَّني قَد حِرتُ في التَفَكُّرِ,الرجز,أحمد شوقي
فَأَخرَجَت مِن طَيشِها لِسانَها فَعَضَّهُ بِنابِهِ فَشانَها,فَعَضَّهُ بِنابِهِ فَشانَها,فَأَخرَجَت مِن طَيشِها لِسانَها,الرجز,أحمد شوقي
ثُمَّ مَضى مِن فَورِهِ يَصيحُ قَطَعتُهُ لِأَنَّهُ فَصيحُ,قَطَعتُهُ لِأَنَّهُ فَصيحُ,ثُمَّ مَضى مِن فَورِهِ يَصيحُ,الرجز,أحمد شوقي
وَما لَها عِندِيَ مِن ثَأرٍ يُعَدُّ غَيرَ الَّذي سَمَّوهُ قِدماً بِالحَسَد,غَيرَ الَّذي سَمَّوهُ قِدماً بِالحَسَد,وَما لَها عِندِيَ مِن ثَأرٍ يُعَدُّ,الرجز,أحمد شوقي
أَلَمَّ عُصفورٌ بِمَجرىً صافِ قَد غابَ تَحتَ الغابِ في الأَلفافِ,قَد غابَ تَحتَ الغابِ في الأَلفافِ,أَلَمَّ عُصفورٌ بِمَجرىً صافِ,الرجز,أحمد شوقي
يَسقي الثَرى مِن حَيثُ لا يَدري الثَرى خَشيَةَ أَن يُسمَعَ عَنهُ أَو يُرى,خَشيَةَ أَن يُسمَعَ عَنهُ أَو يُرى,يَسقي الثَرى مِن حَيثُ لا يَدري الثَرى,الرجز,أحمد شوقي
