البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر,نوع القصيدة
أبكيتِني فبكيتُ من غير ذنبٍ جنيْتُ,من غير ذنبٍ جنيْتُ,أبكيتِني فبكيتُ,المجتث,ابن الرومي
وقلتِ لي امضِ عنّي مُصاحَباً فمضيْتُ,مُصاحَباً فمضيْتُ,وقلتِ لي امضِ عنّي,المجتث,ابن الرومي
ولو أمرتِ بأنّي أقضي الحياةَ قضَيتُ,أقضي الحياةَ قضَيتُ,ولو أمرتِ بأنّي,المجتث,ابن الرومي
أضعْتني فرعيتُ وخُنتني فوفيتُ,وخُنتني فوفيتُ,أضعْتني فرعيتُ,المجتث,ابن الرومي
أطعتِ فيَّ الأعادي وكلّهُمْ قد عصيتُ,وكلّهُمْ قد عصيتُ,أطعتِ فيَّ الأعادي,المجتث,ابن الرومي
فكيف أصبحتِ غَضبَى لمَّا رضاكِ أتيتُ,لمَّا رضاكِ أتيتُ,فكيف أصبحتِ غَضبَى,المجتث,ابن الرومي
فاستضحكتْ ثم قالت جُنِنْتَ قلتُ رَضَيْتُ,جُنِنْتَ قلتُ رَضَيْتُ,فاستضحكتْ ثم قالت,المجتث,ابن الرومي
قالت لعلَّ وِصالي أبيتَ قلتُ أبيتُ,أبيتَ قلتُ أبيتُ,قالت لعلَّ وِصالي,المجتث,ابن الرومي
قالت ثَكِلْتُ أبي إن فَعَلْتَ إن بالَيْتُ,فَعَلْتَ إن بالَيْتُ,قالت ثَكِلْتُ أبي إن,المجتث,ابن الرومي
فلم تزل بيَ حتى إلى هواها ارعويتُ,إلى هواها ارعويتُ,فلم تزل بيَ حتى,المجتث,ابن الرومي
سما مرامي وشطت آمالي الوثابه,آمالي الوثابه,سما مرامي وشطت,المجتث,خليل مطران
فخانني بعد همي والهمة الغلابه,والهمة الغلابه,فخانني بعد همي,المجتث,خليل مطران
من كل ذات غراس فتانةٍ خلابه,فتانةٍ خلابه,من كل ذات غراس,المجتث,خليل مطران
عن كل بنت ربيع بحسنها تنتابه,بحسنها تنتابه,عن كل بنت ربيع,المجتث,خليل مطران
براقبة عن ذكاء ضحاكة عن نجابه,ضحاكة عن نجابه,براقبة عن ذكاء,المجتث,خليل مطران
فواحة عن خصال ذكية مستطابه,ذكية مستطابه,فواحة عن خصال,المجتث,خليل مطران
نقية لم تطالع بأعين مرتابه,بأعين مرتابه,نقية لم تطالع,المجتث,خليل مطران
للمجتلي هي روض وللشجى صحابه,وللشجى صحابه,للمجتلي هي روض,المجتث,خليل مطران
أنيبها في وفاء عنى أعز إنابه,عنى أعز إنابه,أنيبها في وفاء,المجتث,خليل مطران
هي أميرة فضلٍ مصونةٍ وهابه,مصونةٍ وهابه,هي أميرة فضلٍ,المجتث,خليل مطران
أسدت إلي جميلاً وما قضيت نصابه,وما قضيت نصابه,أسدت إلي جميلاً,المجتث,خليل مطران
فظلت في الزهر أبغي تلك التي لا تشابه,تلك التي لا تشابه,فظلت في الزهر أبغي,المجتث,خليل مطران
حتى إذا طال كدي ولم أفز بالطلابه,ولم أفز بالطلابه,حتى إذا طال كدي,المجتث,خليل مطران
رجعت أسأل وهمي تحقيقها بالكتابه,تحقيقها بالكتابه,رجعت أسأل وهمي,المجتث,خليل مطران
فيا أخي كن رسولي ذاك الذي فاتح بابه,ذاك الذي فاتح بابه,فيا أخي كن رسولي,المجتث,خليل مطران
وأحمل إليه الوكى إذا بلغت رحابه,إذا بلغت رحابه,وأحمل إليه الوكى,المجتث,خليل مطران
تمل الهدية رسماً تثيب بعض الإثابه,تثيب بعض الإثابه,تمل الهدية رسماً,المجتث,خليل مطران
قَالُوا قِرَاكُمْ شَعِييٌّ كَذَا بِعَهْدِي كَانَا,كَذَا بِعَهْدِي كَانَا,قَالُوا قِرَاكُمْ شَعِييٌّ,المجتث,خليل مطران
لَكِنْ إِذَا قَدُمَ العَهْدُ أَعَقْبَهُ النُّسْيَانا,أَعَقْبَهُ النُّسْيَانا,لَكِنْ إِذَا قَدُمَ العَهْدُ,المجتث,خليل مطران
ولو بِقَدرِكَ أُهدِي َمَا وَجدتُ هَدِيّه,َمَا وَجدتُ هَدِيّه,ولو بِقَدرِكَ أُهدِي,المجتث,أبو الحسن بن حريق
فَاقبَل بِفَضلِكَ نَزراً قَبولُهُ كَالعَطِيّه,قَبولُهُ كَالعَطِيّه,فَاقبَل بِفَضلِكَ نَزراً,المجتث,أبو الحسن بن حريق
قل للمشارف عني مقال من يتشرر,مقال من يتشرر,قل للمشارف عني,المجتث,عمارة اليمني
والله إن لم يبادر بدفع ما قد تقرر,بدفع ما قد تقرر,والله إن لم يبادر,المجتث,عمارة اليمني
لأرسلن ابن آوى إليك في آل هزفر,إليك في آل هزفر,لأرسلن ابن آوى,المجتث,عمارة اليمني
وابن الحبلق فيمن يليه من جن عبقر,يليه من جن عبقر,وابن الحبلق فيمن,المجتث,عمارة اليمني
هذي إشارة علم تفسيرها ليس يذكر,تفسيرها ليس يذكر,هذي إشارة علم,المجتث,عمارة اليمني
سبَتْ فؤادي وطرفي سمراءُ مثلُ الرُدَيْني,سمراءُ مثلُ الرُدَيْني,سبَتْ فؤادي وطرفي,المجتث,ابن قلاقس
وثُبْتُ هذا وهذا للناسِ في نُقطَتَيْنِ,للناسِ في نُقطَتَيْنِ,وثُبْتُ هذا وهذا,المجتث,ابن قلاقس
فتلكَ حبّةُ قلبي وتلك حبّةُ عَيْني,وتلك حبّةُ عَيْني,فتلكَ حبّةُ قلبي,المجتث,ابن قلاقس
أعددت للضيف بيتاً لا يسكن الضيف أرضه,لا يسكن الضيف أرضه,أعددت للضيف بيتاً,المجتث,بديع الزمان الهمذاني
له معارج تبر على مدارج فضه,على مدارج فضه,له معارج تبر,المجتث,بديع الزمان الهمذاني
جعلت خديّ بعضاً له وقدك بعضه,له وقدك بعضه,جعلت خديّ بعضاً,المجتث,بديع الزمان الهمذاني
فجاء أحسن بيت يناسب الطول عرضه,يناسب الطول عرضه,فجاء أحسن بيت,المجتث,بديع الزمان الهمذاني
بيت إذا لم تزره إليك يسرع نهضه,إليك يسرع نهضه,بيت إذا لم تزره,المجتث,بديع الزمان الهمذاني
له معاطف شتى وخارج الدر فرضه,وخارج الدر فرضه,له معاطف شتى,المجتث,بديع الزمان الهمذاني
يأويه ذو فَسَوات له نواجذ عضه,له نواجذ عضه,يأويه ذو فَسَوات,المجتث,بديع الزمان الهمذاني
له نواجذ حمر فيها ظرائف غضه,فيها ظرائف غضه,له نواجذ حمر,المجتث,بديع الزمان الهمذاني
يفسو عليك فساء لا تألم النفس بعضه,لا تألم النفس بعضه,يفسو عليك فساء,المجتث,بديع الزمان الهمذاني
إذا مددت إليه يمناي آبت بعضّه,يمناي آبت بعضّه,إذا مددت إليه,المجتث,بديع الزمان الهمذاني
رأيت عرفك يانا له وعِرضَك عرضه,له وعِرضَك عرضه,رأيت عرفك يانا,المجتث,بديع الزمان الهمذاني
اللَهُ يَنقُلُ مَن شا ءَ رُتبَةً بَعدَ رُتبَه,ءَ رُتبَةً بَعدَ رُتبَه,اللَهُ يَنقُلُ مَن شا,المجتث,أبو العلاء المعري
أَبدى العَتاهِيُّ نُسكاً وَتابَ مِن ذِكرِ عُتبَه,وَتابَ مِن ذِكرِ عُتبَه,أَبدى العَتاهِيُّ نُسكاً,المجتث,أبو العلاء المعري
وَالخَوفُ أَلزَمَ سُفيا نَ أَن يُغَرِّقَ كُتبَه,نَ أَن يُغَرِّقَ كُتبَه,وَالخَوفُ أَلزَمَ سُفيا,المجتث,أبو العلاء المعري
أهلا بنرجس روض يُزهى بِحُسنٍ وَطيبِ,يُزهى بِحُسنٍ وَطيبِ,أهلا بنرجس روض,المجتث,الميكالي
يَرنو بِعَينٍ غَزالٍ عَلى قَضيبٍ رَطيبِ,عَلى قَضيبٍ رَطيبِ,يَرنو بِعَينٍ غَزالٍ,المجتث,الميكالي
وَفيهِ مَعنىً خَفيٌّ يَزينُهُ في القُلوبِ,يَزينُهُ في القُلوبِ,وَفيهِ مَعنىً خَفيٌّ,المجتث,الميكالي
تَصحِيفُهُ إِن نَسقت الحُروفَ بِرُّ حَبيبِ,الحُروفَ بِرُّ حَبيبِ,تَصحِيفُهُ إِن نَسقت,المجتث,الميكالي
كم قائل إذ رآني أسعَى لأندَى البرِيَّه,أسعَى لأندَى البرِيَّه,كم قائل إذ رآني,المجتث,ابن نباته المصري
عطية منه تبغي فقلتُ ألف عطيَّه,فقلتُ ألف عطيَّه,عطية منه تبغي,المجتث,ابن نباته المصري
يا مانِعي قُوتَ جسْمِي ومانعي قَوتَ رُوحي,ومانعي قَوتَ رُوحي,يا مانِعي قُوتَ جسْمِي,المجتث,ابن الرومي
منعتني من سَلامي عليكَ حين صَبُوحِي,عليكَ حين صَبُوحِي,منعتني من سَلامي,المجتث,ابن الرومي
ومن سُرُوحِيَ فيمَا تُنيلُ حين سُرُوحِي,تُنيلُ حين سُرُوحِي,ومن سُرُوحِيَ فيمَا,المجتث,ابن الرومي
جَرَحْتَ حالي وقد كُنْـ ـتَ آسياً لجُرُوحي,ـتَ آسياً لجُرُوحي,جَرَحْتَ حالي وقد كُنْـ,المجتث,ابن الرومي
إِنَّ الحبيبَ مَلالاً قد صارَ يأْتي لِمَامَا,قد صارَ يأْتي لِمَامَا,إِنَّ الحبيبَ مَلالاً,المجتث,ابن سناء الملك
وعاد بالهجر والصـ ـدِّ هائماً مستهاما,ـدِّ هائماً مستهاما,وعاد بالهجر والصـ,المجتث,ابن سناء الملك
هذا فكم قلت فيه أَما ترى ما ترامى,أَما ترى ما ترامى,هذا فكم قلت فيه,المجتث,ابن سناء الملك
لا أَشْرَبُ الرَّاحَ إِلاَّ ما بَيْنَ شادٍ وشادِنْ,ما بَيْنَ شادٍ وشادِنْ,لا أَشْرَبُ الرَّاحَ إِلاَّ,المجتث,ابن قلاقس
وإِن فَنِيتُ فعندي إِلى مَعَادٍ معادِنُ,إِلى مَعَادٍ معادِنُ,وإِن فَنِيتُ فعندي,المجتث,ابن قلاقس
قُمْ يا نديمِي فأَنْصِتْ والليلُ داجٍ لِداجنْ,والليلُ داجٍ لِداجنْ,قُمْ يا نديمِي فأَنْصِتْ,المجتث,ابن قلاقس
غَنَّى وناحَ فَنَزَّعْ تُ ثوبَ خاشٍ مُخَاشِنْ,تُ ثوبَ خاشٍ مُخَاشِنْ,غَنَّى وناحَ فَنَزَّعْ,المجتث,ابن قلاقس
طاوِعْ على القَصْفِ والعَزْ ف كُلَّ حاسٍ وحاسِنْ,ف كُلَّ حاسٍ وحاسِنْ,طاوِعْ على القَصْفِ والعَزْ,المجتث,ابن قلاقس
وانهَضْ بطيشِكَ عن سِمْ تِ ذي وَقَارٍ وقارِنْ,تِ ذي وَقَارٍ وقارِنْ,وانهَضْ بطيشِكَ عن سِمْ,المجتث,ابن قلاقس
هاتِ الكُمَيْتَ وأَهلاً منها بصَافٍ وصافِنْ,منها بصَافٍ وصافِنْ,هاتِ الكُمَيْتَ وأَهلاً,المجتث,ابن قلاقس
أَثُورُ من ذِي ومن ذا بكُلِّ غابٍ بغابِنْ,بكُلِّ غابٍ بغابِنْ,أَثُورُ من ذِي ومن ذا,المجتث,ابن قلاقس
وإَن رَمَتْني الليالي يوماً بدَاهٍ أُدَاهِنْ,يوماً بدَاهٍ أُدَاهِنْ,وإَن رَمَتْني الليالي,المجتث,ابن قلاقس
إِنَّ البَلِيَّةَ سَدَّت عَلَيَّ طُرقَ المَذاهِب,عَلَيَّ طُرقَ المَذاهِب,إِنَّ البَلِيَّةَ سَدَّت,المجتث,ابو نواس
إِذ أَبصَرَت عَينُ قَلبي لِحَينِهِ المُتَقارِب,لِحَينِهِ المُتَقارِب,إِذ أَبصَرَت عَينُ قَلبي,المجتث,ابو نواس
ظَبياً يَميلُ التَصابي عَلَيهِ مِن كُلِّ جانِب,عَلَيهِ مِن كُلِّ جانِب,ظَبياً يَميلُ التَصابي,المجتث,ابو نواس
لَهُ مَشارِقُ حُسنٍ لَيسَت لَهُنَّ مَغارِب,لَيسَت لَهُنَّ مَغارِب,لَهُ مَشارِقُ حُسنٍ,المجتث,ابو نواس
مَا اسْمٌ لِآلَةِ حَرْبٍ يَقْضِي بِهَا الْمَرْءُ نَحْبَهْ,يَقْضِي بِهَا الْمَرْءُ نَحْبَهْ,مَا اسْمٌ لِآلَةِ حَرْبٍ,المجتث,ابن زاكور
تَصْحِيفُهُ اسْمُ بِلاَدٍ وُقِيتَ يَا صَاحِ حَرْبَهْ,وُقِيتَ يَا صَاحِ حَرْبَهْ,تَصْحِيفُهُ اسْمُ بِلاَدٍ,المجتث,ابن زاكور
لا والذي شق خمسي ما غير وجهك شمسي,ما غير وجهك شمسي,لا والذي شق خمسي,المجتث,بديع الزمان الهمذاني
يا ظبية الوحش إني صريع ظبية انس,صريع ظبية انس,يا ظبية الوحش إني,المجتث,بديع الزمان الهمذاني
إذا شكوت هواها قالت عليّ بفلس,قالت عليّ بفلس,إذا شكوت هواها,المجتث,بديع الزمان الهمذاني
يا سائلي كيف تمسي أخو الهوى كيف يمسي,أخو الهوى كيف يمسي,يا سائلي كيف تمسي,المجتث,بديع الزمان الهمذاني
إني لأدهش حتى أكاد أنكر نفسي,أكاد أنكر نفسي,إني لأدهش حتى,المجتث,بديع الزمان الهمذاني
أبيت والعشق قيدي ورقعة الأرض حبسي,ورقعة الأرض حبسي,أبيت والعشق قيدي,المجتث,بديع الزمان الهمذاني
غداً كيومي مما ألقى ويومي كأمسي,ألقى ويومي كأمسي,غداً كيومي مما,المجتث,بديع الزمان الهمذاني
يا مفرِدي بالتقلّي وآمري بالتأسي,وآمري بالتأسي,يا مفرِدي بالتقلّي,المجتث,بديع الزمان الهمذاني
لم يكترث منك ضرسي إن صار ينزع ضرسي,إن صار ينزع ضرسي,لم يكترث منك ضرسي,المجتث,بديع الزمان الهمذاني
يا عاقداً في المعاني من كل فن وجنس,من كل فن وجنس,يا عاقداً في المعاني,المجتث,بديع الزمان الهمذاني
سموّ فرع ونفس وطيب أصل وغرس,وطيب أصل وغرس,سموّ فرع ونفس,المجتث,بديع الزمان الهمذاني
وبانياً لأمور تزيل أركان قدس,تزيل أركان قدس,وبانياً لأمور,المجتث,بديع الزمان الهمذاني
يا ابن النبي كفاني من الثناء وبسي,من الثناء وبسي,يا ابن النبي كفاني,المجتث,بديع الزمان الهمذاني
بأيّ مدح أُلاقي وأي ظنٍّ وحَدْس,وأي ظنٍّ وحَدْس,بأيّ مدح أُلاقي,المجتث,بديع الزمان الهمذاني
من بالصلاة عليه ذكر الملوك بخمس,ذكر الملوك بخمس,من بالصلاة عليه,المجتث,بديع الزمان الهمذاني
ومن حوى كل سعد وغاب عن كل نحس,وغاب عن كل نحس,ومن حوى كل سعد,المجتث,بديع الزمان الهمذاني
للّه أنت أشخص أراه أم روح قدس,أراه أم روح قدس,للّه أنت أشخص,المجتث,بديع الزمان الهمذاني
ظفرت مني بعلق فلا تبعني ببخس,فلا تبعني ببخس,ظفرت مني بعلق,المجتث,بديع الزمان الهمذاني
ولا تخنك الليالي فيما تبيع بوكسِ,فيما تبيع بوكسِ,ولا تخنك الليالي,المجتث,بديع الزمان الهمذاني
وَصَدرِ نادٍ نَظَمنا بِهِ القَوافِيَ عِقدا,بِهِ القَوافِيَ عِقدا,وَصَدرِ نادٍ نَظَمنا,المجتث,ابن خفاجه
في مَنزِلٍ قَد سَحَبنا بِظِلِّهِ العِزَّ بُردا,بِظِلِّهِ العِزَّ بُردا,في مَنزِلٍ قَد سَحَبنا,المجتث,ابن خفاجه
قَد طَنَّبَ المَجدُ بَيتاً فيهِ وَعَرَّسَ وَفدا,فيهِ وَعَرَّسَ وَفدا,قَد طَنَّبَ المَجدُ بَيتاً,المجتث,ابن خفاجه
تَذكو بِهِ الشُهُبُ جَمراً وَيَعبَقُ اللَيلُ نَدّا,وَيَعبَقُ اللَيلُ نَدّا,تَذكو بِهِ الشُهُبُ جَمراً,المجتث,ابن خفاجه
وَقَد تَأَرَّجَ نَورٌ غَضَّ يُخالِطُ وَردا,غَضَّ يُخالِطُ وَردا,وَقَد تَأَرَّجَ نَورٌ,المجتث,ابن خفاجه
كَما تَبَسَّمَ ثَغرٌ عَذبٌ يُقَبِّلُ خَدّا,عَذبٌ يُقَبِّلُ خَدّا,كَما تَبَسَّمَ ثَغرٌ,المجتث,ابن خفاجه
أَمسيت في قَصر لَحد وَرُحت عَنكَ بِوَجدي,وَرُحت عَنكَ بِوَجدي,أَمسيت في قَصر لَحد,المجتث,الامير منجك باشا
وَعِشت بَعدَك يا مَن وَدَدت لَو عِشت بَعدي,وَدَدت لَو عِشت بَعدي,وَعِشت بَعدَك يا مَن,المجتث,الامير منجك باشا
مَضَوْا كَأَنْ لَمْ يَكُونُوا وَمِثْلُهُمْ سَنَكُونُ,وَمِثْلُهُمْ سَنَكُونُ,مَضَوْا كَأَنْ لَمْ يَكُونُوا,المجتث,ابن زاكور
وَكُلُّ صَعْبٍ شَدِيدٍ فَبِالْمُضَيِّ يَهُونُ,فَبِالْمُضَيِّ يَهُونُ,وَكُلُّ صَعْبٍ شَدِيدٍ,المجتث,ابن زاكور
يَا أَيُّهَا الْبَحْرُ مَهْلاً فَقَدْ دَهَانَا اهْتِيَاجُكْ,فَقَدْ دَهَانَا اهْتِيَاجُكْ,يَا أَيُّهَا الْبَحْرُ مَهْلاً,المجتث,ابن زاكور
إِنَّا هَمَمْنَا بِأَمْرٍ مَنَعَ مِنْهُ انْزِعَاجُكْ,مَنَعَ مِنْهُ انْزِعَاجُكْ,إِنَّا هَمَمْنَا بِأَمْرٍ,المجتث,ابن زاكور
لَوْ كُنْتَ تَدْرِي لَأَبْدَى سِيمَا السُّرُورِِ ابْتِهَاجُكْ,سِيمَا السُّرُورِِ ابْتِهَاجُكْ,لَوْ كُنْتَ تَدْرِي لَأَبْدَى,المجتث,ابن زاكور
يَا لَيْتَ شِعْرِي إِلَى كَمْ يَحْكِي فُؤَادِي ارْتِجَاجُكْ,يَحْكِي فُؤَادِي ارْتِجَاجُكْ,يَا لَيْتَ شِعْرِي إِلَى كَمْ,المجتث,ابن زاكور
أَبْغِي السِّوَاكَ وَلاَ أُرِيدُ سِوَاكَا سُبْحَانَ يَا بَدْرُ الذِي سَوَّاكَا,سُبْحَانَ يَا بَدْرُ الذِي سَوَّاكَا,أَبْغِي السِّوَاكَ وَلاَ أُرِيدُ سِوَاكَا,المجتث,ابن زاكور
فَلَمَاكَ يَمْتَهِنُ السِّوَاكَ وَلاَ رَشاً يُغْنِي لَمَاهُ عَنِ السِّوَاكِ سِوَاكَا,يُغْنِي لَمَاهُ عَنِ السِّوَاكِ سِوَاكَا,فَلَمَاكَ يَمْتَهِنُ السِّوَاكَ وَلاَ رَشاً,المجتث,ابن زاكور
عُدني وإلاّ فِعْدني إنْ صحّ جسمي تزورُ,إنْ صحّ جسمي تزورُ,عُدني وإلاّ فِعْدني,المجتث,ابن رواحة الحموي
تاريخُ وَصلك عندي مُذْ لَمْ أَنَلْهُ شُهور,مُذْ لَمْ أَنَلْهُ شُهور,تاريخُ وَصلك عندي,المجتث,ابن رواحة الحموي
وإِنّ هِجرانَ يومٍ على المحبّ كثير,على المحبّ كثير,وإِنّ هِجرانَ يومٍ,المجتث,ابن رواحة الحموي
يَا مَنْ لَهُ خَيْرُ ذِكْرَى عِنْدِي وَأَخْلَدُ رَسْمِ,عِنْدِي وَأَخْلَدُ رَسْمِ,يَا مَنْ لَهُ خَيْرُ ذِكْرَى,المجتث,خليل مطران
أَرَاكَ تِلْقَاءَ عَيْنِي وَمِلْءَ رُوحِي وَجِسْمِي,وَمِلْءَ رُوحِي وَجِسْمِي,أَرَاكَ تِلْقَاءَ عَيْنِي,المجتث,خليل مطران
فِي كُلِّ مَطْلِعِ نَجْمٍ وَكُلِّ مَغْرِبِ نَجْمِ,وَكُلِّ مَغْرِبِ نَجْمِ,فِي كُلِّ مَطْلِعِ نَجْمٍ,المجتث,خليل مطران
مَسَرَّةٌ لِي وَفَخْرٌ تَلازُمُ اسْمِكَ وَاسْمِي,تَلازُمُ اسْمِكَ وَاسْمِي,مَسَرَّةٌ لِي وَفَخْرٌ,المجتث,خليل مطران
عدْ مدنفَ القلب صبَّه يا محوِجَ الدَّمعِ صَبَّه,يا محوِجَ الدَّمعِ صَبَّه,عدْ مدنفَ القلب صبَّه,المجتث,ابن نباته المصري
أخذتَ جملة قلبي فلم تدع منه حبه,فلم تدع منه حبه,أخذتَ جملة قلبي,المجتث,ابن نباته المصري
أخْذ الأمامِ مديحِي في كلَّ صاحب رتبة,في كلَّ صاحب رتبة,أخْذ الأمامِ مديحِي,المجتث,ابن نباته المصري
قاضي القضاة الملبَّى تاج السراة الألبه,تاج السراة الألبه,قاضي القضاة الملبَّى,المجتث,ابن نباته المصري
مولاي هنئتَ صوماً جليل قربٍ وقربَه,جليل قربٍ وقربَه,مولاي هنئتَ صوماً,المجتث,ابن نباته المصري
يا نعمة للمرجّى وللمعاند نشبه,وللمعاند نشبه,يا نعمة للمرجّى,المجتث,ابن نباته المصري
هذا يفطّر فاه وذا يفطرُ قلبه,وذا يفطرُ قلبه,هذا يفطّر فاه,المجتث,ابن نباته المصري
أجَبْتَني خَلْفَ خَطِّي وَذا فَصَفْعٌ يُجمَّلْ,وَذا فَصَفْعٌ يُجمَّلْ,أجَبْتَني خَلْفَ خَطِّي,المجتث,السراج الوراق
فَجرِّسِ الآنَ مَدْحِي هذا جَزا مَن تَقَوَّلْ,هذا جَزا مَن تَقَوَّلْ,فَجرِّسِ الآنَ مَدْحِي,المجتث,السراج الوراق
مَنْ لِلْبَيَانِ خَلِيفَهْ إِلاَّ الرِّضَى ابْنُ خَلِيفَهْ,إِلاَّ الرِّضَى ابْنُ خَلِيفَهْ,مَنْ لِلْبَيَانِ خَلِيفَهْ,المجتث,ابن زاكور
بَيِّنْ لَنَا مُقْتَضَاهُ يَا رَبَّهُ وَحَلِيفَهْ,يَا رَبَّهُ وَحَلِيفَهْ,بَيِّنْ لَنَا مُقْتَضَاهُ,المجتث,ابن زاكور
بَقِيتَ فَذّاً مُفِيداً غُرَّ الْمَعَانِي الشَّرِيفَهْ,غُرَّ الْمَعَانِي الشَّرِيفَهْ,بَقِيتَ فَذّاً مُفِيداً,المجتث,ابن زاكور
يَا بَحْرَ عِلْمٍ طَمَى فِِي بُرُودِ حِلْمٍ كَثِيفَهْ,بُرُودِ حِلْمٍ كَثِيفَهْ,يَا بَحْرَ عِلْمٍ طَمَى فِِي,المجتث,ابن زاكور
جُرِحْتَ أَثْخَنَ جُرْحٍ لَكِنَّ قَلْبَكَ مُؤْمِن,لَكِنَّ قَلْبَكَ مُؤْمِن,جُرِحْتَ أَثْخَنَ جُرْحٍ,المجتث,خليل مطران
فَإنْ أرَدْتَ سُلُوَّا أحْسِنْ وَمَا اسْطَعْتَ أحْسِنْ,أحْسِنْ وَمَا اسْطَعْتَ أحْسِنْ,فَإنْ أرَدْتَ سُلُوَّا,المجتث,خليل مطران
