البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
سَلَّمَهُ اللهُ لاَ أُعَاتِبُهُ فَعَنْ سَبِيلِ الْمِلاَحِ مَا صَدَفَا,فَعَنْ سَبِيلِ الْمِلاَحِ مَا صَدَفَا,سَلَّمَهُ اللهُ لاَ أُعَاتِبُهُ,المنسرح,ابن زاكور
وَلاَ سَخِطْتُ الذِي رَمَانِي بِهِ وَإِنْ كَسَانِي السَّقَامَ وَالدَّنَفَا,وَإِنْ كَسَانِي السَّقَامَ وَالدَّنَفَا,وَلاَ سَخِطْتُ الذِي رَمَانِي بِهِ,المنسرح,ابن زاكور
لَكِنْ نَفَثْتُ الْغَرَامَ مُسْتَشْفِياً فَإِنَّ فِي نَفْثِ ذِي الْغَرَامِ شِفَا,فَإِنَّ فِي نَفْثِ ذِي الْغَرَامِ شِفَا,لَكِنْ نَفَثْتُ الْغَرَامَ مُسْتَشْفِياً,المنسرح,ابن زاكور
سَأَسْأَلُ الصَّفْحَ عَنْ جِنَايَتِهِ إِنْ صِرْتُ مِنْهَا عَلَى شَفِيرِ شَفَا,إِنْ صِرْتُ مِنْهَا عَلَى شَفِيرِ شَفَا,سَأَسْأَلُ الصَّفْحَ عَنْ جِنَايَتِهِ,المنسرح,ابن زاكور
وَأَطْلُبُ الصَّفْوَ مِنْ رِضَاهُ فَقَدْ جَنَيْتُ مِنْ غَرْسِ هَجْرِهِ التَّلَفَا,جَنَيْتُ مِنْ غَرْسِ هَجْرِهِ التَّلَفَا,وَأَطْلُبُ الصَّفْوَ مِنْ رِضَاهُ فَقَدْ,المنسرح,ابن زاكور
يَا غُصْنُ يَا بَدْرُ عَطْفَةً وَسَناً يَا ظَبْيُ يَا شَمْسُ خِلْقَةً وَصَفَا,يَا ظَبْيُ يَا شَمْسُ خِلْقَةً وَصَفَا,يَا غُصْنُ يَا بَدْرُ عَطْفَةً وَسَناً,المنسرح,ابن زاكور
أَصْلَيْتَنِي بِنَارِ الصُّدُودِ نَارَ الأَسَى هَبْ لِي مِنَ الْوَصْلِ جَنَّةً أُنُفَا,هَبْ لِي مِنَ الْوَصْلِ جَنَّةً أُنُفَا,أَصْلَيْتَنِي بِنَارِ الصُّدُودِ نَارَ الأَسَى,المنسرح,ابن زاكور
يا ماجداً لا يزال من كرمٍ في بابِهِ القاصدون تستبق,في بابِهِ القاصدون تستبق,يا ماجداً لا يزال من كرمٍ,المنسرح,ابن نباته المصري
هل لك في منّةٍ تغيث على جور عزيزٍ في قلبه حمق,جور عزيزٍ في قلبه حمق,هل لك في منّةٍ تغيث على,المنسرح,ابن نباته المصري
غُصنٌ مِن التِبرِ فَوقَهُ وَرَقُ كَأَنَّهُ الصُبحُ تَحتَهُ شَفَقُ,كَأَنَّهُ الصُبحُ تَحتَهُ شَفَقُ,غُصنٌ مِن التِبرِ فَوقَهُ وَرَقُ,المنسرح,المعتمد بن عباد
يا أَبدَعَ الناسِ في مَحاسِنِهِ رِقَّ عَلى مَن أَذابَهُ ألأرَقُ,رِقَّ عَلى مَن أَذابَهُ ألأرَقُ,يا أَبدَعَ الناسِ في مَحاسِنِهِ,المنسرح,المعتمد بن عباد
مَدَدتُ كَفّي رَجاءَ رأفَتِكُم لا تَترِكوني يَنالُني الغَرَقُ,لا تَترِكوني يَنالُني الغَرَقُ,مَدَدتُ كَفّي رَجاءَ رأفَتِكُم,المنسرح,المعتمد بن عباد
بَحرُ دُموعي مُغرِقٌ جَسَدي تَدارَكوا مُهجَتي وَبي رَمَقُ,تَدارَكوا مُهجَتي وَبي رَمَقُ,بَحرُ دُموعي مُغرِقٌ جَسَدي,المنسرح,المعتمد بن عباد
أَوفِ دُيوني وَخَلِّ أَقراضي مِثلُكَ لا يَهتَدي لِأَغراضي,مِثلُكَ لا يَهتَدي لِأَغراضي,أَوفِ دُيوني وَخَلِّ أَقراضي,المنسرح,أبو العلاء المعري
ما لِبَني آدَمٍ غَدوا أُمَماً لَهُم عُروضٌ بِغَيرِ أَعراضِ,لَهُم عُروضٌ بِغَيرِ أَعراضِ,ما لِبَني آدَمٍ غَدوا أُمَماً,المنسرح,أبو العلاء المعري
كَم رَجُلٍ ماطَلَت مَنيَّتُهُ قَليلَ مالٍ كَثيرَ أَمراضِ,قَليلَ مالٍ كَثيرَ أَمراضِ,كَم رَجُلٍ ماطَلَت مَنيَّتُهُ,المنسرح,أبو العلاء المعري
وَهُوَ بِدُنياهُ مولَعٌ كَلِفٌ يَقنَعُ مِن صَيدِها بِمِعراضِ,يَقنَعُ مِن صَيدِها بِمِعراضِ,وَهُوَ بِدُنياهُ مولَعٌ كَلِفٌ,المنسرح,أبو العلاء المعري
حَلَّت نِحاسَ الناموسِ فِضَّةُ شَي بٍ لَكَ حَلَّت هَديدَ مِقراضِ,بٍ لَكَ حَلَّت هَديدَ مِقراضِ,حَلَّت نِحاسَ الناموسِ فِضَّةُ شَي,المنسرح,أبو العلاء المعري
لَم تَرضَ ذاكَ الفَتاةُ عَنكَ وَلا رَبُّكَ فيما فَعَلتَهُ راضِ,رَبُّكَ فيما فَعَلتَهُ راضِ,لَم تَرضَ ذاكَ الفَتاةُ عَنكَ وَلا,المنسرح,أبو العلاء المعري
قَصّاً وَخَضباً لِأَعيُنٍ لُمُحٍ وَلَم يَزِدهِنَّ غَيرَ إِعراضِ,وَلَم يَزِدهِنَّ غَيرَ إِعراضِ,قَصّاً وَخَضباً لِأَعيُنٍ لُمُحٍ,المنسرح,أبو العلاء المعري
قد أفقرتني غيداء واصلة فدمع عينيّ غير مقطوع,فدمع عينيّ غير مقطوع,قد أفقرتني غيداء واصلة,المنسرح,ابن نباته المصري
وكنت أبكي من الغرام بها فصرت أبكي منها من الجوع,فصرت أبكي منها من الجوع,وكنت أبكي من الغرام بها,المنسرح,ابن نباته المصري
بان شبابي فعزَّ مُطَّلَبُهْ وانبتَّ بيني وبينه نسبُهْ,وانبتَّ بيني وبينه نسبُهْ,بان شبابي فعزَّ مُطَّلَبُهْ,المنسرح,ابن الرومي
ولاح شيبي فراعَ قاليتي بل خُلَّتي بل خليلتي شَهَبُهْ,بل خُلَّتي بل خليلتي شَهَبُهْ,ولاح شيبي فراعَ قاليتي,المنسرح,ابن الرومي
بل راعني أنه دليلُ بلى والعودُ يذوي إذا ذوى هَدَبُهْ,والعودُ يذوي إذا ذوى هَدَبُهْ,بل راعني أنه دليلُ بلى,المنسرح,ابن الرومي
بَرْحاً لهذا الزمانِ يُلبسُنا سِرْبالَ نَعْماءَ ثمَّ يَسْتَلِبُهْ,سِرْبالَ نَعْماءَ ثمَّ يَسْتَلِبُهْ,بَرْحاً لهذا الزمانِ يُلبسُنا,المنسرح,ابن الرومي
أخنَى على لِمَّتي ويُتبعُها ديباجتي غيرَ مُنتهٍ كَلَبُهْ,ديباجتي غيرَ مُنتهٍ كَلَبُهْ,أخنَى على لِمَّتي ويُتبعُها,المنسرح,ابن الرومي
أو يأكلَ اللحمَ غيرَ مُتَّزِعٍ ويتركَ الجسمَ ناحلاً قَصَبُهْ,ويتركَ الجسمَ ناحلاً قَصَبُهْ,أو يأكلَ اللحمَ غيرَ مُتَّزِعٍ,المنسرح,ابن الرومي
ما بَشرِي بالبعيد من شَعَري ذا ورقٌ حائلٌ وذا نَجَبُهْ,ذا ورقٌ حائلٌ وذا نَجَبُهْ,ما بَشرِي بالبعيد من شَعَري,المنسرح,ابن الرومي
وكلُّ ما يستكِنُّ تحتهما يَقْرُب من ذا وذاك مُنتسبُهْ,يَقْرُب من ذا وذاك مُنتسبُهْ,وكلُّ ما يستكِنُّ تحتهما,المنسرح,ابن الرومي
وضاحكٍ ساءني بضحْكتِهِ وقد علتْني منَ البلى نُقَبُهْ,وقد علتْني منَ البلى نُقَبُهْ,وضاحكٍ ساءني بضحْكتِهِ,المنسرح,ابن الرومي
أبكانيَ الشيبُ حين أضحكهُ حتى جرى الدمعُ واكفاً سَرَبُهْ,حتى جرى الدمعُ واكفاً سَرَبُهْ,أبكانيَ الشيبُ حين أضحكهُ,المنسرح,ابن الرومي
لا بل أسى إذ بدا ففجَّعني بِمَلْثَمٍ منه رافني شَنَبُهْ,بِمَلْثَمٍ منه رافني شَنَبُهْ,لا بل أسى إذ بدا ففجَّعني,المنسرح,ابن الرومي
عَلَّلْتُ خدَّيَّ بالدموع له إذ فاتني أنْ يَعُلَّني ثَغَبُهْ,إذ فاتني أنْ يَعُلَّني ثَغَبُهْ,عَلَّلْتُ خدَّيَّ بالدموع له,المنسرح,ابن الرومي
إنْ يَنْأَ عن جانبي بجانبه كما اتَّقى مسَّ مصحفٍ جُنُبُهْ,كما اتَّقى مسَّ مصحفٍ جُنُبُهْ,إنْ يَنْأَ عن جانبي بجانبه,المنسرح,ابن الرومي
فقد أراني وقد أراهُ وما يدخل بيني وبينه سُخُبُهْ,يدخل بيني وبينه سُخُبُهْ,فقد أراني وقد أراهُ وما,المنسرح,ابن الرومي
نم يا رقيبي فقد تَنبَّه لي خَطْبٌ من الدهر كنت أرتقِبُهْ,خَطْبٌ من الدهر كنت أرتقِبُهْ,نم يا رقيبي فقد تَنبَّه لي,المنسرح,ابن الرومي
قد آمن الشيبُ من يراقبني من رابه الدهرُ نام مرتقِبُهْ,من رابه الدهرُ نام مرتقِبُهْ,قد آمن الشيبُ من يراقبني,المنسرح,ابن الرومي
يا صاحباً فاتني المشيبُ به أجْزَعني يومَ بان مُنْشَعَبُهْ,أجْزَعني يومَ بان مُنْشَعَبُهْ,يا صاحباً فاتني المشيبُ به,المنسرح,ابن الرومي
فارقني منهُ يوم فارقني تِلعابةٌ لا يَذُمُّهُ صُحَبُهْ,تِلعابةٌ لا يَذُمُّهُ صُحَبُهْ,فارقني منهُ يوم فارقني,المنسرح,ابن الرومي
ما عيبُه غيرَ أنَّ صاحبَهُ يطول عند الفراقِ مُنْتَحبُهْ,يطول عند الفراقِ مُنْتَحبُهْ,ما عيبُه غيرَ أنَّ صاحبَهُ,المنسرح,ابن الرومي
وقلَّ من صاحب أُصيبَ بهِ لمثلِهِ حُزْنُهُ ومُكتَأبُهْ,لمثلِهِ حُزْنُهُ ومُكتَأبُهْ,وقلَّ من صاحب أُصيبَ بهِ,المنسرح,ابن الرومي
لهفي لشَرْخ الشباب أن نَسختْ مَناسبَ اللهوِ بعدَهُ نُدَبُهْ,مَناسبَ اللهوِ بعدَهُ نُدَبُهْ,لهفي لشَرْخ الشباب أن نَسختْ,المنسرح,ابن الرومي
يا دارُ أقوتْ من الشباب ألا حَيَّاكِ غَيْثٌ فُرُوغُهُ جُوَبُهْ,حَيَّاكِ غَيْثٌ فُرُوغُهُ جُوَبُهْ,يا دارُ أقوتْ من الشباب ألا,المنسرح,ابن الرومي
دارَ شبابي الجديدِ والعيشِ ذي الـ ـحَبْرَة والصَّيْدِ يَرْتَمي كُثَبُهْ,ـحَبْرَة والصَّيْدِ يَرْتَمي كُثَبُهْ,دارَ شبابي الجديدِ والعيشِ ذي الـ,المنسرح,ابن الرومي
يَحْسَبُه مَنْ بكاكِ مُمْتثلاً مُنْسَكَبَ الدمعِ فيك مُنْسَكَبُهْ,مُنْسَكَبَ الدمعِ فيك مُنْسَكَبُهْ,يَحْسَبُه مَنْ بكاكِ مُمْتثلاً,المنسرح,ابن الرومي
أصبحتِ خرساءَ بعد مزهرِكِ الـ ـناطق يَحدُو بكأسهم صَخَبُهْ,ـناطق يَحدُو بكأسهم صَخَبُهْ,أصبحتِ خرساءَ بعد مزهرِكِ الـ,المنسرح,ابن الرومي
خَلّاكِ ذَيلُ الصِّبى وساحبُهُ يعفوك ذيلُ الصَّبا ومُنسَحَبُهْ,يعفوك ذيلُ الصَّبا ومُنسَحَبُهْ,خَلّاكِ ذَيلُ الصِّبى وساحبُهُ,المنسرح,ابن الرومي
وكنتِ للخُرَّدِ الحسانِ فأص بَحْتِ لِهَيْقٍ خليطُهُ شَبَبُهْ,بَحْتِ لِهَيْقٍ خليطُهُ شَبَبُهْ,وكنتِ للخُرَّدِ الحسانِ فأص,المنسرح,ابن الرومي
سقياً لدهرٍ طوتْهُ غبطتُهُ كانت كساعاتِ غيرِهِ حِقَبُهْ,كانت كساعاتِ غيرِهِ حِقَبُهْ,سقياً لدهرٍ طوتْهُ غبطتُهُ,المنسرح,ابن الرومي
إذ لم أُسَقِّ الديارَ أدمُعَ لَهْ فانَ تُوالي زفيرَهُ كُرَبُهْ,فانَ تُوالي زفيرَهُ كُرَبُهْ,إذ لم أُسَقِّ الديارَ أدمُعَ لَهْ,المنسرح,ابن الرومي
ولم أقلْ عند ذاك من أسفٍ سَقياً لدهرٍ تخاذلتْ نُوَبُهْ,سَقياً لدهرٍ تخاذلتْ نُوَبُهْ,ولم أقلْ عند ذاك من أسفٍ,المنسرح,ابن الرومي
إذ غِرَّتي بالزمان تُوهمني كلَّ متاعٍ يُعيرُهُ يَهَبُهْ,كلَّ متاعٍ يُعيرُهُ يَهَبُهْ,إذ غِرَّتي بالزمان تُوهمني,المنسرح,ابن الرومي
لهفي لغُصن الشباب أن رجعتْ مُحتطباً بعد نَضرةٍ شُعَبُهْ,مُحتطباً بعد نَضرةٍ شُعَبُهْ,لهفي لغُصن الشباب أن رجعتْ,المنسرح,ابن الرومي
وكلُّ غصنٍ يروقُ منظرُهُ يُعْقَبُ من مجتناهُ محتطبُهْ,يُعْقَبُ من مجتناهُ محتطبُهْ,وكلُّ غصنٍ يروقُ منظرُهُ,المنسرح,ابن الرومي
وخيرُ دهرِ الفتى أَوائلُهُ في كلّ خيرٍ وشرُّهُ عُقَبُهْ,في كلّ خيرٍ وشرُّهُ عُقَبُهْ,وخيرُ دهرِ الفتى أَوائلُهُ,المنسرح,ابن الرومي
قلت لخلٍّ خلا تعجُّبُهُ إلا من الدهر إن خلا عَجَبُهْ,إلا من الدهر إن خلا عَجَبُهْ,قلت لخلٍّ خلا تعجُّبُهُ,المنسرح,ابن الرومي
يعجَبُ منه ومن تلوُّنِهِ وكيف يقفو نوالَه حَرَبُهْ,وكيف يقفو نوالَه حَرَبُهْ,يعجَبُ منه ومن تلوُّنِهِ,المنسرح,ابن الرومي
لا تعجبنْ للزمان إن كَثُرَتْ منهُ أعاجيبُهُ ولا ذَرَبُهْ,منهُ أعاجيبُهُ ولا ذَرَبُهْ,لا تعجبنْ للزمان إن كَثُرَتْ,المنسرح,ابن الرومي
فالدهرُ لا تنقضي عجائبُهُ أو يتقضَّى من أهله أرَبُهْ,أو يتقضَّى من أهله أرَبُهْ,فالدهرُ لا تنقضي عجائبُهُ,المنسرح,ابن الرومي
كم جَوْرةٍ للزمان فاحشةٍ قاد بها الرأسَ مذعناً ذَنَبُهْ,قاد بها الرأسَ مذعناً ذَنَبُهْ,كم جَوْرةٍ للزمان فاحشةٍ,المنسرح,ابن الرومي
وافترس الليثَ منه ثعلبُهُ وصار يصطاد صقْرَهُ خَرَبُهْ,وصار يصطاد صقْرَهُ خَرَبُهْ,وافترس الليثَ منه ثعلبُهُ,المنسرح,ابن الرومي
يا من يرى الأجربَ الصحيح فلا يلقاهُ إلا مُبيِّناً نَكَبُهْ,يلقاهُ إلا مُبيِّناً نَكَبُهْ,يا من يرى الأجربَ الصحيح فلا,المنسرح,ابن الرومي
ما جَربُ المرءِ داءَ جِلْدتِهِ بل إنّما داءُ عِرضهِ جَرَبُهْ,بل إنّما داءُ عِرضهِ جَرَبُهْ,ما جَربُ المرءِ داءَ جِلْدتِهِ,المنسرح,ابن الرومي
بل يا مُهينَ المَهينِ يَصحَبُهُ رُبَّ مَهينٍ كفاك مُنتدبُهْ,رُبَّ مَهينٍ كفاك مُنتدبُهْ,بل يا مُهينَ المَهينِ يَصحَبُهُ,المنسرح,ابن الرومي
لا تحقِر المُنْصُلَ الخشيبَ فقدْ يُرضيك عند المِصاعِ مُختشبُهْ,يُرضيك عند المِصاعِ مُختشبُهْ,لا تحقِر المُنْصُلَ الخشيبَ فقدْ,المنسرح,ابن الرومي
كم من قويٍّ إذا أخلَّ به فقْدُ مَهينيْهِ فاتَهُ غَلَبُهْ,فقْدُ مَهينيْهِ فاتَهُ غَلَبُهْ,كم من قويٍّ إذا أخلَّ به,المنسرح,ابن الرومي
كالسهم ذي النصل لا نُهوضَ به ما لم يكن ريشُهُ ولا عَقَبُهْ,ما لم يكن ريشُهُ ولا عَقَبُهْ,كالسهم ذي النصل لا نُهوضَ به,المنسرح,ابن الرومي
الشيءُ بالشيء يستَخفُّ به والجِذْعُ ما لا يصونهُ شَذبُهْ,والجِذْعُ ما لا يصونهُ شَذبُهْ,الشيءُ بالشيء يستَخفُّ به,المنسرح,ابن الرومي
لا تيأسنْ أن يتوبَ ذو سَرَفٍ يُضحي ويُمسي كثيرةً حُوَبُهْ,يُضحي ويُمسي كثيرةً حُوَبُهْ,لا تيأسنْ أن يتوبَ ذو سَرَفٍ,المنسرح,ابن الرومي
وايْأسْ من المرء أن يُنيبَ إذا ما المرءُ كانت كثيرةً تُوَبُهْ,ما المرءُ كانت كثيرةً تُوَبُهْ,وايْأسْ من المرء أن يُنيبَ إذا,المنسرح,ابن الرومي
بل أيها الطالبُ المُجِدُّ بهِ في كلّ يومٍ وليلةٍ قَرَبُهْ,في كلّ يومٍ وليلةٍ قَرَبُهْ,بل أيها الطالبُ المُجِدُّ بهِ,المنسرح,ابن الرومي
قد شَفَّه حرصُه وحالفَهُ طول عناءٍ وحسرةٍ وَصَبُهْ,طول عناءٍ وحسرةٍ وَصَبُهْ,قد شَفَّه حرصُه وحالفَهُ,المنسرح,ابن الرومي
بل أيُّها الهاربُ المُخامرُهُ خوفٌ وكربٌ مُخنَّقٌ لبَبُهْ,خوفٌ وكربٌ مُخنَّقٌ لبَبُهْ,بل أيُّها الهاربُ المُخامرُهُ,المنسرح,ابن الرومي
ألقِ المقاليد إنه قَدَرٌ ما لامرئٍ صَرْفُهُ ولا جَلَبُهْ,ما لامرئٍ صَرْفُهُ ولا جَلَبُهْ,ألقِ المقاليد إنه قَدَرٌ,المنسرح,ابن الرومي
قد يسبِقُ الخير طالبٌ عَجِلٌ ويرهَقُ الشرُّ مُمعِناً هَرَبُهْ,ويرهَقُ الشرُّ مُمعِناً هَرَبُهْ,قد يسبِقُ الخير طالبٌ عَجِلٌ,المنسرح,ابن الرومي
والرزقُ آتٍ بلا مطالبةٍ سِيَّان مدفوعُهُ ومُجتذَبُهْ,سِيَّان مدفوعُهُ ومُجتذَبُهْ,والرزقُ آتٍ بلا مطالبةٍ,المنسرح,ابن الرومي
لا يحزُنُ المرء أن يُنَبَّزَ بالـ ـألقاب بل أن تشينَهُ خُرَبُهْ,ـألقاب بل أن تشينَهُ خُرَبُهْ,لا يحزُنُ المرء أن يُنَبَّزَ بالـ,المنسرح,ابن الرومي
وما مَعيبٌ بعادمٍ لقباً كلُّ مَعيبٍ فَعيبُهُ لَقَبُهْ,كلُّ مَعيبٍ فَعيبُهُ لَقَبُهْ,وما مَعيبٌ بعادمٍ لقباً,المنسرح,ابن الرومي
فاسلمْ من العيب أو فكن رجلاً ممن تهادَى عيوبَهُ غِيَبُهْ,ممن تهادَى عيوبَهُ غِيَبُهْ,فاسلمْ من العيب أو فكن رجلاً,المنسرح,ابن الرومي
فقلَّما عُدَّ مُخطئاً رجلٌ قد كثُرَتْ خاطئاتِه صُيَبُهْ,قد كثُرَتْ خاطئاتِه صُيَبُهْ,فقلَّما عُدَّ مُخطئاً رجلٌ,المنسرح,ابن الرومي
إني وإن كنتُ شاعراً لَسِناً أملكُ قولَ الخنا لَأجتنبُهْ,أملكُ قولَ الخنا لَأجتنبُهْ,إني وإن كنتُ شاعراً لَسِناً,المنسرح,ابن الرومي
مخافةً من قِراف مُخزيَةٍ بل من حريقٍ ذوو الخنا حَصَبُهْ,بل من حريقٍ ذوو الخنا حَصَبُهْ,مخافةً من قِراف مُخزيَةٍ,المنسرح,ابن الرومي
إلا انتصاري من العدوِّ إذا ما حان يوماً على يَدي شَجَبُهْ,ما حان يوماً على يَدي شَجَبُهْ,إلا انتصاري من العدوِّ إذا,المنسرح,ابن الرومي
فلا يخفْ مِقْوَلي البريءُ ولا يَأْمَنْهُ جَانٍ فَإِنَّني ذَرَبُهْ,يَأْمَنْهُ جَانٍ فَإِنَّني ذَرَبُهْ,فلا يخفْ مِقْوَلي البريءُ ولا,المنسرح,ابن الرومي
واثنان لي منهما أجَلُّهما عذرُ كريمِ الرجال أو نَشَبُهْ,عذرُ كريمِ الرجال أو نَشَبُهْ,واثنان لي منهما أجَلُّهما,المنسرح,ابن الرومي
لا أستحِلُّ الثوابَ من رجلٍ يظلُّ يحتالُه ويجتلبُهْ,يظلُّ يحتالُه ويجتلبُهْ,لا أستحِلُّ الثوابَ من رجلٍ,المنسرح,ابن الرومي
بل أقبلُ العذرَ إنه صَفَدٌ عند العفيف السؤالِ يَحتَقِبُهْ,عند العفيف السؤالِ يَحتَقِبُهْ,بل أقبلُ العذرَ إنه صَفَدٌ,المنسرح,ابن الرومي
أليس في طَلعِ نخلِهِ عِوضٌ كافٍ إذا قِنوها الْتوى رُطَبُهْ,كافٍ إذا قِنوها الْتوى رُطَبُهْ,أليس في طَلعِ نخلِهِ عِوضٌ,المنسرح,ابن الرومي
بل لا أريغُ النوال من لَحِزٍ سيان مُمتاحُه ومُغْتَصَبُهْ,سيان مُمتاحُه ومُغْتَصَبُهْ,بل لا أريغُ النوال من لَحِزٍ,المنسرح,ابن الرومي
كالمُتبع المدحَ بالهجاء إذا ما المرءُ لم يَفْدِ عرضَهُ سَلَبُهْ,ما المرءُ لم يَفْدِ عرضَهُ سَلَبُهْ,كالمُتبع المدحَ بالهجاء إذا,المنسرح,ابن الرومي
حسبُ امرىءٍ مِنْ هجاءِ شاعرِهِ مدحٌ له فيه خاب مُنْقلَبُهْ,مدحٌ له فيه خاب مُنْقلَبُهْ,حسبُ امرىءٍ مِنْ هجاءِ شاعرِهِ,المنسرح,ابن الرومي
في المدحِ ذمٌّ لكل مُمتدحٍ حاردَ عند احتلابه حَلبُهْ,حاردَ عند احتلابه حَلبُهْ,في المدحِ ذمٌّ لكل مُمتدحٍ,المنسرح,ابن الرومي
أضحى أبو أحمد الأميرُ عُبَيْ دُ اللَّه والحمدُ في الورى عِيبُهْ,دُ اللَّه والحمدُ في الورى عِيبُهْ,أضحى أبو أحمد الأميرُ عُبَيْ,المنسرح,ابن الرومي
وكيف لا يَنْحَلُون حمدَهُمُ أباً شديداً عليهمُ حَدَبُهْ,أباً شديداً عليهمُ حَدَبُهْ,وكيف لا يَنْحَلُون حمدَهُمُ,المنسرح,ابن الرومي
معروفُهُ عُرضةٌ لِطالبِهِ بل طالبٌ كلَّ من ونَى طلبُهْ,بل طالبٌ كلَّ من ونَى طلبُهْ,معروفُهُ عُرضةٌ لِطالبِهِ,المنسرح,ابن الرومي
يهتزُّ للبذل والحِفاظ إذا هزَّ غَويّاً لغَيِّهِ طَرَبُهْ,هزَّ غَويّاً لغَيِّهِ طَرَبُهْ,يهتزُّ للبذل والحِفاظ إذا,المنسرح,ابن الرومي
الناسُ إلبٌ مع الهوى أبَداً وليس إلا مع العلا أَلَبُهْ,وليس إلا مع العلا أَلَبُهْ,الناسُ إلبٌ مع الهوى أبَداً,المنسرح,ابن الرومي
تلقى وفودَ الرجاء والخوف والـ ـشُكرِ قد استجمعتهُمُ رَحَبُهْ,ـشُكرِ قد استجمعتهُمُ رَحَبُهْ,تلقى وفودَ الرجاء والخوف والـ,المنسرح,ابن الرومي
مِنْ مُملقٍ زاره على أملٍ يقتادُهُ نحو مالِهِ رَغَبُهْ,يقتادُهُ نحو مالِهِ رَغَبُهْ,مِنْ مُملقٍ زاره على أملٍ,المنسرح,ابن الرومي
ومُشفقٍ جاءهُ على وَجَلٍ يستاقُهُ نحو عزِّهِ رَهَبُهْ,يستاقُهُ نحو عزِّهِ رَهَبُهْ,ومُشفقٍ جاءهُ على وَجَلٍ,المنسرح,ابن الرومي
وشاكر نِعمةً مُقَدَّمةً ليس لغيرِ الثناء مُؤْتَهَبُهْ,ليس لغيرِ الثناء مُؤْتَهَبُهْ,وشاكر نِعمةً مُقَدَّمةً,المنسرح,ابن الرومي
كم مُستريشٍ أتاه مُنسلخاً من ريشه آبَ والغنى زَغَبُهْ,من ريشه آبَ والغنى زَغَبُهْ,كم مُستريشٍ أتاه مُنسلخاً,المنسرح,ابن الرومي
حتى غدا في ذَراهُ مضطَربٌ رحبٌ وقد كان ضاقَ مُضطرَبُهْ,رحبٌ وقد كان ضاقَ مُضطرَبُهْ,حتى غدا في ذَراهُ مضطَربٌ,المنسرح,ابن الرومي
ومستجيرٍ أتاه مُضطهَداً قد أوطأ الناسَ خدَّه تَرَبُهْ,قد أوطأ الناسَ خدَّه تَرَبُهْ,ومستجيرٍ أتاه مُضطهَداً,المنسرح,ابن الرومي
