,Bayt_Text,Bahr
422,أَأَنطِقُ فيكَ هُجرنْ بَعدَ عِلمي بِأَنْنَكَ خَيرُ مَن تَحتَ السَماءِ,الوافر
423,وَأَكرَهُ مِن ذُبابِ السَيفِ طَعمنْ وَأَمضى في الأُمورِ مِنَ القَضاءِ,الوافر
424,وَما أَربَت عَلى العِشرينَ سِنْني فَكَيفَ مَلِلتُ مِن طولِ البَقاءِ,الوافر
425,وَما اِستَغرَقتُ وَصفَكَ في مَديحي فَأَنقُصَ مِنهُ شَيئنْ بِالهِجاءِ,الوافر
426,وَهَبني قُلتُ هَذا الصُبحُ لَيلُنْ أَيَعمى العالَمونَ عَنِ الضِياءِ,الوافر
427,تُطيعُ الحاسِدينَ وَأَنتَ مَرءُنْ جُعِلتُ فِدائَهُ وَهُمُ فِدائي,الوافر
428,وَهاجي نَفسِهِ مَن لَم يُمَيْيِز كَلامي مِن كَلامِهِمِ الهُراءِ,الوافر
429,وَإِنْنَ مِنَ العَجائِبِ أَن تَراني فَتَعدِلَ بي أَقَلْلَ مِنَ الهَباءِ,الوافر
430,وَتُنكِرَ مَوتَهُم وَأَنا سُهَيلُنْ طَلَعتُ بِمَوتِ أَولادِ الزِناءِ,الوافر
540,لَقَد نَسَبوا الخِيامَ إِلى عَلاءِ أَبَيتُ قَبولَهُ كُلْلَ الإِباءِ,الوافر
541,وَما سَلْلَمتُ فَوقَكَ لِلثُرَيْيا وَلا سَلْلَمتُ فَوقَكَ لِلسَماءِ,الوافر
542,وَقَد أَوحَشتَ أَرضَ الشامِ حَتْتى سَلَبتَ رُبوعَها ثَوبَ البَهاءِ,الوافر
543,تَنَفْفَسُ وَالعَواصِمُ مِنكَ عَشرُنْ فَتَعرِفُ طيبَ ذَلِكَ في الهَواءِ,الوافر
544,أَسامِرِيْيُ ضُحكَةَ كُلْلِ راءِ فَطِنتَ وَأَنتَ أَغبى الأَغبِياءِ,الوافر
545,صَغُرتَ عَنِ المَديحِ فَقُلتَ أُهجى كَأَنْنَكَ ماصَغُرتَ عَنِ الهِجاءِ,الوافر
546,وَما فَكْكَرتُ قَبلَكَ في مُحالِنْ وَلا جَرْرَبتُ سَيفي في هَباءِ,الوافر
547,لِعَيني كُلْلَ يَومِنْ مِنكَ حَظْظٌ تَحَيْيَرُ مِنهُ في أَمرِنْ عُجابِ,الوافر
548,حِمالَةُ ذا الحُسامِ عَلى حُسامِنْ وَمَوقِعُ ذا السَحابِ عَلى سَحابِ,الوافر
549,تَجِفْفُ الأَرضُ مِن هَذا الرَبابِ وَيَخلُقُ ما كَساها مِن ثِيابِ,الوافر
54,يا لَهفَ نَفسي عَلى الشَبابِ وَلَم أَفقِد بِهِ إِذ فَقَدتُهُ أَمَما,المنسرح
55,قَد كُنتُ في مَيعَةتِنْ أُسَرْرُ بِها أَمنَعُ ضَيمي وَأُهبِط العُصُما,المنسرح
56,وَأَسحَبُ الرَيطَ وَالبُرودَ إِلى أَدنى تِجاري وَأَنفُضُ اللِمَما,المنسرح
57,لا تَغبِطِ المَرءَ أَن يُقالَ لَهُ أَمسى فَلانُنْ لِعُمرِهِ حَكَما,المنسرح
58,إِن سَرْرَهُ طولُ عَيشِهِ فَلَقَد أَضحى عَلى الوَجهِ طولُ ما سَلِما,المنسرح
59,إِنْنَ مِنَ القَومِ مَن يُعاشُ بِهِ وَمِنهُمُ مَن تَرى بِهِ دَسَما,المنسرح
639,أَحسَنُ ما يُخضَبُ الحَديدُ بِهِ وَخاضِبَيهِ النَجيعُ وَالغَضَبُ,المنسرح
640,فَلا تَشينَنهُ بِالنُضارِ فَما يَجتَمِعُ الماءُ فيهِ وَالذَهَبُ,المنسرح
895,يا ذا المَعالي وَمَعدِنَ الأَدَبِ سَيْيِدَنا وَاِبنَ سَيْيِدِ العَرَبِ,المنسرح
896,أَنتَ عَلِيمُنْ بِكُلْلِ مُعجِزَةتِنْ وَلَو سَأَلنا سِواكَ لَم يُجِبِ,المنسرح
897,أَهَذِهِ قابَلَتكَ راقِصَتَنْ أَم رَفَعَت رِجلَها مِنَ التَعَبِ,المنسرح
1314,جارِيَتُنْ ما لِجِسمِها روحُ بِالقَلبِ مِن حُبْبِها تَباريحُ,المنسرح
1315,في كَفْفِها طاقَتُنْ تُشيرُ بِها لِكُلْلِ طيبِنْ مِن طيبِها ريحُ,المنسرح
1316,سَأَشرَبُ الكَأسَ عَن إِشارَتِها وَدَمعُ عَيني في الخَدْدِ مَسفوحُ,المنسرح
1327,ما سَدِكَت عِلْلَتُنْ بِمَورودِ أَكرَمَ مِن تَغلِبَ بنِ داوْوُدِ,المنسرح
1328,يَأنَفُ مِن ميتَةِ الفِراشِ وَقَد حَلْلَ بِهِ أَصدَقُ المَواعيدِ,المنسرح
1329,وَمِثلُهُ أَنكَرَ المَماتَ عَلى غَيرِ سُروجِ السَوابِحِ القودِ,المنسرح
1330,بَعدَ عِثارِ القَنا بِلَبْبَتِهِ وَصَربِهِ أَرؤُسَ الصَناديدِ,المنسرح
1331,وَخَوضِهِ غَمرَ كُلْلِ مَهلَكَةِ لِلذِمرِ فيها فُؤادُ رِعديدِ,المنسرح
1332,فَإِن صَبَرنا فَإِنْنَنا صُبُرُنْ وَإِن بَكَينا فَغَيرُ مَردودِ,المنسرح
1333,وَإِن جَزِعنا لَهُ فَلا عَجَبُنْ ذا الجَزرُ في البَحرِ غَيرُ مَعهودِ,المنسرح
1334,أَينَ الهِباتُ الْلَتي يُفَرْرِقُها عَلى الزَرافاتِ وَالمَواحيدِ,المنسرح
1335,سالِمُ أَهلِ الوِدادِ بَعدَهُمُ يَسلَمُ لِلحُزنِ لا لِتَخليدِ,المنسرح
1336,فَما تُرَجْجي النُفوسُ مِن زَمَنِنْ أَحمَدُ حالَيهِ غَيرُ مَحمودِ,المنسرح
1337,إِنْنَ نُيوبَ الزَمانِ تَعرِفُني أَنا الْلَذي طالَ عَجمُها عودي,المنسرح
1338,وَفيْيَ ما قارَعَ الخُطوبَ وَما آنَسَني بِالمَصائِبِ السودِ,المنسرح
1339,ما كُنتَ عَنهُ إِذِ اِستَغاثَكَ يا سَيفَ بَني هاشِمِنْ بِمَغمودِ,المنسرح
1340,يا أَكرَمَ الأَكرَمينَ يا مَلِكَ ال أَملاكِ طُرْرنْ يا أَصيَدَ الصيدِ,المنسرح
1341,قَد ماتَ مِن قَبلِها فَأَنشَرَهُ وَقعُ قَنا الخَطْطِ في اللَغاديدِ,المنسرح
1342,وَرَميُكَ اللَيلَ بِالجُنودِ وَقَد رَمَيتَ أَجفانَهُم بِتَسهيدِ,المنسرح
1343,فَصَبْبَحَتهُم رِعالُها شُزْزَبنْ بَينَ ثُباتِنْ إِلى عَباديدِ,المنسرح
1344,تَحمِلُ أَغمادُها الفِداءَ لَهُم فَاِنتَقَدوا الضَربَ كَالأَخاديدِ,المنسرح
1345,مَوقِعُهُ في فِراشِ هامِهِمُ وَريحُهُ في مَناخِرِ السيدِ,المنسرح
1346,أَفنى الحَياةَ الْلَتي وَهَبتَ لَهُ في شَرَفِنْ شاكِرنْ وَتَسويدِ,المنسرح
1347,سَقيمَ جِسمِنْ صَحيحَ مَكرُمَةتِنْ مَنجودَ كَربِنْ غِياثَ مَنجودِ,المنسرح
1348,ثُمْمَ غَدا قَيدُهُ الحِمامُ وَما تَخلُصُ مِنهُ يَمينُ مَصفودِ,المنسرح
1349,لا يَنقُصُ الهالِكونَ مِن عَدَدِنْ مِنهُ عَلِيْيٌ مُضَيْيَقُ البيدِ,المنسرح
1350,تَهُبْبُ في ظَهرِها كَتائِبُهُ هُبوبَ أَرواحِها المَراويدِ,المنسرح
1351,أَوْوَلُ حَرفِنْ مِنِ اِسمِهِ كَتَبَت سَنابِكُ الخَيلِ في الجَلاميدِ,المنسرح
1352,مَهما يُعَزْزُ الفَتى الأَميرَ بِهِ فَلا بِإِقدامِهِ وَلا الجودِ,المنسرح
1353,وَمِن مُنانا بَقائُهُ أَبَدنْ حَتْتى يُعَزْزى بِكُلْلِ مَولودِ,المنسرح
1442,أَهلنْ بِدارِنْ سَباكَ أَغيَدُها أَبعَدُ ما بانَ عَنكَ خُرْرَدُها,المنسرح
1443,ظَلتَ بِها تَنطَوي عَلى كَبِدِنْ نَضيجَةتِنْ فَوقَ خِلبِها يَدُها,المنسرح
1444,يا حادِيَي عيرِها وَأَحسَبُني أَوجَدُ مَيتنْ قُبَيلَ أَفقِدُها,المنسرح
1445,قِفا قَليلنْ بِها عَلَيْيَ فَلا أَقَلْلَ مِن نَظرَةتِنْ أُزَوْوِدُها,المنسرح
1446,فَفي فُؤادِ المُحِبْبِ نارُ جَو أَحَرْرُ نارِ الجَحيمِ أَبرَدُها,المنسرح
1447,شابَ مِنَ الهَجرِ فَرقُ لِمْمَتِهِ فَصارَ مِثلَ الدِمَقسِ أَسوَدُها,المنسرح
1448,بانو بِخُرعوبَةتِنْ لَها كَفَلُنْ يَكادُ عِندَ القِيامِ يُقعِدُها,المنسرح
1449,رِبَحلَةتِنْ أَسمَرِنْ مُقَبْبَلُها سِبَحلَةتِنْ أَبيَضِنْ مُجَرْرَدُها,المنسرح
1450,يا عاذِلَ العاشِقينَ دَع فِئَتَنْ أَضَلْلَها اللَهُ كَيفُ تُرشِدُها,المنسرح
1451,لَيسَ يُحيكُ المَلامُ في هِمَمِنْ أَقرَبُها مِنكَ عَنكَ أَبعَدُها,المنسرح
1452,بِئسَ اللَيالي سَهِرتُ مِن طَرَبي شَوقنْ إِلى مَن يَبيتُ يَرقُدُها,المنسرح
1453,أَحيَيتُها وَالدُموعُ تُنجِدُني شُؤونَها وَالظَلامُ يُنجِدُها,المنسرح
1454,لا ناقَتي تَقبَلُ الرَديفَ وَلا بِالسَوطِ يَومَ الرِهانِ أُجهِدُها,المنسرح
1455,شِراكُها كورُها وَمِشفَرُها زِمامُها وَالشُسوعُ مِقوَدُها,المنسرح
1456,أَشَدْدُ عَصفِ الرِياحِ يَسبِقُهُ تَحتِيَ مِن خَطوِها تَأَيْيُدُها,المنسرح
1457,في مِثلَ ظَهرِ المِجَنْنِ مُتْتَصِلِنْ بِمِثلِ بَطنِ المِجَنْنِ قَردَدُها,المنسرح
1458,مُرتَمِياتُنْ بِنا إِلى اِبنِ عُبَي دِ اللَهِ غيطانُها وَفَدفَدُها,المنسرح
1459,إِلى فَت يُصدِرُ الرِماحَ وَقَد أَنهَلَها في القُلوبِ مَورِدُها,المنسرح
1460,لَهُ أَيادِنْ إِلَيْيَ سابِقَتُنْ أُعَدْدُ مِنها وَلا أُعَدْدِدُها,المنسرح
1461,يُعطي فَلا مَطلَتُنْ يُكَدْدِرُها بِها وَلا مَنْنَتَنْ يُنَكْكِدُها,المنسرح
1462,خَيرُ قُرَيشِنْ أَبنْ وَأَمجَدُها أَكثَرُها نائِلنْ وَأَجوَدُها,المنسرح
1463,أَطعَنُها بِالقَناةِ أَصرَبُها بِالسَيفِ جَحجاحُها مُسَوْوَدُها,المنسرح
1464,أَفرَسُها فارِسنْ وَأَطوَلُها باعنْ وَمِغوارُها وَسَيْيِدُها,المنسرح
1465,تاجُ لُؤَيْيِ بنِ غالِبِنْ وَبِهِ سَما لَها فَرعُها وَمَحتِدُها,المنسرح
1466,شَمسُ ضُحاها هِلالُ لَيلَتِها دُرْرُ تَقاصيرِها زَبَرجَدُها,المنسرح
1467,يا لَيتَ بي ضَربَتَنْ أُتيحَ لَها كَما أُتيحَت لَهُ مُحَمْمَدُها,المنسرح
1468,أَثْثَرَ فيها وَفي الحَديدِ وَما أَثْثَرَ في وَجهِهِ مُهَنْنَدُها,المنسرح
1469,فَاِغتَبَطَت إِذ رَأَت تَزَيْيُنَها بِمِثلِهِ وَالجِراحُ تَحسُدُها,المنسرح
1470,وَأَيقَنَ الناسُ أَنْنَ زارِعَها بِالمَكرِ في قَلبِهِ سَيَحصِدُها,المنسرح
1471,أَصبَحَ حُسْسادُهُ وَأَنفُسُهُم يُحدِرُها خَوفُهُ وَيُصعِدُها,المنسرح
1472,تَبكي عَلى الأَنصُلِ الغُمودِ إِذا أَنذَرَها أَنْنَهُ يُجَرْرِدُها,المنسرح
1473,لِعِلمِها أَنْنَها تَصيرُ دَمنْ وَأَنْنَهُ في الرِقابِ يُغمِدُها,المنسرح
1474,أَطلَقَها فَالعَدُوْوُ مِن جَزَعِنْ يَذُمْمُها وَالصَديقُ يَحمَدُها,المنسرح
1475,تَنقَدِحُ النارُ مِن مَضارِبِها وَصَبْبُ ماءِ الرِقابِ يُخمِدُها,المنسرح
1476,إِذا أَضَلْلَ الهُمامُ مُهجَتَهُ يَومنْ فَأَطرافُهُنْنَ تَنشُدُها,المنسرح
1477,قَد أَجمَعَت هَذِهِ الخَليقَةُ لي أَنْنَكَ يا اِبنَ النَبِيْيِ أَوحَدُها,المنسرح
1478,وَأَنكَ بِالأَمسِ كُنتَ مُحتَلِمنْ شَيخَ مَعَدْدٍ وَأَنتَ أَمرَدُها,المنسرح
1479,فَكَم وَكَم نِعمَةتِنْ مُجَلْلِلَةتِنْ رَبْبَيتَها كانَ مِنكَ مَولِدُها,المنسرح
1480,وَكَم وَكَم حاجَةتِنْ سَمَحتَ بِها أَقرَبُ مِنْني إِلَيْيَ مَوعِدُها,المنسرح
1481,وَمَكرُماتِنْ مَشَت عَلى قَدَمِ ال بِرْرِ إِلى مَنزِلي تُرَدْدِدُها,المنسرح
1482,أَقَرْرَ جِلدي بِها عَلَيْيَ فَلا أَقدِرُ حَتْتى المَماتِ أَجحَدُها,المنسرح
1483,فَعُد بِها لا عَدِمتُها أَبَدنْ خَيرُ صِلاتِ الكَريمِ أَعوَدُها,المنسرح
1990,أَزائِرُنْ يا خَيالُ أَم عائِد أَم عِندَ مَولاكَ أَنْنَني راقِد,المنسرح
1991,لَيسَ كَما ظَنْنَ غَشيَتُنْ عَرَضَت فَجِئتَني في خِلالِها قاصِد,المنسرح
1992,عُد وَأَعِدها فَحَبْبَذا تَلَفُنْ أَلصَقَ ثَديِي بِثَديِكِ الناهِد,المنسرح
1993,وَجُدتَ فيهِ بِما يَشِحْحُ بِهِ مِنَ الشَتيتِ المُؤَشْشَرِ البارِد,المنسرح
1994,إِذا خَيالاتُهُ أَطَفنَ بِنا أَضحَكَهُ أَنْنَني لَها حامِد,المنسرح
1995,وَقالَ إِن كانَ قَد قَضى أَرَبنْ مِنْنا فَما بالُ شَوقِهِ زائِد,المنسرح
1996,لا أَجحَدُ الفَضلَ رُبْبَما فَعَلَت ما لَم يَكُن فاعِلنْ وَلا واعِد,المنسرح
1997,لا تَعرِفُ العَينُ فَرقَ بَينِهِما كُلْلٌ خَيالُنْ وِصالُهُ نافِد,المنسرح
1998,يا طَفلَةَ الكَفْفِ عَبلَةَ الساعِد عَلى البَعيرِ المُقَلْلَدِ الواخِد,المنسرح
1999,زيدي أَذى مُهجَتي أَزِدكِ هَو فَأَجهَلُ الناسِ عاشِقُنْ حاقِد,المنسرح
2000,حَكَيتَ يا لَيلُ فَرعَها الوارِد فَاِحكِ نَواها لِجَفنِيَ الساهِد,المنسرح
2001,طالَ بُكائي عَلى تَذَكْكُرِها وَصُلتَ حَتْتى كِلاكُما واحِد,المنسرح
2002,ما بالُ هَذي النُجومِ حائِرَتَنْ كَأَنْنَها العُميُ ما لَها قائِد,المنسرح
2003,أَو عُصبَتُنْ مِن مُلوكِ ناحِيَةتِنْ أَبو شُجاعِنْ عَلَيهِمُ واجِد,المنسرح
2004,إِن هَرَبوا أَدرَكوا وَإِن وَقَفوا خَشوا ذَهابِ الطَريفِ وَالتالِد,المنسرح
2005,فَهُم يُرَجْجونَ عَفوَ مُقتَدِرِنْ مُبارَكِ الوَجهِ جائِدِنْ ماجِد,المنسرح
2006,أَبلَجَ لَو عاذَتِ الحَمامُ بِهِ ما خَشِيَت رامِينْ وَلا صائِد,المنسرح
8557,آذَنوا بِالبَينِ جيرانَهُم ثُمْمَ راحوا ثُمْمَ ما باتوا,المديد
8558,فَسَرَوا لَيلَهُمُ كُلْلَهُ فَغَدَوا وَالهَمْمُ أَشتاتُ,المديد
8559,مِن عُقارِنْ تَرَكَت أَلسُنَهُم خُرُسنْ مِن بَعدِ ما صاتوا,المديد
8560,فَكَأَمْما قَد قَضَوا مَوتَهُمُ ثُمْمَ عاشوا بَعدَما ماتوا,المديد
19417,نَفَسُنْ يَحتَثْثُهُ نَفَسُ وَدُموعُنْ لَيسَ تَحتَبِسُ,المديد
19418,وَمَغانِنْ لِلكَرى دُثُرُنْ عُطُلُنْ مِن عَهدِهِ دُرُسُ,المديد
19419,شَهَرَت ما كُنتُ أَكتُمُهُ ناطِقاتُنْ بِالهَوى خُرُسُ,المديد
19420,خالِسُنْ لَحظنْ عَلى دَهَشِ ناظِرُنْ مِن طَرفِ مُنجَمِشِ,المديد
