البيت,الشطر الأيسر,الشطر الأيمن,البحر,الشاعر
صدُّها يذهل العقول بالوصـ ـل ترد العقول بعد ذهاب,ـل ترد العقول بعد ذهاب,صدُّها يذهل العقول بالوصـ,الخفيف,المتنبي
يا شبابي ترفَّقَن بشبابي نمتَ عن ليتي وبتُّ لما بي,نمتَ عن ليتي وبتُّ لما بي,يا شبابي ترفَّقَن بشبابي,الخفيف,المتنبي
تالفاً بين ميتة وحياةٍ واقفاً بين رحمةٍ وعذاب,واقفاً بين رحمةٍ وعذاب,تالفاً بين ميتة وحياةٍ,الخفيف,المتنبي
خُذ إلهي من الملاح لجسم حُلن ما بينه وبين الثياب,حُلن ما بينه وبين الثياب,خُذ إلهي من الملاح لجسم,الخفيف,المتنبي
ثَلاثَةٌ بَرَّزوا بِسَبقِهُم نَضَّرَهُم رَبُّهُم إِذا نُشِروا,نَضَّرَهُم رَبُّهُم إِذا نُشِروا,ثَلاثَةٌ بَرَّزوا بِسَبقِهُم,المنسرح,حسان بن ثابت
عاشوا بِلا فُرقَةٍ حَياتَهُمُ وَاِجتَمَعوا في المَماتِ إِذ قُبِروا,وَاِجتَمَعوا في المَماتِ إِذ قُبِروا,عاشوا بِلا فُرقَةٍ حَياتَهُمُ,المنسرح,حسان بن ثابت
فَلَيسَ مِن مُسلِمٍ لَهُ بَصَرٌ يُنكِرُ مِن فَضلِهِم إِذا ذُكِروا,يُنكِرُ مِن فَضلِهِم إِذا ذُكِروا,فَلَيسَ مِن مُسلِمٍ لَهُ بَصَرٌ,المنسرح,حسان بن ثابت
لو قيل للجود من حليفك ما إن كان إلا إليك ينتسبُ,إن كان إلا إليك ينتسبُ,لو قيل للجود من حليفك ما,المنسرح,الكميت بن زيد
أنت أخوه وأنت صورته والرأس منه وغيرك الذنبُ,والرأس منه وغيرك الذنبُ,أنت أخوه وأنت صورته,المنسرح,الكميت بن زيد
احرزتَ فضل النضال في مَهَل فكل يوم بكفك القَصَبُ,فكل يوم بكفك القَصَبُ,احرزتَ فضل النضال في مَهَل,المنسرح,الكميت بن زيد
لو أن كعباً وحاتماً نُشرا كانا جميعاً من بعض ما تهب,كانا جميعاً من بعض ما تهب,لو أن كعباً وحاتماً نُشرا,المنسرح,الكميت بن زيد
لا تخلف الوعد إن وعدت ولا خلفك للراغبين منقلب,خلفك للراغبين منقلب,لا تخلف الوعد إن وعدت ولا,المنسرح,الكميت بن زيد
لنون صدغك آيةٌ فتنت بحسنها كلّ طامح الطرف,بحسنها كلّ طامح الطرف,لنون صدغك آيةٌ فتنت,المنسرح,ابن نباته المصري
عِندَ الزِحامِ تُسرَفُ السَلائِقُ وَذو الوَعيدِ كاذِبٌ أَو صادِقُ,وَذو الوَعيدِ كاذِبٌ أَو صادِقُ,عِندَ الزِحامِ تُسرَفُ السَلائِقُ,الرجز,جساس بن مرة
دع عنك ذكرَ منزلٍ بالأبرقِ أماته حَيا السحابِ المُغدِقِ,أماته حَيا السحابِ المُغدِقِ,دع عنك ذكرَ منزلٍ بالأبرقِ,الرجز,ابن قلاقس
وكلّ ريحٍ دائبٍ مصفّقِ فصار بعد جِدّةٍ في خلَقِ,فصار بعد جِدّةٍ في خلَقِ,وكلّ ريحٍ دائبٍ مصفّقِ,الرجز,ابن قلاقس
فإنما العيشُ حُداءُ الأينُقِ وقطْعُ كلّ مهمهٍ منخَرِق,وقطْعُ كلّ مهمهٍ منخَرِق,فإنما العيشُ حُداءُ الأينُقِ,الرجز,ابن قلاقس
بمُقرَبٍ أدهمَ ذي تَلهوقِ وشرطِ الوغى صهْصَلَقِ,وشرطِ الوغى صهْصَلَقِ,بمُقرَبٍ أدهمَ ذي تَلهوقِ,الرجز,ابن قلاقس
آباؤه من بعض خيل يلبَقِ أقبّ نهدٍ صلِفٍ ذي أولَقِ,أقبّ نهدٍ صلِفٍ ذي أولَقِ,آباؤه من بعض خيل يلبَقِ,الرجز,ابن قلاقس
أو أبيضٍ مثلَ ابيضاضِ المبرق تحسَبُه في الليلِ ضوءَ الفلَقِ,تحسَبُه في الليلِ ضوءَ الفلَقِ,أو أبيضٍ مثلَ ابيضاضِ المبرق,الرجز,ابن قلاقس
ومرهَفٍ يَفري كثيفَ الحلَقِ لا تُتّقى ضربَتُه بالدّرَقِ,لا تُتّقى ضربَتُه بالدّرَقِ,ومرهَفٍ يَفري كثيفَ الحلَقِ,الرجز,ابن قلاقس
يختطِفُ الألحاظَ حُسنَ رونقِ وأسحمِ اللونِ أحمّ غدِق,وأسحمِ اللونِ أحمّ غدِق,يختطِفُ الألحاظَ حُسنَ رونقِ,الرجز,ابن قلاقس
إِن كُنتَ تَخشى ضِلعَ خِندِفَ فَاِنطَلِق إِلى الصَيدِ مِن أَولادِ عَمروِ بنُ مَرثَدِ,إِلى الصَيدِ مِن أَولادِ عَمروِ بنُ مَرثَدِ,إِن كُنتَ تَخشى ضِلعَ خِندِفَ فَاِنطَلِق,الطويل,الفرزدق
وَرَهطِ اِبنِ ذي الجَدَّينِ قَيسِ بنِ خالِدٍ إِلى كُلِّ شَدّاخِ الحَمالَةِ سَيِّدِ,إِلى كُلِّ شَدّاخِ الحَمالَةِ سَيِّدِ,وَرَهطِ اِبنِ ذي الجَدَّينِ قَيسِ بنِ خالِدٍ,الطويل,الفرزدق
وَرَهطِ أُثالٍ أَو قُتادَةَ عَمِّهِ وَهَوذَةَ في أَعلى البِناءِ المُشَيَّدِ,وَهَوذَةَ في أَعلى البِناءِ المُشَيَّدِ,وَرَهطِ أُثالٍ أَو قُتادَةَ عَمِّهِ,الطويل,الفرزدق
وَإِن تَأتِ عِجلاً مُطرَخِمّاً قَديمُها وَيَشكُرَ في صَعبِ الذُرى المُتَصَعِّدِ,وَيَشكُرَ في صَعبِ الذُرى المُتَصَعِّدِ,وَإِن تَأتِ عِجلاً مُطرَخِمّاً قَديمُها,الطويل,الفرزدق
وَفي التَيمِ تَيمِ اللاتِ بَيتٌ وَجَدتُهُ إِلى نَضَدِ البَيتِ الكَريمِ المُمَرَّدِ,إِلى نَضَدِ البَيتِ الكَريمِ المُمَرَّدِ,وَفي التَيمِ تَيمِ اللاتِ بَيتٌ وَجَدتُهُ,الطويل,الفرزدق
هَلُمَّ إِلى الحُكّامِ بَكرِ بنِ وائِلٍ وَلا تَكُ مِثلَ الحائِرِ المُتَرَدِّدِ,وَلا تَكُ مِثلَ الحائِرِ المُتَرَدِّدِ,هَلُمَّ إِلى الحُكّامِ بَكرِ بنِ وائِلٍ,الطويل,الفرزدق
وَإِن شِئتَ حَكَّمنا أُثالاً وَرَهطَهُ وَإِن شِئتَ حَكَّمنا رَبيعَ بنَ أَسوَدِ,وَإِن شِئتَ حَكَّمنا رَبيعَ بنَ أَسوَدِ,وَإِن شِئتَ حَكَّمنا أُثالاً وَرَهطَهُ,الطويل,الفرزدق
أُناسٌ لَهُم عادِيَّةٌ يُهتَدى بِها لَهُم مِرفَدٌ عالٍ عَلى كُلِّ مِرفَدِ,لَهُم مِرفَدٌ عالٍ عَلى كُلِّ مِرفَدِ,أُناسٌ لَهُم عادِيَّةٌ يُهتَدى بِها,الطويل,الفرزدق
لَهُم قَسوَرٌ لَم يَحطِمِ الناسُ رَأسَهُ أَبو شائِكٍ أَنيابُهُ لَم يُقَيَّدِ,أَبو شائِكٍ أَنيابُهُ لَم يُقَيَّدِ,لَهُم قَسوَرٌ لَم يَحطِمِ الناسُ رَأسَهُ,الطويل,الفرزدق
وَلَقَدْ ذَكَرْتُكَ بِالرُّبَى مِنْ لَمْطَةٍ وَنَسِيمُهَا يُهْدِي إِلَيَّ أَرِيجَا,وَنَسِيمُهَا يُهْدِي إِلَيَّ أَرِيجَا,وَلَقَدْ ذَكَرْتُكَ بِالرُّبَى مِنْ لَمْطَةٍ,الرمل,ابن زاكور
فَاهْتَاجَ رِيحُ الشَّوْقِ بَيْنَ أَضَالِعِي يُذَكِّرُنِي لَظَى وَجْدِي فَأَجَّ أَجِيجَا,يُذَكِّرُنِي لَظَى وَجْدِي فَأَجَّ أَجِيجَا,فَاهْتَاجَ رِيحُ الشَّوْقِ بَيْنَ أَضَالِعِي,الرمل,ابن زاكور
وَبَنو الدَيّانِ لا يَأتونَ لا وَعَلى أَلسُنِهِم خَفَّت نَعَم,وَعَلى أَلسُنِهِم خَفَّت نَعَم,وَبَنو الدَيّانِ لا يَأتونَ لا,الرمل,لبيد بن ربيعة
زَيَّنَت أَحلامُهُم أَحسابُهُم وَكَذاكَ الحِلمُ زَينٌ لِلكَرَم,وَكَذاكَ الحِلمُ زَينٌ لِلكَرَم,زَيَّنَت أَحلامُهُم أَحسابُهُم,الرمل,لبيد بن ربيعة
مَرحَباً بِالمَوتِ وَالعَيشُ دُجىً وَحِمامُ المَرءِ كَالفَجرِ سَطَع,وَحِمامُ المَرءِ كَالفَجرِ سَطَع,مَرحَباً بِالمَوتِ وَالعَيشُ دُجىً,الرمل,أبو العلاء المعري
أَمَلٌ أُحصِدَ لا تُرسِلُهُ كَفُّ حَيٍّ فَإِذا ماتَ اِنقَطَع,كَفُّ حَيٍّ فَإِذا ماتَ اِنقَطَع,أَمَلٌ أُحصِدَ لا تُرسِلُهُ,الرمل,أبو العلاء المعري
أَمَرَ الحازِمُ نَفساً بِالتُقى ذاكَ أَمرٌ مِن لَبيبٍ لَم يُطَع,ذاكَ أَمرٌ مِن لَبيبٍ لَم يُطَع,أَمَرَ الحازِمُ نَفساً بِالتُقى,الرمل,أبو العلاء المعري
كَم أَرادَ الخُلدَ قَومٌ فَرَأوا مَسلَكاً إِن يُلتَمَس لا يُستَطَع,مَسلَكاً إِن يُلتَمَس لا يُستَطَع,كَم أَرادَ الخُلدَ قَومٌ فَرَأوا,الرمل,أبو العلاء المعري
لَستُ أَدري أَلِقَسمِ المالِ أَم لِإِقتِضابِ الرَأسِ يُدعى بِالنَطَع,لِإِقتِضابِ الرَأسِ يُدعى بِالنَطَع,لَستُ أَدري أَلِقَسمِ المالِ أَم,الرمل,أبو العلاء المعري
يا بانَةً تَهتَزُّ فَينانَةً وَرَوضَةً تَنفَحُ مِعطارا,وَرَوضَةً تَنفَحُ مِعطارا,يا بانَةً تَهتَزُّ فَينانَةً,السريع,ابن خفاجه
لِلَّهِ أَعطافُكِ مِن خَوطَةٍ وَحَبَّذا نَورُكِ نُوّارا,وَحَبَّذا نَورُكِ نُوّارا,لِلَّهِ أَعطافُكِ مِن خَوطَةٍ,السريع,ابن خفاجه
عَلِقتُ طَرفاً فاتِناً فاتِراً مِنكِ وَغِرّاً مِنكِ غَرّارا,مِنكِ وَغِرّاً مِنكِ غَرّارا,عَلِقتُ طَرفاً فاتِناً فاتِراً,السريع,ابن خفاجه
وَنابِلاً مُستَوطِناً بابِلاً نَفّاثَ لَحظِ العَينِ سَحّارا,نَفّاثَ لَحظِ العَينِ سَحّارا,وَنابِلاً مُستَوطِناً بابِلاً,السريع,ابن خفاجه
إِذا رَنا يَجرَحُني طَرفُهُ لَحَظتُهُ أَجرَحُهُ ثارا,لَحَظتُهُ أَجرَحُهُ ثارا,إِذا رَنا يَجرَحُني طَرفُهُ,السريع,ابن خفاجه
فَيَصبُغُ الدَرُّ عَقيقاً بِهِ وَأَصبُغُ النُوّارَ أَزهارا,وَأَصبُغُ النُوّارَ أَزهارا,فَيَصبُغُ الدَرُّ عَقيقاً بِهِ,السريع,ابن خفاجه
وَجهٌ بِهِ مِن بِدَعِ الحُسنِ ما يُقيمُ لِلعُشّاقِ أَعذارا,يُقيمُ لِلعُشّاقِ أَعذارا,وَجهٌ بِهِ مِن بِدَعِ الحُسنِ ما,السريع,ابن خفاجه
قَد طَبَعَ الحُسنُ بِهِ دِرهَماً تَسبُكُ مِنهُ العَينُ دينارا,تَسبُكُ مِنهُ العَينُ دينارا,قَد طَبَعَ الحُسنُ بِهِ دِرهَماً,السريع,ابن خفاجه
مَن يَلقَ مِن لاعِجِ وَجدٍ بِهِ ريحاً فَقَد لاقَيتُ إِعصارا,ريحاً فَقَد لاقَيتُ إِعصارا,مَن يَلقَ مِن لاعِجِ وَجدٍ بِهِ,السريع,ابن خفاجه
النيلُ العَذبُ هُوَ الكَوثَر وَالجَنَّةُ شاطِئُهُ الأَخضَر,وَالجَنَّةُ شاطِئُهُ الأَخضَر,النيلُ العَذبُ هُوَ الكَوثَر,المتدارك,أحمد شوقي
رَيّانُ الصَفحَةِ وَالمَنظَر ما أَبهى الخُلدَ وَما أَنضَر,ما أَبهى الخُلدَ وَما أَنضَر,رَيّانُ الصَفحَةِ وَالمَنظَر,المتدارك,أحمد شوقي
البَحرُ الفَيّاضُ القُدسُ الساقي الناسَ وَما غَرَسوا,الساقي الناسَ وَما غَرَسوا,البَحرُ الفَيّاضُ القُدسُ,المتدارك,أحمد شوقي
وَهوَ المِنوالُ لِما لَبِسوا وَالمُنعِمُ بِالقُطنِ الأَنوَر,وَالمُنعِمُ بِالقُطنِ الأَنوَر,وَهوَ المِنوالُ لِما لَبِسوا,المتدارك,أحمد شوقي
جَعلَ الإِحسانَ لَهُ شَرعا لَم يُخلِ الوادِيَ مِن مَرعى,لَم يُخلِ الوادِيَ مِن مَرعى,جَعلَ الإِحسانَ لَهُ شَرعا,المتدارك,أحمد شوقي
فَتَرى زَرعاً يَتلو زَرعا وَهُنا يُجنى وَهُنا يُبذَر,وَهُنا يُجنى وَهُنا يُبذَر,فَتَرى زَرعاً يَتلو زَرعا,المتدارك,أحمد شوقي
جارٍ وَيُرى لَيسَ بِجارِ لِأَناةٍ فيهِ وَوَقار,لِأَناةٍ فيهِ وَوَقار,جارٍ وَيُرى لَيسَ بِجارِ,المتدارك,أحمد شوقي
يَنصَبُّ كَتَلٍ مُنهارِ وَيَضِجُّ فَتَحسَبُهُ يَزأَر,وَيَضِجُّ فَتَحسَبُهُ يَزأَر,يَنصَبُّ كَتَلٍ مُنهارِ,المتدارك,أحمد شوقي
حَبَشِيُّ اللَونِ كَجيرَتِهِ مِن مَنبَعِهِ و بُحَيرَتِهِ,مِن مَنبَعِهِ و بُحَيرَتِهِ,حَبَشِيُّ اللَونِ كَجيرَتِهِ,المتدارك,أحمد شوقي
الدِّين يشكو بَلِيّه من فِرقَة منطِقيه,من فِرقَة منطِقيه,الدِّين يشكو بَلِيّه,المجتث,ابن جبير الشاطبي
لا يشهَدون صلاةً الا لمعنى التّقيه,الا لمعنى التّقيه,لا يشهَدون صلاةً,المجتث,ابن جبير الشاطبي
ولا تَرى الشّرع الا سياسة مدنيه,سياسة مدنيه,ولا تَرى الشّرع الا,المجتث,ابن جبير الشاطبي
ويؤثِرونَ عَليه مذاهباً فلسفيه,مذاهباً فلسفيه,ويؤثِرونَ عَليه,المجتث,ابن جبير الشاطبي
أَلشعْرُ مِنْ مَبْدَأِ الخَلـ ـقِ كَانَ فَنا سَنِيَّا,ـقِ كَانَ فَنا سَنِيَّا,أَلشعْرُ مِنْ مَبْدَأِ الخَلـ,المجتث,خليل مطران
وَكَانَ فِي كُلِّ جِيلٍ مقَامُهُ مَرْعِيَّا,مقَامُهُ مَرْعِيَّا,وَكَانَ فِي كُلِّ جِيلٍ,المجتث,خليل مطران
إِلهَامُهُ دَارَجَ الكَوْ نَ مُنْذُ شَبَّ فَتِيَّا,نَ مُنْذُ شَبَّ فَتِيَّا,إِلهَامُهُ دَارَجَ الكَوْ,المجتث,خليل مطران
دَاوُدُ وَهْوَ الَّذِي كَا نَ عَاهِلاً وَنَبِيَّا,نَ عَاهِلاً وَنَبِيَّا,دَاوُدُ وَهْوَ الَّذِي كَا,المجتث,خليل مطران
غَنى بِشِعْرٍ عَلَى الدَّهْـ ـرِ لَمْ يَزَلْ مَروِيَّا,ـرِ لَمْ يَزَلْ مَروِيَّا,غَنى بِشِعْرٍ عَلَى الدَّهْـ,المجتث,خليل مطران
جاءَتكَ لَيلاً في ثياب نَهارِ مِن نورها وَغِلالَة البُلّارِ,مِن نورها وَغِلالَة البُلّارِ,جاءَتكَ لَيلاً في ثياب نَهارِ,الكامل,المعتمد بن عباد
كالمُشتَري قَد لَفّ مِن مريخِهِ إِذ لَفَّهُ في الماءِ جَذوَةَ نارِ,إِذ لَفَّهُ في الماءِ جَذوَةَ نارِ,كالمُشتَري قَد لَفّ مِن مريخِهِ,الكامل,المعتمد بن عباد
لَطُفَ الجُمودُ لِذا وَذا فَتآلَفا لَم يَلقَ ضِدٌّ ضدّهُ بِنِفارِ,لَم يَلقَ ضِدٌّ ضدّهُ بِنِفارِ,لَطُفَ الجُمودُ لِذا وَذا فَتآلَفا,الكامل,المعتمد بن عباد
يَتَحَيَّرُ الراؤُونَ في نَعتَيهِما أَصفاءُ ماءٍ أم صَفاءُ دَرارِ,أَصفاءُ ماءٍ أم صَفاءُ دَرارِ,يَتَحَيَّرُ الراؤُونَ في نَعتَيهِما,الكامل,المعتمد بن عباد
شوقي إليك على نواك أهامني والذكر أقعدني لكم وأقامني,والذكر أقعدني لكم وأقامني,شوقي إليك على نواك أهامني,الكامل,اللواح
حتى أرق قلوب حساد الضنى وبكى فأعذرني بكم من لامني,وبكى فأعذرني بكم من لامني,حتى أرق قلوب حساد الضنى,الكامل,اللواح
فغدوت أحل من حروف كتابتي ودعا علي برحمة من شامني,ودعا علي برحمة من شامني,فغدوت أحل من حروف كتابتي,الكامل,اللواح
أنا سامني سوم العذاب لك الجوى من ذا يعنفني إذا ما سامني,من ذا يعنفني إذا ما سامني,أنا سامني سوم العذاب لك الجوى,الكامل,اللواح
وإذا رأيتك أو سمعت بكم فما زمني ولا أحد عليك أضامني,زمني ولا أحد عليك أضامني,وإذا رأيتك أو سمعت بكم فما,الكامل,اللواح
