الشاعر,البحر,الشطر الأيمن,الشطر الأيسر,البيت
ابن مالك,الرجز,وارفع بواو وانصبنّ بالألف ,  واجرر بياء ما من الأسماء أصف,وارفع بواو وانصبنّ بالألف واجرر بياء ما من الأسماء أصف
ابن مالك,الرجز,من ذاك ذو إن صحبة أبانا ,  والفم حيث الميم منه بانا,من ذاك ذو إن صحبة أبانا والفم حيث الميم منه بانا
ابن مالك,الرجز,أبٌ أخٌ حمٌ كذاك وهنّ ,  والنّقص في هذا الأخير أحسن,أبٌ أخٌ حمٌ كذاك وهنّ والنّقص في هذا الأخير أحسن
ابن مالك,الرجز,وفي أبٍ وتالييه يندر ,  وقصرها من نقصهنّ أشهر,وفي أبٍ وتالييه يندر وقصرها من نقصهنّ أشهر
ابن مالك,الرجز,وشرط ذا الاعراب إن يضفن لا ,  للياكجا أخو أبيك ذا اعتلا,وشرط ذا الاعراب إن يضفن لا للياكجا أخو أبيك ذا اعتلا
ابن مالك,الرجز,بالألف ارفع المثنّى وكلا ,  إذا بمضمرٍ مضافا وصلا,بالألف ارفع المثنّى وكلا إذا بمضمرٍ مضافا وصلا
ابن مالك,الرجز,كلتا كذاك اثنان واثنتان ,  كابنين وابنتين يجريان,كلتا كذاك اثنان واثنتان كابنين وابنتين يجريان
ابن مالك,الرجز,وتخلف اليا في جميعها الألف ,  جرّا ونصباً بعد فتحٍ قد ألف,وتخلف اليا في جميعها الألف جرّا ونصباً بعد فتحٍ قد ألف
ابن مالك,الرجز,وارفع بواوٍ وبيا واجرر وانصب ,  سالم جمع عامرٍ ومذنب,وارفع بواوٍ وبيا واجرر وانصب سالم جمع عامرٍ ومذنب
ابن مالك,الرجز,وشبه ذين وبه عشرونا ,  وبابه ألحق والأهلونا,وشبه ذين وبه عشرونا وبابه ألحق والأهلونا
ابن مالك,الرجز,أولو وعالمون علّيّونا ,  وأرضون شذّ والسّنونا,أولو وعالمون علّيّونا وأرضون شذّ والسّنونا
ابن مالك,الرجز,وبابه ومثل حين ٍ قد يرد ,  ذا الباب وهو عند قوم يطرّد,وبابه ومثل حين ٍ قد يرد ذا الباب وهو عند قوم يطرّد
ابن مالك,الرجز,ونون مجموع ٍ وما به ألتحق ,  ف افتح وقلّ من بكسره نطق,ونون مجموع ٍ وما به ألتحق ف افتح وقلّ من بكسره نطق
ابن مالك,الرجز,ونون ما ثنّي والملحق به ,  بعكس ذاك استعملوه فانتبه,ونون ما ثنّي والملحق به بعكس ذاك استعملوه فانتبه
ابن مالك,الرجز,ومايتا وألف قد جمعا ,  يكسر في الجرّ وفي النّصب معا,ومايتا وألف قد جمعا يكسر في الجرّ وفي النّصب معا
ابن مالك,الرجز,كذا أولات والذي اسماً قد جعل ,  كأذرعات فيه ذا أيضاً قبل,كذا أولات والذي اسماً قد جعل كأذرعات فيه ذا أيضاً قبل
ابن مالك,الرجز,وجرّ بالفتحة ما لا ينصرف ,  ما لم يضف أو يك بعد أل ردف,وجرّ بالفتحة ما لا ينصرف ما لم يضف أو يك بعد أل ردف
ابن مالك,الرجز,واجعل لنحو يفعلان النّونا ,  رفعا وتدعين وتسألونا,واجعل لنحو يفعلان النّونا رفعا وتدعين وتسألونا
ابن مالك,الرجز,وحذفها للجزم والنّصب سمه ,  كلم تكوني لترومي مظلمه,وحذفها للجزم والنّصب سمه كلم تكوني لترومي مظلمه
ابن مالك,الرجز,وسمّ معتلا ً من الأسماء ما ,  كالمصطفى والمرتقى مكارما,وسمّ معتلا ً من الأسماء ما كالمصطفى والمرتقى مكارما
ابن مالك,الرجز,فالأوّل الإعراب فيه قدّرا ,  جميعه وهو الذي قد قصرا,فالأوّل الإعراب فيه قدّرا جميعه وهو الذي قد قصرا
ابن مالك,الرجز,والثاني منقوصّ ونصبه ظهر ,  ورفعه ينوي كذا أيضا يجر,والثاني منقوصّ ونصبه ظهر ورفعه ينوي كذا أيضا يجر
ابن مالك,الرجز,وأيّ فعل ٍ  آخرّ منه ألف ,  أو واو او ياءّ فمعتلا ًّ عرف,وأيّ فعل ٍ آخرّ منه ألف أو واو او ياءّ فمعتلا ًّ عرف
ابن مالك,الرجز,فالألف انوفيه غير الجزم ,  وأبد نصب ما كيدعويرمي,فالألف انوفيه غير الجزم وأبد نصب ما كيدعويرمي
ابن مالك,الرجز,والرفع فيهما انوواحذف جازما ,  ثلاثهنّ تقض حكما لازما,والرفع فيهما انوواحذف جازما ثلاثهنّ تقض حكما لازما
ابن مالك,الرجز,نكرة قابل أل مؤثرا ,  أو واقعّ موقع ما قد ذكرا,نكرة قابل أل مؤثرا أو واقعّ موقع ما قد ذكرا
ابن مالك,الرجز,وغيره معرفة ّ كهم وذي ,  وهند وابني والغلام والذي,وغيره معرفة ّ كهم وذي وهند وابني والغلام والذي
ابن مالك,الرجز,فما لذي غيبة أو حضور ,  كأنت وهو سمّ بالضّمير,فما لذي غيبة أو حضور كأنت وهو سمّ بالضّمير
ابن مالك,الرجز,وذو اتصال منه ما لا يبتدا ,  ولا يلي إلا اختيارا ً أبدا,وذو اتصال منه ما لا يبتدا ولا يلي إلا اختيارا ً أبدا
ابن مالك,الرجز,كالياء والكاف من ابني أكرمك ,  والياء والها من سلييه ما ملك,كالياء والكاف من ابني أكرمك والياء والها من سلييه ما ملك
ابن مالك,الرجز,وكلّ مضمر له البنا يجب ,  ولفظ ما جرّ كلفظ ما نصب,وكلّ مضمر له البنا يجب ولفظ ما جرّ كلفظ ما نصب
ابن مالك,الرجز,للرّفع والنّصب وجرّنا صلح ,  كاعرف فإننا نلنا المنح,للرّفع والنّصب وجرّنا صلح كاعرف فإننا نلنا المنح
ابن مالك,الرجز,وألف ّ والواو والنون لما ,  غاب وغيره كقاما واعلما,وألف ّ والواو والنون لما غاب وغيره كقاما واعلما
ابن مالك,الرجز,ومن ضمير الرّفع ما يستتر ,  كافعل أوافق نغتبط إذ تشكر,ومن ضمير الرّفع ما يستتر كافعل أوافق نغتبط إذ تشكر
ابن مالك,الرجز,وذو إرتفاع ٍ وانفصال ٍ أنا هو ,  وأنت الفروع لا تشتبه,وذو إرتفاع ٍ وانفصال ٍ أنا هو وأنت الفروع لا تشتبه
ابن مالك,الرجز,وذو انتصاب ٍ في انفصال ٍ جعلا ,  إيّاي والتفريع ليس مشكلا,وذو انتصاب ٍ في انفصال ٍ جعلا إيّاي والتفريع ليس مشكلا
ابن مالك,الرجز,وفي اختيار ٍ لا يجيء المنفصل ,  إذ تأتّى أن يجئ المتصل,وفي اختيار ٍ لا يجيء المنفصل إذ تأتّى أن يجئ المتصل
ابن مالك,الرجز,وصل أو افصل هاء سلنيه وما ,  أشبهه في كنته الخلف أنتمي,وصل أو افصل هاء سلنيه وما أشبهه في كنته الخلف أنتمي
ابن مالك,الرجز,كذاك خلتنيه واتصالا ,  أختار غيري اختار الانفصالا,كذاك خلتنيه واتصالا أختار غيري اختار الانفصالا
ابن مالك,الرجز,وقدّم الأخصّ في اتصال ,  وقدّمن ما شئت في اتفصال,وقدّم الأخصّ في اتصال وقدّمن ما شئت في اتفصال
ابن مالك,الرجز,وفي اتحاد الرتبة الزم فصلا ,  وقد يبيح الغيب فيه وصلا,وفي اتحاد الرتبة الزم فصلا وقد يبيح الغيب فيه وصلا
ابن مالك,الرجز,وقبل يا النّفس مع الفعل التزم ,  نون وقاية ٍ وليسي قد نظم,وقبل يا النّفس مع الفعل التزم نون وقاية ٍ وليسي قد نظم
ابن مالك,الرجز,وليتني فشا وليتي ندرا ,  ومع لعلّ اعكس وكن مخيّرا,وليتني فشا وليتي ندرا ومع لعلّ اعكس وكن مخيّرا
ابن مالك,الرجز,في الباقيات واضطرارا ً خفّفا ,  منّي وعنّي بعض من قد سلفا,في الباقيات واضطرارا ً خفّفا منّي وعنّي بعض من قد سلفا
ابن مالك,الرجز,وفي لدنّي لدني قلّ وفي ,  قدني وقطني الحذف أيضا قد يفي,وفي لدنّي لدني قلّ وفي قدني وقطني الحذف أيضا قد يفي
ابن مالك,الرجز,اسمّ يعيّن المسمّى مطلقا ,  علمه كجعفر ٍ وخرنقا,اسمّ يعيّن المسمّى مطلقا علمه كجعفر ٍ وخرنقا
ابن مالك,الرجز,وقرن ٍ وعدن ٍ ولاحق ,  وشدقم ٍ وهيلة ٍ وواشق,وقرن ٍ وعدن ٍ ولاحق وشدقم ٍ وهيلة ٍ وواشق
ابن مالك,الرجز,واسما ً أتى وكنية ً ولقبا ,  وأخّرن ذا إن سواه صحبا,واسما ً أتى وكنية ً ولقبا وأخّرن ذا إن سواه صحبا
ابن مالك,الرجز,وإن يكونا مفردين فأضف ,  حتما ً وإلا أتبع ايّ ردف,وإن يكونا مفردين فأضف حتما ً وإلا أتبع ايّ ردف
ابن مالك,الرجز,ومنه منقول ّ كفضل ٍ وأسد , وذو ارتجال كسعاد وأدد,ومنه منقول ّ كفضل ٍ وأسد وذو ارتجال كسعاد وأدد
ابن مالك,الرجز,وجملة ّ وما بمزج ركّبا ً ,  ذا إن بغير ويه تمّ أعربا,وجملة ّ وما بمزج ركّبا ً ذا إن بغير ويه تمّ أعربا
ابن مالك,الرجز,وشاع في الأعلام ذو الإضافه ,  كعبد شمس ٍ وأبي قحافة,وشاع في الأعلام ذو الإضافه كعبد شمس ٍ وأبي قحافة
ابن مالك,الرجز,ووضعوا لبعض الأجناس علم ,  كعلم الأشخاص لفظا ً وهو عم,ووضعوا لبعض الأجناس علم كعلم الأشخاص لفظا ً وهو عم
ابن مالك,الرجز,من ذاك أمّ عريط ٍ للعقرب ,  وهكذا ثعالة ّ للثعلب,من ذاك أمّ عريط ٍ للعقرب وهكذا ثعالة ّ للثعلب
ابن مالك,الرجز,ومثله برّة للمبرّة ,  كذا فجار علمّ للفجرة,ومثله برّة للمبرّة كذا فجار علمّ للفجرة
ابن مالك,الرجز,بذا لمفرد ٍ مذكّر أشر ,  بذي وذه تا على الأنثى اقتصر,بذا لمفرد ٍ مذكّر أشر بذي وذه تا على الأنثى اقتصر
ابن مالك,الرجز,وذان تان للمثنّى المرتفع ,  وفي سواه ذين تين اذكر تطع,وذان تان للمثنّى المرتفع وفي سواه ذين تين اذكر تطع
ابن مالك,الرجز,وبأولى أشر لجمع ٍ مطلقا ً ,  والمدّ أولى ولدى البعد انطقا,وبأولى أشر لجمع ٍ مطلقا ً والمدّ أولى ولدى البعد انطقا
ابن مالك,الرجز,بالكاف حرفا ً دون لام ٍ أو معه ,  واللام إن قدّمت هاممتنعة,بالكاف حرفا ً دون لام ٍ أو معه واللام إن قدّمت هاممتنعة
ابن مالك,الرجز,وبهنا أو ههنا أشر إلى ,  داني المكان وبه الكاف صلا,وبهنا أو ههنا أشر إلى داني المكان وبه الكاف صلا
ابن مالك,الرجز,في البعد أو بثمّ فه أو هنّا ,  أو بهنالك انطقن أو هنّا,في البعد أو بثمّ فه أو هنّا أو بهنالك انطقن أو هنّا
ابن مالك,الرجز, موصول الأسماء الذي الأنثى التي ,  واليا إذا ما ثنّيا لا تثبت, موصول الأسماء الذي الأنثى التي واليا إذا ما ثنّيا لا تثبت
ابن مالك,الرجز,بل ما تليه أوله العلامه ,  والنّون إن تشدد فلا ملامه,بل ما تليه أوله العلامه والنّون إن تشدد فلا ملامه
ابن مالك,الرجز,والنّون من ذين وتين شدّدا ,  أيضا ً وتعويض ّ بذاك قصدا,والنّون من ذين وتين شدّدا أيضا ً وتعويض ّ بذاك قصدا
ابن مالك,الرجز,جمع الذي الألى الذين مطلقا ,  وبعضهم بـ الواو رفعا ً نطقا,جمع الذي الألى الذين مطلقا وبعضهم بـ الواو رفعا ً نطقا
ابن مالك,الرجز,باللات واللاء التي قد جمعا ,  واللاء كالذين نزرا ً وقعا,باللات واللاء التي قد جمعا واللاء كالذين نزرا ً وقعا
ابن مالك,الرجز,ومن وما وأل تساوي ما ذكره ,  وهكذا ذو عند طيّئ شهر,ومن وما وأل تساوي ما ذكره وهكذا ذو عند طيّئ شهر
ابن مالك,الرجز,وكالتي لديهم ذات ,  وموضع اللاتي أتى ذوات,وكالتي لديهم ذات وموضع اللاتي أتى ذوات
ابن مالك,الرجز,ومثل ما ذا بعدما استفهام ,  أومن إذا لم تلغ في الكلام,ومثل ما ذا بعدما استفهام أومن إذا لم تلغ في الكلام
ابن مالك,الرجز,وكلها يلزم بعده صله , على ضمير ٍ لائق ٍ مشتمله,وكلها يلزم بعده صله على ضمير ٍ لائق ٍ مشتمله
ابن مالك,الرجز,وجملة ّ أو شبهها الذي وصل ,  به كمن عندي الذي ابنه كفل,وجملة ّ أو شبهها الذي وصل به كمن عندي الذي ابنه كفل
ابن مالك,الرجز,وصفة ّ صريحة ّ صلة أل ,  وكونها بمعرب الأفعال قلّ,وصفة ّ صريحة ّ صلة أل وكونها بمعرب الأفعال قلّ
ابن مالك,الرجز,أيّ كما وأعربت ما لم تضف ,  وصدور وصلها ضمير ّ انحذف,أيّ كما وأعربت ما لم تضف وصدور وصلها ضمير ّ انحذف
ابن مالك,الرجز,وبعضهم أعرب مطلقا وفي ,  ذا الحذف أيّا ً غير أي ٍ يقتفي,وبعضهم أعرب مطلقا وفي ذا الحذف أيّا ً غير أي ٍ يقتفي
ابن مالك,الرجز,إن يستطل وصل ّ وإن لم يستطل ,  فالحذف نزر ّ وأبوا أن يختزل,إن يستطل وصل ّ وإن لم يستطل فالحذف نزر ّ وأبوا أن يختزل
ابن مالك,الرجز,إن صلح الباقي لوصل ٍ مكمل ,  والحذف عندهم كثير ّ منجلي,إن صلح الباقي لوصل ٍ مكمل والحذف عندهم كثير ّ منجلي
ابن مالك,الرجز,في عائد ٍ متصل ٍ إن انتصبت ,  بفعل ٍ أو وصف كمن نرجو يهب,في عائد ٍ متصل ٍ إن انتصبت بفعل ٍ أو وصف كمن نرجو يهب
ابن مالك,الرجز,كذاك حذف ما بوصف ٍ خفضا ,  كأنت قاض ٍ بعد أمر ٍ من قضى,كذاك حذف ما بوصف ٍ خفضا كأنت قاض ٍ بعد أمر ٍ من قضى
ابن مالك,الرجز,كذا الذي جرّبما الموصول جرّ ,  كمرّ بالذي مررت فهو برّ,كذا الذي جرّبما الموصول جرّ كمرّ بالذي مررت فهو برّ
ابن مالك,الرجز,أل حرف تعريف أو اللام فقط ,  فنمط ّ عرّفت قل فيه النمط,أل حرف تعريف أو اللام فقط فنمط ّ عرّفت قل فيه النمط
ابن مالك,الرجز,وقد تزداد لازما ً كاللات ,  والآن والذين ثمّ اللات,وقد تزداد لازما ً كاللات والآن والذين ثمّ اللات
ابن مالك,الرجز,ولاضطرارٍ كبنات الأوبر ,  كذا وطبت النفس يا قيس السّرى,ولاضطرارٍ كبنات الأوبر كذا وطبت النفس يا قيس السّرى
ابن مالك,الرجز,وبعض الأعلام عليه دخلا ,  للمح ما قد كان عنه نقلا,وبعض الأعلام عليه دخلا للمح ما قد كان عنه نقلا
ابن مالك,الرجز,كالفضل والحارث والنّعمان ,  فذكر ذا وحذفه سيّان,كالفضل والحارث والنّعمان فذكر ذا وحذفه سيّان
ابن مالك,الرجز,وقد يصير علما ً بالغلبه ,  مضاف أو مصحوب أل كالعقبة,وقد يصير علما ً بالغلبه مضاف أو مصحوب أل كالعقبة
ابن مالك,الرجز,وحذف أل ذي إن تناد أو تضف ,  أوجب وفي غيرهما قد تحذف,وحذف أل ذي إن تناد أو تضف أوجب وفي غيرهما قد تحذف
ابن مالك,الرجز,مبتدأ زيد ّ  وعاذر ّ خبر ,  إن قلت زيد ّ عاذر ّ من اعتذر,مبتدأ زيد ّ وعاذر ّ خبر إن قلت زيد ّ عاذر ّ من اعتذر
ابن مالك,الرجز,وأوّل ّ مبتدأ والثاني ,  فاعل ّ اغنى في أسار ٍ ذان,وأوّل ّ مبتدأ والثاني فاعل ّ اغنى في أسار ٍ ذان
ابن مالك,الرجز,وقس كاستفهام النفي وقد ,  يجوز نحو فائز ّ أولو الرّشد,وقس كاستفهام النفي وقد يجوز نحو فائز ّ أولو الرّشد
ابن مالك,الرجز,والثاني مبتدا وذا الوصف خبر ,  إن في سوى الإفراد طبقا ً استقر,والثاني مبتدا وذا الوصف خبر إن في سوى الإفراد طبقا ً استقر
ابن مالك,الرجز,ورفعوا مبتدأ بالابتدا ,  كذاك رفع خبر ٍ بالمبتدا,ورفعوا مبتدأ بالابتدا كذاك رفع خبر ٍ بالمبتدا
ابن مالك,الرجز,والخبر الجزء المتمّ الفائدة ,  كالله برّ والأيادي شاهده,والخبر الجزء المتمّ الفائدة كالله برّ والأيادي شاهده
ابن مالك,الرجز,ومفردا ً يأتي ويأتي جمله ,  حاوية ً معنى الذي سيقت له,ومفردا ً يأتي ويأتي جمله حاوية ً معنى الذي سيقت له
ابن مالك,الرجز,وإن تكن إيّاه معنى اكتفى ,  بها كنطقي الله حسبي وكفى,وإن تكن إيّاه معنى اكتفى بها كنطقي الله حسبي وكفى
ابن مالك,الرجز,والمفرد الجامد فارغ ّ وإن ,  يشتقّ فهو ذو ضمير ٍ مستكن,والمفرد الجامد فارغ ّ وإن يشتقّ فهو ذو ضمير ٍ مستكن
ابن مالك,الرجز,وأبرزنه مطلقا ً حيث تلا ,  ما ليس معناه له محصّلا,وأبرزنه مطلقا ً حيث تلا ما ليس معناه له محصّلا
ابن مالك,الرجز,وأخبروا بظرف ٍ أو بحرف جرّ ,  ناوين معنى كائن ٍ أو استقر,وأخبروا بظرف ٍ أو بحرف جرّ ناوين معنى كائن ٍ أو استقر
ابن مالك,الرجز,ولا يكون اسم زمان ٍ خبرا ,  عن جثة ٍ وإن يفد فأخبرا,ولا يكون اسم زمان ٍ خبرا عن جثة ٍ وإن يفد فأخبرا
ابن مالك,الرجز,ولا يجوز الابتدا بالنّكرة ,  ما لم تفد كعند زيد ٍ نمرة,ولا يجوز الابتدا بالنّكرة ما لم تفد كعند زيد ٍ نمرة
ابن مالك,الرجز,وهل فتى ً فيكم فما حلّ لنا ,  ورحل ّ من الكرام عندنا,وهل فتى ً فيكم فما حلّ لنا ورحل ّ من الكرام عندنا
ابن مالك,الرجز,ورغبة ّ في الخير خير ّ وعمل ,  برّ ٍ يزين وليقس ما لم يقل,ورغبة ّ في الخير خير ّ وعمل برّ ٍ يزين وليقس ما لم يقل
ابن مالك,الرجز,والأصل في الأخبار أن تؤخرا ,  وجوّزوا التقديم إذ لا ضررا,والأصل في الأخبار أن تؤخرا وجوّزوا التقديم إذ لا ضررا
ابن مالك,الرجز,فامنعه حين يستوي الجزءان ,  عرفا ونكرا عادمي بيان,فامنعه حين يستوي الجزءان عرفا ونكرا عادمي بيان
ابن مالك,الرجز,كذا إذا ما الفعل كان الخبرا ,  أو قصد استعماله منحصرا,كذا إذا ما الفعل كان الخبرا أو قصد استعماله منحصرا
ابن مالك,الرجز,أو كان مسندا لذي لام ابتدا ,  أو لازم الصّدر كمن لي منجدا,أو كان مسندا لذي لام ابتدا أو لازم الصّدر كمن لي منجدا
ابن مالك,الرجز,ونحو عندي درهم ّ ولي وطر ,  ملتزم ّ فيه تقدّم الخبر,ونحو عندي درهم ّ ولي وطر ملتزم ّ فيه تقدّم الخبر
ابن مالك,الرجز,كذا إذا عاد عليه مضمر ,  مما به عنه مبينا يخبر,كذا إذا عاد عليه مضمر مما به عنه مبينا يخبر
ابن مالك,الرجز,كذا إذا يستوجب التصديرا ,  كأين من علمته نصيرا,كذا إذا يستوجب التصديرا كأين من علمته نصيرا
ابن مالك,الرجز,وخبر المحصور قدّم أبدا ,  كما لنا إلا اتباع أحمدا,وخبر المحصور قدّم أبدا كما لنا إلا اتباع أحمدا
ابن مالك,الرجز, وحذف ما يعلم جائزّ كما ,  تقول زيد ّ بعد من عندكما, وحذف ما يعلم جائزّ كما تقول زيد ّ بعد من عندكما
ابن مالك,الرجز,وفي جواب كيف زيد ّ قل ندف ,  فزيد ّ استغني عنه إذ عرف,وفي جواب كيف زيد ّ قل ندف فزيد ّ استغني عنه إذ عرف
ابن مالك,الرجز,وبعد لولا غالبا حذف الخبر ,  حتم ّ وفي نصّ يمين ٍ ذا استقر,وبعد لولا غالبا حذف الخبر حتم ّ وفي نصّ يمين ٍ ذا استقر
ابن مالك,الرجز,وبعد واو عيّنت مفهوم مع ,  كمثل كلّ صانع ٍ وما صنع,وبعد واو عيّنت مفهوم مع كمثل كلّ صانع ٍ وما صنع
ابن مالك,الرجز,وقبل حال ٍ لا يكون خبرا ,  عن الذي خبره قد أضمرا,وقبل حال ٍ لا يكون خبرا عن الذي خبره قد أضمرا
ابن مالك,الرجز,كضربي العبد مسيئا ً وأتم ,  تبييني الحقّ منوطا ً بالحكم,كضربي العبد مسيئا ً وأتم تبييني الحقّ منوطا ً بالحكم
ابن مالك,الرجز,وأخبروا باثنين أو بأكثرا ,  عن واحد ٍ كهم سراة ّ شعرا,وأخبروا باثنين أو بأكثرا عن واحد ٍ كهم سراة ّ شعرا
ابن مالك,الرجز,ترفع كان المبتدا اسما ً والخبر ,  تنصبه ككان سيدا ً عمر,ترفع كان المبتدا اسما ً والخبر تنصبه ككان سيدا ً عمر
ابن مالك,الرجز,ككان ظلّ بات أضحى أصبحا ً , أمسى وصار ليس زال برجا,ككان ظلّ بات أضحى أصبحا ً أمسى وصار ليس زال برجا
ابن مالك,الرجز,فتئ وانفكّ وهذي الأربعة ,  لشبه نفى أو لنفي متبعه,فتئ وانفكّ وهذي الأربعة لشبه نفى أو لنفي متبعه
ابن مالك,الرجز,ومثل كان دام مسبوقا ً بما , كأعط ما دمت مصيبا ً درهما ً,ومثل كان دام مسبوقا ً بما كأعط ما دمت مصيبا ً درهما ً
ابن مالك,الرجز,وغير ماض ٍ مثله قد عملا ,  إن كان غير الماض منه استعملا,وغير ماض ٍ مثله قد عملا إن كان غير الماض منه استعملا
ابن مالك,الرجز,وفي جميعها توسّط الخبر ,  أجز وكلّ ّ سبقه دام حظر,وفي جميعها توسّط الخبر أجز وكلّ ّ سبقه دام حظر
ابن مالك,الرجز,كذاك سبق خبر ٍ ما النافية ,  فجيء بها متلوّة ً لا تالية,كذاك سبق خبر ٍ ما النافية فجيء بها متلوّة ً لا تالية
ابن مالك,الرجز,ومنع سبق خبر ٍ ليس اصطفي ,  وذو تمام ما برفع ٍ يكتفي,ومنع سبق خبر ٍ ليس اصطفي وذو تمام ما برفع ٍ يكتفي
ابن مالك,الرجز,وما سواه ناقص ّ والنقص في ,  فتىء ليس زال دائما ً قفي,وما سواه ناقص ّ والنقص في فتىء ليس زال دائما ً قفي
ابن مالك,الرجز,ولا يلي العامل معمول الخبر ,  إلا إذا ظرفا ً أتى أو حرف جرّ,ولا يلي العامل معمول الخبر إلا إذا ظرفا ً أتى أو حرف جرّ
ابن مالك,الرجز,ومضمر الشان اسما ً انو ان وقع ,  موهم ما استبان أنّه امتنع,ومضمر الشان اسما ً انو ان وقع موهم ما استبان أنّه امتنع
ابن مالك,الرجز,وقد تزداد كان في حشو كما ,  كان أصحّ علم من تقدّما,وقد تزداد كان في حشو كما كان أصحّ علم من تقدّما
ابن مالك,الرجز,ويحذفونها ويبقون الخبر ,  وبعد إن ولو كثيرا ً ذا اشتهر,ويحذفونها ويبقون الخبر وبعد إن ولو كثيرا ً ذا اشتهر
ابن مالك,الرجز,وبعد أن تعويض ما عنها ارتكب ,  كمثل أمّا أنت برّا فاقترب,وبعد أن تعويض ما عنها ارتكب كمثل أمّا أنت برّا فاقترب
ابن مالك,الرجز,ومن مضارع ٍ لكان منجزم ,  تحذف نون ّ وهو حذف ّ ما التزم,ومن مضارع ٍ لكان منجزم تحذف نون ّ وهو حذف ّ ما التزم
ابن مالك,الرجز,إعمال ليس أعملت ما دون إن ,  مع بقا النّفي وترتيب زكن,إعمال ليس أعملت ما دون إن مع بقا النّفي وترتيب زكن
ابن مالك,الرجز,وسبق حرف جرّ ٍ أو ظرف ٍ كما ,  بي أنت معنيّا ً أجاز العلما,وسبق حرف جرّ ٍ أو ظرف ٍ كما بي أنت معنيّا ً أجاز العلما
ابن مالك,الرجز,ورفع معطوفٍ بلكن أو ببل ,  من بعد منصوبٍ بما الزم حيث حل,ورفع معطوفٍ بلكن أو ببل من بعد منصوبٍ بما الزم حيث حل
ابن مالك,الرجز,وبعد ما وليس جرّاليا الخبر ,  وبعد لا ونفي كان قد يجر,وبعد ما وليس جرّاليا الخبر وبعد لا ونفي كان قد يجر
ابن مالك,الرجز,في النّكرات أعملت كليس لا ,  وقد تلي لات وإن ذا العملا,في النّكرات أعملت كليس لا وقد تلي لات وإن ذا العملا
