الشاعر,البحر,الشطر الأيمن,الشطر الأيسر,البيت
الإمام القحطاني الأندلسي,الكامل,أَنْتَ الَّذِي أَطْعَمْتَنِي وَسَقَيْتَنِي , مِنْ غَيْرِ كَسْبِ يَدٍ وَلاَ دُكَّانِ,أَنْتَ الَّذِي أَطْعَمْتَنِي وَسَقَيْتَنِي مِنْ غَيْرِ كَسْبِ يَدٍ وَلاَ دُكَّانِ
الإمام القحطاني الأندلسي,الكامل,وَجَبَرْتَنِي وَسَتَرْتَنِي وَنَصَرْتَنِي , وَغَمَرْتَنِي بِالْفَضْلِ وَالإِحْسَانِ,وَجَبَرْتَنِي وَسَتَرْتَنِي وَنَصَرْتَنِي وَغَمَرْتَنِي بِالْفَضْلِ وَالإِحْسَانِ
الإمام القحطاني الأندلسي,الكامل,أَنْتَ الَّذِي آوَيْتَنِي وَحَبَوْتَنِي , وَهَدَيْتَنِي مِنْ حَيْرَةِ الْخِذْلاَنِ,أَنْتَ الَّذِي آوَيْتَنِي وَحَبَوْتَنِي وَهَدَيْتَنِي مِنْ حَيْرَةِ الْخِذْلاَنِ
الإمام القحطاني الأندلسي,الكامل,وَزَرَعْتَ لِي بَيْنَ الْقُلُوبِ مَوَدَّةً , وَعَطَفْتَ مِنْكَ بِرَحْمَةٍ وَحَنَانِ,وَزَرَعْتَ لِي بَيْنَ الْقُلُوبِ مَوَدَّةً وَعَطَفْتَ مِنْكَ بِرَحْمَةٍ وَحَنَانِ
الإمام القحطاني الأندلسي,الكامل,وَنَشَرْتَ لِي في الْعَالَمِينَ مَحَاسِنًا , وَسَتَرْتَ عَنْ أَبْصَارِهِمْ عِصْيَانِي,وَنَشَرْتَ لِي في الْعَالَمِينَ مَحَاسِنًا وَسَتَرْتَ عَنْ أَبْصَارِهِمْ عِصْيَانِي
الإمام القحطاني الأندلسي,الكامل,وَجَعَلْتَ ذِكْرِي في الْبَرِيَّةِ شَائِعًا , حَتَّى جَعَلْتَ جَمِيعَهُمْ إِخْوَانِي,وَجَعَلْتَ ذِكْرِي في الْبَرِيَّةِ شَائِعًا حَتَّى جَعَلْتَ جَمِيعَهُمْ إِخْوَانِي
الإمام القحطاني الأندلسي,الكامل,وَاللهِ لَوْ عَلِمُوا قَبِيحَ سَرِيرَتِي , لأَبَى السَّلاَمَ عَلَيَّ مَنْ يَلْقَانِي,وَاللهِ لَوْ عَلِمُوا قَبِيحَ سَرِيرَتِي لأَبَى السَّلاَمَ عَلَيَّ مَنْ يَلْقَانِي
الإمام القحطاني الأندلسي,الكامل,وَلأَعْرَضُوا عَنِّي وَمَلُّوا صُحْبَتِي , وَلَبُؤْتُ بَعْدَ كَرَامَةٍ بِهَوَانِ,وَلأَعْرَضُوا عَنِّي وَمَلُّوا صُحْبَتِي وَلَبُؤْتُ بَعْدَ كَرَامَةٍ بِهَوَانِ
الإمام القحطاني الأندلسي,الكامل,لَكِنْ سَتَرْتَ مَعَايِبِي وَمَثَالِبِي , وَحَلِمْتَ عَنْ سَقَطِي وَعَنْ طُغْيَانِي ,لَكِنْ سَتَرْتَ مَعَايِبِي وَمَثَالِبِي وَحَلِمْتَ عَنْ سَقَطِي وَعَنْ طُغْيَانِي 
الإمام القحطاني الأندلسي,الكامل,فَلَكَ الْمَحَامِدُ وَالْمَدَائِحُ كُلُّهَا , بِخَوَاطِرِي وَجَوَارِحِي وَلِسَانِي,فَلَكَ الْمَحَامِدُ وَالْمَدَائِحُ كُلُّهَا بِخَوَاطِرِي وَجَوَارِحِي وَلِسَانِي
الإمام القحطاني الأندلسي,الكامل,وَلَقَدْ مَنَنْتَ عَلَيَّ رَبِّ بِأَنْعُمٍ , مَا لِي بَشُكْرِ أَقَلِّهِنَّ يَدَانِ,وَلَقَدْ مَنَنْتَ عَلَيَّ رَبِّ بِأَنْعُمٍ مَا لِي بَشُكْرِ أَقَلِّهِنَّ يَدَانِ
الإمام القحطاني الأندلسي,الكامل,فَوَحَقِّ حِكْمَتِكَ الَّتِي آتَيْتَنِي , حَتَّى شَدَدتَّ بِنُورِهَا بُرْهَانِي,فَوَحَقِّ حِكْمَتِكَ الَّتِي آتَيْتَنِي حَتَّى شَدَدتَّ بِنُورِهَا بُرْهَانِي
الإمام القحطاني الأندلسي,الكامل,لَئِنِ اجْتَبَتْنِي مِنْ رِضَاكَ مَعُونَةٌ , حَتَّى تُقَوِّيَ أَيْدُهَا إِيمَانِي,لَئِنِ اجْتَبَتْنِي مِنْ رِضَاكَ مَعُونَةٌ حَتَّى تُقَوِّيَ أَيْدُهَا إِيمَانِي
الإمام القحطاني الأندلسي,الكامل,لأُسَبِّحَنَّكَ بُكْرَةً وَعَشِيَّةً , وَلَتَخْدُمَنَّكَ في الدُّجَى أَرْكَانِي,لأُسَبِّحَنَّكَ بُكْرَةً وَعَشِيَّةً وَلَتَخْدُمَنَّكَ في الدُّجَى أَرْكَانِي
الإمام القحطاني الأندلسي,الكامل,وَلأَذْكُرَنَّكَ قَائِمًا أَوْ قَاعِدًا , وَلأَشْكُرَنَّكَ سَائِرَ الأَحْيَانِ,وَلأَذْكُرَنَّكَ قَائِمًا أَوْ قَاعِدًا وَلأَشْكُرَنَّكَ سَائِرَ الأَحْيَانِ
الإمام القحطاني الأندلسي,الكامل,وَلأَكْتُمَنَّ عَنِ الْبَرِيَّةِ خَلَّتِي , وَلأَشْكُوَنَّ إِلَيْكَ جَهْدَ زَمَانِي,وَلأَكْتُمَنَّ عَنِ الْبَرِيَّةِ خَلَّتِي وَلأَشْكُوَنَّ إِلَيْكَ جَهْدَ زَمَانِي
الإمام القحطاني الأندلسي,الكامل,وَلأَقْصِدَنَّكَ في جَمِيعِ حَوَائِجِي , مِنْ دُونِ قَصْدِ فُلاَنَةٍ وَفُلاَنِ,وَلأَقْصِدَنَّكَ في جَمِيعِ حَوَائِجِي مِنْ دُونِ قَصْدِ فُلاَنَةٍ وَفُلاَنِ
الإمام القحطاني الأندلسي,الكامل,وَلأَحْسُمَنَّ عَنِ الأَنَامِ مَطَامِعِي , بِحُسَامِ يَأْسٍ لَمْ تَشُبْهُ بَنَانِي,وَلأَحْسُمَنَّ عَنِ الأَنَامِ مَطَامِعِي بِحُسَامِ يَأْسٍ لَمْ تَشُبْهُ بَنَانِي
الإمام القحطاني الأندلسي,الكامل,وَلأَجْعَلَنَّ رِضَاكَ أَكْبَرَ هِمَّتِي , وَلأَضْرِبَنَّ مِنَ الْهَوَى شَيْطَانِي,وَلأَجْعَلَنَّ رِضَاكَ أَكْبَرَ هِمَّتِي وَلأَضْرِبَنَّ مِنَ الْهَوَى شَيْطَانِي
الإمام القحطاني الأندلسي,الكامل,وَلأَكْسُوَنَّ عُيُوبَ نَفْسِي بِالتُّقَى , وَلأَقْبِضَنَّ عَنِ الْفُجُورِ عِنَانِي,وَلأَكْسُوَنَّ عُيُوبَ نَفْسِي بِالتُّقَى وَلأَقْبِضَنَّ عَنِ الْفُجُورِ عِنَانِي
الإمام القحطاني الأندلسي,الكامل,وَلأَمْنَعَنَّ النَّفْسَ عَنْ شَهَوَاتِهَا , وَلأَجْعَلَنَّ الزُّهْدَ مِنْ أَعْوَانِي,وَلأَمْنَعَنَّ النَّفْسَ عَنْ شَهَوَاتِهَا وَلأَجْعَلَنَّ الزُّهْدَ مِنْ أَعْوَانِي
الإمام القحطاني الأندلسي,الكامل,وَلأَتْلُوَنَّ حُرُوفَ وَحْيِكَ في الدُّجَى , وَلأُحْرِقَنَّ بِنُورِهِ شَيْطَانِي,وَلأَتْلُوَنَّ حُرُوفَ وَحْيِكَ في الدُّجَى وَلأُحْرِقَنَّ بِنُورِهِ شَيْطَانِي
الإمام القحطاني الأندلسي,الكامل,أَنْتَ الَّذِي يَا رَبِّ قُلْتَ حُرُوفَهُ , وَوَصَفْتَهُ بِالْوَعْظِ وَالتِّبْيَانِ,أَنْتَ الَّذِي يَا رَبِّ قُلْتَ حُرُوفَهُ وَوَصَفْتَهُ بِالْوَعْظِ وَالتِّبْيَانِ
الإمام القحطاني الأندلسي,الكامل,وَنَظَمْتَهُ بِبَلاَغَةٍ أَزَلِيَّةٍ , تَكْيِيفُهَا يَخْفَى عَلَى الأَذْهَانِ,وَنَظَمْتَهُ بِبَلاَغَةٍ أَزَلِيَّةٍ تَكْيِيفُهَا يَخْفَى عَلَى الأَذْهَانِ
الإمام القحطاني الأندلسي,الكامل,وَكَتَبْتَ في اللَّوْحِ الْحَفِيظِ حُرُوفَهُ , مِنْ قَبْلِ خَلْقِ الْخَلْقِ في أَزْمَانِ,وَكَتَبْتَ في اللَّوْحِ الْحَفِيظِ حُرُوفَهُ مِنْ قَبْلِ خَلْقِ الْخَلْقِ في أَزْمَانِ
الإمام القحطاني الأندلسي,الكامل,فَاللهُ رَبِّي لَمْ يَزَلْ مُتَكَلِّمًا , حَقًّا إِذَا مَا شَاءَ ذُو إِحْسَانِ,فَاللهُ رَبِّي لَمْ يَزَلْ مُتَكَلِّمًا حَقًّا إِذَا مَا شَاءَ ذُو إِحْسَانِ
الإمام القحطاني الأندلسي,الكامل,نَادَى بِصَوْتٍ حِينَ كَلَّمَ عَبْدَهُ , مُوسَى فَأَسْمَعَهُ بِلاَ كِتْمَانِ,نَادَى بِصَوْتٍ حِينَ كَلَّمَ عَبْدَهُ مُوسَى فَأَسْمَعَهُ بِلاَ كِتْمَانِ
الإمام القحطاني الأندلسي,الكامل,وَكَذَا يُنَادِي في الْقِيَامَةِ رَبُّنَا , جَهْرًا فَيَسْمَعُ صَوْتَهُ الثَّقَلاَنِ,وَكَذَا يُنَادِي في الْقِيَامَةِ رَبُّنَا جَهْرًا فَيَسْمَعُ صَوْتَهُ الثَّقَلاَنِ
الإمام القحطاني الأندلسي,الكامل,أَنْ يَا عِبَادِي أَنْصِتُوا لِي وَاسْمَعُوا , قَوْلَ الإِلَهِ الْمَالِكِ الدَّيَّانِ,أَنْ يَا عِبَادِي أَنْصِتُوا لِي وَاسْمَعُوا قَوْلَ الإِلَهِ الْمَالِكِ الدَّيَّانِ
الإمام القحطاني الأندلسي,الكامل,هَذَا حَدِيثُ نَبِيِّنَا عَنْ رَبِّهِ , صِدْقًا بِلاَ كَذِبٍ وَلاَ بُهْتَانِ,هَذَا حَدِيثُ نَبِيِّنَا عَنْ رَبِّهِ صِدْقًا بِلاَ كَذِبٍ وَلاَ بُهْتَانِ
الإمام القحطاني الأندلسي,الكامل,لَسْنَا نُشَبِّهُ صَوْتَهُ بِكَلاَمِنَا , إِذْ لَيْسَ يُدْرَكُ وَصْفُهُ بِعِيَانِ,لَسْنَا نُشَبِّهُ صَوْتَهُ بِكَلاَمِنَا إِذْ لَيْسَ يُدْرَكُ وَصْفُهُ بِعِيَانِ
الإمام القحطاني الأندلسي,الكامل,لاَ تَحْصُرُ الأَوْهَامُ مَبْلَغَ ذَاتِهِ , أَبَدًا وَلاَ يَحْوِيهِ قُطْرُ مَكَانِ,لاَ تَحْصُرُ الأَوْهَامُ مَبْلَغَ ذَاتِهِ أَبَدًا وَلاَ يَحْوِيهِ قُطْرُ مَكَانِ
الإمام القحطاني الأندلسي,الكامل,وَهُوَ الْمُحِيطُ بِكُلِّ شَيْءٍ عِلْمُهُ , مِنْ غَيْرِ إِغْفَالٍ وَلاَ نِسْيَانِ,وَهُوَ الْمُحِيطُ بِكُلِّ شَيْءٍ عِلْمُهُ مِنْ غَيْرِ إِغْفَالٍ وَلاَ نِسْيَانِ
الإمام القحطاني الأندلسي,الكامل,مَنْ ذَا يُكَيِّفُ ذَاتَهُ وَصَفَاتِهِ , وَهُوَ الْقَدِيمُ مُكَوِّنُ الأَكْوَانِ,مَنْ ذَا يُكَيِّفُ ذَاتَهُ وَصَفَاتِهِ وَهُوَ الْقَدِيمُ مُكَوِّنُ الأَكْوَانِ
الإمام القحطاني الأندلسي,الكامل,سُبْحَانَهُ مَلِكًا عَلَى الْعَرْشِ اسْتَوَى , وَحَوَى جَمِيعَ الْمُلْكِ وَالسُّلْطَانِ,سُبْحَانَهُ مَلِكًا عَلَى الْعَرْشِ اسْتَوَى وَحَوَى جَمِيعَ الْمُلْكِ وَالسُّلْطَانِ
الإمام القحطاني الأندلسي,الكامل,وَكَلاَمُهُ الْقُرْآنُ أَنْزَلَ آيَهُ , وَحْيًا عَلَى الْمَبْعُوثِ مِنْ عَدْنَانِ,وَكَلاَمُهُ الْقُرْآنُ أَنْزَلَ آيَهُ وَحْيًا عَلَى الْمَبْعُوثِ مِنْ عَدْنَانِ
الإمام القحطاني الأندلسي,الكامل,صَلَّى عَلَيْهِ اللهُ خَيْرَ صَلاَتِهِ , مَا لاَحَ في فَلَكَيْهِمَا الْقَمَرَانِ,صَلَّى عَلَيْهِ اللهُ خَيْرَ صَلاَتِهِ مَا لاَحَ في فَلَكَيْهِمَا الْقَمَرَانِ
الإمام القحطاني الأندلسي,الكامل,هُوَ جَاءَ بِالْقُرْآنِ مِنْ عِنْدِ الَّذِي , لاَ تَعْتَرِيهِ نَوَائِبُ الْحَدَثَانِ,هُوَ جَاءَ بِالْقُرْآنِ مِنْ عِنْدِ الَّذِي لاَ تَعْتَرِيهِ نَوَائِبُ الْحَدَثَانِ
الإمام القحطاني الأندلسي,الكامل,تَنْزِيلُ رَبِّ الْعَالَمِينَ وَوَحْيُهُ , بِشَهَادَةِ الأَحْبَارِ وَالرُّهْبَانِ,تَنْزِيلُ رَبِّ الْعَالَمِينَ وَوَحْيُهُ بِشَهَادَةِ الأَحْبَارِ وَالرُّهْبَانِ
الإمام القحطاني الأندلسي,الكامل,وَكَلاَمُ رَبِّي لاَ يَجِيءُ بِمِثْلِهِ , أَحَدٌ وَلَوْ جُمِعَتْ لَهُ الثَّقَلاَنِ,وَكَلاَمُ رَبِّي لاَ يَجِيءُ بِمِثْلِهِ أَحَدٌ وَلَوْ جُمِعَتْ لَهُ الثَّقَلاَنِ
الإمام القحطاني الأندلسي,الكامل,وَهُوَ الْمَصُونُ مِنَ الأَبَاطِلِ كُلِّهَا , وَمِنَ الزِّيَادَةِ فِيهِ وَالنُّقْصَانِ,وَهُوَ الْمَصُونُ مِنَ الأَبَاطِلِ كُلِّهَا وَمِنَ الزِّيَادَةِ فِيهِ وَالنُّقْصَانِ
الإمام القحطاني الأندلسي,الكامل,مَنْ كَانَ يَزْعُمُ أَنْ يُبَارِيَ نَظْمَهُ , وَيَرَاهُ مِثْلَ الشِّعْرِ وَالْهَذَيَانِ,مَنْ كَانَ يَزْعُمُ أَنْ يُبَارِيَ نَظْمَهُ وَيَرَاهُ مِثْلَ الشِّعْرِ وَالْهَذَيَانِ
الإمام القحطاني الأندلسي,الكامل,فَلْيَأْتِ مِنْهُ بِسُورَةٍ أَوْ آيَةٍ , فَإِذَا رَأَى النَّظْمَيْنِ يَشْتَبِهَانِ,فَلْيَأْتِ مِنْهُ بِسُورَةٍ أَوْ آيَةٍ فَإِذَا رَأَى النَّظْمَيْنِ يَشْتَبِهَانِ
الإمام القحطاني الأندلسي,الكامل,فَلْيَنْفَرِدْ بِاسْمِ الأُلُوهَةِ وَلْيَكُنْ , رَبَّ الْبَرِيَّةِ وَلْيَقُلْ سُبْحَانِي,فَلْيَنْفَرِدْ بِاسْمِ الأُلُوهَةِ وَلْيَكُنْ رَبَّ الْبَرِيَّةِ وَلْيَقُلْ سُبْحَانِي
الإمام القحطاني الأندلسي,الكامل,فَإِذَا تَنَاقَضَ نَظْمُهُ فَلْيَلْبَسَنْ , ثَوْبَ النَّقِيصَةِ صَاغِرًا بِهَوَانِ,فَإِذَا تَنَاقَضَ نَظْمُهُ فَلْيَلْبَسَنْ ثَوْبَ النَّقِيصَةِ صَاغِرًا بِهَوَانِ
الإمام القحطاني الأندلسي,الكامل,أَوْ فَلْيُقِرَّ بِأَنَّهُ تَنْزِيلُ مَنْ , سَمَّاهُ في نَصِّ الْكِتَابِ مَثَانِي,أَوْ فَلْيُقِرَّ بِأَنَّهُ تَنْزِيلُ مَنْ سَمَّاهُ في نَصِّ الْكِتَابِ مَثَانِي
الإمام القحطاني الأندلسي,الكامل,لاَ رَيْبَ فِيهِ بِأَنَّهُ تَنْزِيلُهُ , وَبِدَايَةُ التَّنْزِيلِ في رَمَضَانِ,لاَ رَيْبَ فِيهِ بِأَنَّهُ تَنْزِيلُهُ وَبِدَايَةُ التَّنْزِيلِ في رَمَضَانِ
الإمام القحطاني الأندلسي,الكامل,اللهُ فَصَّلَهُ وَأَحْكَمَ آيَهُ , وَتَلاَهُ تَنْزِيلاً بِلاَ أَلْحَانِ ,اللهُ فَصَّلَهُ وَأَحْكَمَ آيَهُ وَتَلاَهُ تَنْزِيلاً بِلاَ أَلْحَانِ 
الإمام القحطاني الأندلسي,الكامل,هُوَ قَوْلُهُ وَكَلاَمُهُ وَخِطَابُهُ , بِفَصَاحَةٍ وَبَلاَغَةٍ وَبَيَانِ,هُوَ قَوْلُهُ وَكَلاَمُهُ وَخِطَابُهُ بِفَصَاحَةٍ وَبَلاَغَةٍ وَبَيَانِ
الإمام القحطاني الأندلسي,الكامل,هُوَ حُكْمُهُ هُوَ عِلْمُهُ هُوَ نُورُهُ , وَصِرَاطُهُ الْهَادِي إِلَى الرِّضْوَانِ,هُوَ حُكْمُهُ هُوَ عِلْمُهُ هُوَ نُورُهُ وَصِرَاطُهُ الْهَادِي إِلَى الرِّضْوَانِ
الإمام القحطاني الأندلسي,الكامل,جَمَعَ الْعُلُومَ دَقِيقَهَا وَجَلِيلَهَا , فَبِهِ يَصُولُ الْعَالِمُ الرَّبَّانِي,جَمَعَ الْعُلُومَ دَقِيقَهَا وَجَلِيلَهَا فَبِهِ يَصُولُ الْعَالِمُ الرَّبَّانِي
الإمام القحطاني الأندلسي,الكامل,كَلِمَاتُهُ مَنْظُومَةٌ وَحُرُوفُهُ , بِتَمَامِ أَلْفَاظٍ وَحُسْنِ مَعَانِي,كَلِمَاتُهُ مَنْظُومَةٌ وَحُرُوفُهُ بِتَمَامِ أَلْفَاظٍ وَحُسْنِ مَعَانِي
الإمام القحطاني الأندلسي,الكامل,قَصَصٌ عَلَى خَيْرِ الْبَرِيَّةِ قَصَّهُ , رَبِّي فَأَحْسَنَ أَيَّمَا إِحْسَانِ,قَصَصٌ عَلَى خَيْرِ الْبَرِيَّةِ قَصَّهُ رَبِّي فَأَحْسَنَ أَيَّمَا إِحْسَانِ
الإمام القحطاني الأندلسي,الكامل,وَأَبَانَ فِيهِ حَلاَلَهُ وَحَرَامَهُ , وَنَهَى عَنِ الآثَامِ وَالْعِصْيَانِ,وَأَبَانَ فِيهِ حَلاَلَهُ وَحَرَامَهُ وَنَهَى عَنِ الآثَامِ وَالْعِصْيَانِ
الإمام القحطاني الأندلسي,الكامل,مَنْ قَالَ إِنَّ اللهَ خَالِقُ قَوْلِهِ , فَقَدِ اسْتَحَلَّ عِبَادَةَ الأَوْثَانِ,مَنْ قَالَ إِنَّ اللهَ خَالِقُ قَوْلِهِ فَقَدِ اسْتَحَلَّ عِبَادَةَ الأَوْثَانِ
الإمام القحطاني الأندلسي,الكامل,مَنْ قَالَ فِيهِ عِبَارَةٌ وَحِكَايَةٌ , فَغَدًا يُجَرَّعُ مِنْ حَمِيمٍ آنِ,مَنْ قَالَ فِيهِ عِبَارَةٌ وَحِكَايَةٌ فَغَدًا يُجَرَّعُ مِنْ حَمِيمٍ آنِ
الإمام القحطاني الأندلسي,الكامل,مَنْ قَالَ إِنَّ حُرُوفَهُ مَخْلُوقَةٌ , فَالْعَنْهُ ثُمَّ اهْجُرْهُ كُلَّ أَوَانِ,مَنْ قَالَ إِنَّ حُرُوفَهُ مَخْلُوقَةٌ فَالْعَنْهُ ثُمَّ اهْجُرْهُ كُلَّ أَوَانِ
الإمام القحطاني الأندلسي,الكامل,لاَ تَلْقَ مُبْتَدِعًا وَلاَ مُتَزَنْدِقًا , إِلاَّ بِعَبْسَةِ مَالِكِ الْغَضْبَانِ,لاَ تَلْقَ مُبْتَدِعًا وَلاَ مُتَزَنْدِقًا إِلاَّ بِعَبْسَةِ مَالِكِ الْغَضْبَانِ
الإمام القحطاني الأندلسي,الكامل,وَالْوَقْفُ في الْقُرْآنِ خُبْثٌ بَاطِلٌ , وَخِدَاعُ كُلِّ مُذَبْذَبٍ حَيْرَانِ,وَالْوَقْفُ في الْقُرْآنِ خُبْثٌ بَاطِلٌ وَخِدَاعُ كُلِّ مُذَبْذَبٍ حَيْرَانِ
الإمام القحطاني الأندلسي,الكامل,قُلْ غَيْرُ مَخْلُوقٍ كَلاَمُ إِلَهِنَا , وَاعْجَلْ وَلاَ تَكُ في الإِجَابَةِ وَانِي,قُلْ غَيْرُ مَخْلُوقٍ كَلاَمُ إِلَهِنَا وَاعْجَلْ وَلاَ تَكُ في الإِجَابَةِ وَانِي
الإمام القحطاني الأندلسي,الكامل,أَهْلُ الشَّرِيعَةِ أَيْقَنُوا بِنُزُولِهِ , وَالْقَائِلُونَ بِخَلْقِهِ شَكْلاَنِ,أَهْلُ الشَّرِيعَةِ أَيْقَنُوا بِنُزُولِهِ وَالْقَائِلُونَ بِخَلْقِهِ شَكْلاَنِ
الإمام القحطاني الأندلسي,الكامل,وَتَجَنَّبِ اللَّفْظَيْنِ إِنَّ كِلَيْهِمَا , وَمَقَالَ جَهْمٍ عِنْدَنَا سِيَّانِ,وَتَجَنَّبِ اللَّفْظَيْنِ إِنَّ كِلَيْهِمَا وَمَقَالَ جَهْمٍ عِنْدَنَا سِيَّانِ
الإمام القحطاني الأندلسي,الكامل,يَا أَيُّهَا السُّنِّيُّ خُذْ بِوَصِيَّتِي , وَاخْصُصْ بِذَلِكَ جُمْلَةَ الإِخْوَانِ,يَا أَيُّهَا السُّنِّيُّ خُذْ بِوَصِيَّتِي وَاخْصُصْ بِذَلِكَ جُمْلَةَ الإِخْوَانِ
الإمام القحطاني الأندلسي,الكامل,وَاقْبَلْ وَصِيَّةَ مُشْفِقٍ مُتَوَدِّدٍ , وَاسْمَعْ بِفَهْمٍ حَاضِرٍ يَقْظَانِ,وَاقْبَلْ وَصِيَّةَ مُشْفِقٍ مُتَوَدِّدٍ وَاسْمَعْ بِفَهْمٍ حَاضِرٍ يَقْظَانِ
الإمام القحطاني الأندلسي,الكامل,كُنْ في أُمُورِكَ كُلِّهَا مُتَوَسِّطًا , عَدْلاً بِلاَ نَقْصٍ وَلاَ رُجْحَانِ,كُنْ في أُمُورِكَ كُلِّهَا مُتَوَسِّطًا عَدْلاً بِلاَ نَقْصٍ وَلاَ رُجْحَانِ
الإمام القحطاني الأندلسي,الكامل,وَاعْلَمْ بِأَنَّ اللهَ رَبٌّ وَاحِدٌ , مُتَنَزِّهٌ عَنْ ثَالِثٍ أَوْ ثَانِ,وَاعْلَمْ بِأَنَّ اللهَ رَبٌّ وَاحِدٌ مُتَنَزِّهٌ عَنْ ثَالِثٍ أَوْ ثَانِ
الإمام القحطاني الأندلسي,الكامل,الأَوَّلُ الْمُبْدِي بِغَيْرِ بِدَايَةٍ , وَالآخِرُ الْمُفْنِي وَلَيْسَ بِفَانِ,الأَوَّلُ الْمُبْدِي بِغَيْرِ بِدَايَةٍ وَالآخِرُ الْمُفْنِي وَلَيْسَ بِفَانِ
الإمام القحطاني الأندلسي,الكامل,وَكَلاَمُهُ صِفَةٌ لَهُ وَجَلاَلَةٌ , مِنْهُ بِلاَ أَمَدٍ وَلاَ حِدْثَانِ,وَكَلاَمُهُ صِفَةٌ لَهُ وَجَلاَلَةٌ مِنْهُ بِلاَ أَمَدٍ وَلاَ حِدْثَانِ
الإمام القحطاني الأندلسي,الكامل,رُكْنُ الدِّيَانَةِ أَنْ تُصَدِّقَ بِالْقَضَا , لاَ خَيْرَ في بَيْتٍ بِلاَ أَرْكَانِ,رُكْنُ الدِّيَانَةِ أَنْ تُصَدِّقَ بِالْقَضَا لاَ خَيْرَ في بَيْتٍ بِلاَ أَرْكَانِ
